metric	value
manifest	/srv/projects/showtrials-discovery/data/perpetrator2004/manifests/perpetrator2004_full_ingestion_manifest.tsv
rows_without_header	111
problems_total	35
errors	34
warnings	1
source_class.external	19
source_class.internal	92
is_html.no	98
is_html.yes	13
is_external.no	92
is_external.yes	19
extension..doc	93
extension..gif	1
extension..htm	13
extension..rar	2
extension.__no_ext__	2
domain.perpetrator2004.narod.ru	109
domain.www.showtrials.ru	1
domain.www.ucoz.ru	1
