href	resolved_url	label	is_html	is_external
documents/Kremlin_Affair/Kremlin_Affair_1.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_1.doc	Спецсообщение Г.Г. Ягоды И.В. Сталину о «контрреволюционной группе» в кремле с приложением протокола очной ставки между Авдеевой Анной Ефимовной и Мишаковой Ефросинией Семеновной	no	no
documents/Kremlin_Affair/Kremlin_Affair_2.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_2.doc	Записка Я.С. Агранова И.В. Сталину о новых арестах среди персонала в Кремле	no	no
documents/Kremlin_Affair/Kremlin_Affair_3.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_3.doc	Докладная записка Г.Г. Ягоды И.В. Сталину о ходе следствия по кремлевскому делу с приложением протокола допроса Дорошина Василия Григорьевича	no	no
documents/Kremlin_Affair/Kremlin_Affair_4.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_4.doc	Протокол допроса И.П. Лукьянова	no	no
documents/Kremlin_Affair/Kremlin_Affair_5.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_5.doc	Протокол допроса Е.К. Мухановой	no	no
documents/Kremlin_Affair/Kremlin_Affair_6.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_6.doc	Протокол допроса К.И. Синелобовой	no	no
documents/Kremlin_Affair/Kremlin_Affair_7.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_7.doc	Протокол допроса П.И. Гордеевой	no	no
documents/Kremlin_Affair/Kremlin_Affair_8.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_8.doc	Протокол допроса К.К. Муханова	no	no
documents/Kremlin_Affair/Kremlin_Affair_9.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_9.doc	Протокол допроса Б.Н. Розенфельда	no	no
documents/Kremlin_Affair/Kremlin_Affair_10.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_10.doc	Протокол допроса М.В. Королькова	no	no
documents/Kremlin_Affair/Kremlin_Affair_11.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_11.doc	Протокол допроса В.А. Ельчаниновой	no	no
documents/Kremlin_Affair/Kremlin_Affair_12.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_12.doc	Протокол допроса Р.Г. Миндель	no	no
documents/Kremlin_Affair/Kremlin_Affair_13.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_13.doc	Протокол допроса Д.С. Азбеля	no	no
documents/Kremlin_Affair/Kremlin_Affair_14.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_14.doc	Протокол допроса И.В. Больших	no	no
documents/Kremlin_Affair/Kremlin_Affair_15.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_15.doc	Сопроводительная записка Я.С. Агранова И.В. Сталину с протоколом допроса Л.Б. Каменева	no	no
