source_id	source_file	title	bytes	links_total	html_links	relative_links	external_links
mia_1936_trotskyite_zinovievite_index	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/mia/html-indexes/1936-trotskyite-zinovievite-terrorist-centre-index-en.html	Moscow Trials: Court Proceedings	7396	38	38	37	1
mia_1938_bukharin_case_index	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/mia/html-indexes/1938-bukharin-case-index-en.html	The Case of Bukharin - from the Moscow Trials	6098	5	5	5	0
