scope	name	flag	count
collection	Г.Б. СИНАНИ-СКАЛОВ	footnotes_present	8
collection	ДЕЛО ПЕТРА НИКОЛАЕВА	archive_refs_present	10
collection	ДЕЛО ПЕТРА НИКОЛАЕВА	missing_tag	10
collection	ДЕЛО ПЕТРА НИКОЛАЕВА	nbsp_present	8
collection	ДЕЛО ПЕТРА НИКОЛАЕВА	angle_markup_present	5
collection	ДЕЛО ПЕТРА НИКОЛАЕВА	footnotes_present	1
collection	ДЕЛО ПЕТРА НИКОЛАЕВА	very_short	1
collection	ДРУГИЕ ДОКУМЕНТЫ	nbsp_present	178
collection	ДРУГИЕ ДОКУМЕНТЫ	archive_refs_present	167
collection	ДРУГИЕ ДОКУМЕНТЫ	missing_tag	156
collection	ДРУГИЕ ДОКУМЕНТЫ	angle_markup_present	141
collection	ДРУГИЕ ДОКУМЕНТЫ	footnotes_present	64
collection	ДРУГИЕ ДОКУМЕНТЫ	stamp_markers_present	14
collection	ДРУГИЕ ДОКУМЕНТЫ	multi_category	5
collection	ДРУГИЕ ДОКУМЕНТЫ	multi_process	2
collection	ДРУГИЕ ДОКУМЕНТЫ	very_long	2
collection	ДРУГИЕ ДОКУМЕНТЫ	very_short	2
collection	ДРУГИЕ ДОКУМЕНТЫ	multi_tag	1
collection	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	missing_tag	25
collection	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	nbsp_present	25
collection	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	archive_refs_present	24
collection	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	angle_markup_present	20
collection	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	footnotes_present	15
collection	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	stamp_markers_present	2
collection	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	very_long	2
collection	МАТЕРИАЛЫ СЛЕДСТВИЯ	nbsp_present	1612
collection	МАТЕРИАЛЫ СЛЕДСТВИЯ	archive_refs_present	1603
collection	МАТЕРИАЛЫ СЛЕДСТВИЯ	angle_markup_present	1452
collection	МАТЕРИАЛЫ СЛЕДСТВИЯ	missing_tag	811
collection	МАТЕРИАЛЫ СЛЕДСТВИЯ	footnotes_present	631
collection	МАТЕРИАЛЫ СЛЕДСТВИЯ	multi_tag	74
collection	МАТЕРИАЛЫ СЛЕДСТВИЯ	stamp_markers_present	43
collection	МАТЕРИАЛЫ СЛЕДСТВИЯ	multi_category	34
collection	МАТЕРИАЛЫ СЛЕДСТВИЯ	multi_process	32
collection	МАТЕРИАЛЫ СЛЕДСТВИЯ	very_short	15
collection	МАТЕРИАЛЫ СЛЕДСТВИЯ	very_long	5
collection	ОЛЬБЕРГ	missing_tag	80
collection	ОЛЬБЕРГ	nbsp_present	80
collection	ОЛЬБЕРГ	angle_markup_present	64
collection	ОЛЬБЕРГ	archive_refs_present	42
collection	ОЛЬБЕРГ	footnotes_present	28
collection	ОЛЬБЕРГ	very_short	9
collection	ПРЕДЫСТОРИЯ	archive_refs_present	67
collection	ПРЕДЫСТОРИЯ	nbsp_present	67
collection	ПРЕДЫСТОРИЯ	angle_markup_present	61
collection	ПРЕДЫСТОРИЯ	stamp_markers_present	21
collection	ПРЕДЫСТОРИЯ	footnotes_present	19
collection	ПРЕДЫСТОРИЯ	missing_tag	2
collection	РАЗНЫЕ ДОКУМЕНТЫ	angle_markup_present	4
collection	РАЗНЫЕ ДОКУМЕНТЫ	archive_refs_present	4
collection	РАЗНЫЕ ДОКУМЕНТЫ	missing_tag	4
collection	РАЗНЫЕ ДОКУМЕНТЫ	nbsp_present	4
collection	РАЗНЫЕ ДОКУМЕНТЫ	footnotes_present	3
collection	СПРАВКА	archive_refs_present	10
collection	СПРАВКА	nbsp_present	10
collection	СПРАВКА	angle_markup_present	8
collection	СПРАВКА	footnotes_present	7
collection	СПРАВКА	missing_tag	4
collection	СПРАВКА	multi_tag	1
collection	СПРАВКА	stamp_markers_present	1
collection	СПРАВКИ КПК И ИМЛ	archive_refs_present	1
collection	СПРАВКИ КПК И ИМЛ	footnotes_present	1
collection	СПРАВКИ КПК И ИМЛ	missing_tag	1
collection	СПРАВКИ КПК И ИМЛ	nbsp_present	1
collection	СТАТЬИ	angle_markup_present	2
collection	СТАТЬИ	archive_refs_present	2
collection	СТАТЬИ	footnotes_present	2
collection	СТАТЬИ	missing_tag	2
collection	СТАТЬИ	nbsp_present	2
collection	СТАТЬИ	very_long	2
collection	ТРОЦКИЙ	missing_tag	31
