category_id	parent_id	depth	name	slug	count	child_count	path	link
137	128	2	Предыстория 1933	prehistory_1933	71	0	Все тематики / Процесс марта 1938 / Предыстория 1933	http://showtrials.ru/category/frontpage/march-1938-trial/prehistory_1933/
139	128	2	Прослушка	wiretap	34	0	Все тематики / Процесс марта 1938 / Прослушка	http://showtrials.ru/category/frontpage/march-1938-trial/wiretap/
141	128	2	Февральско-мартовский пленум	fm-plenum	6	0	Все тематики / Процесс марта 1938 / Февральско-мартовский пленум	http://showtrials.ru/category/frontpage/march-1938-trial/fm-plenum/
37	1	1	Процесс января 1937	january-trial	4	3	Все тематики / Процесс января 1937	http://showtrials.ru/category/frontpage/january-trial/
79	37	2	Другие документы 1937	drugie-dokumenty-1937	34	0	Все тематики / Процесс января 1937 / Другие документы 1937	http://showtrials.ru/category/frontpage/january-trial/drugie-dokumenty-1937/
80	37	2	Материалы следствия 1937	materialy-sledstviya-1937	434	0	Все тематики / Процесс января 1937 / Материалы следствия 1937	http://showtrials.ru/category/frontpage/january-trial/materialy-sledstviya-1937/
84	37	2	Стенограмма 1937	stenogram-1937	14	0	Все тематики / Процесс января 1937 / Стенограмма 1937	http://showtrials.ru/category/frontpage/january-trial/stenogram-1937/
38	1	1	Разные документы	misc-docs	5	0	Все тематики / Разные документы	http://showtrials.ru/category/frontpage/misc-docs/
148	0	0	Троцкий Седов и другие	trotskysedov	31	0	Троцкий Седов и другие	http://showtrials.ru/category/trotskysedov/
146	0	0	Троцкий и троцкисты 1936	1936-trotsky	3	0	Троцкий и троцкисты 1936	http://showtrials.ru/category/1936-trotsky/
