document_post_id	old_type	new_type	document_title	primary_process	primary_collection	document_url
5348	unknown	testimony	Показания Я.С. Розанова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-ya-s-rozanova/
7928	unknown	program	Программа Народной Трудовой Демократической партии России	ПРОЦЕСС 2-12 МАРТА 1938 г.	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/programma-narodnoj-trudovoj-demokraticheskoj-partii-rossii/
9211	unknown	letter	Письма П.П. Ольберга П.И. Бескиной	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	http://showtrials.ru/pisma-p-p-olberga-p-i-beskinoj/
5337	unknown	list	Список арестованных участников “троцкистско-националистической боевой организации”	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/spisok-arestovannyh-uchastnikov-troczkistsko-naczionalisticheskoj-boevoj-organizaczii/
9746	statement	special_report	Спецсообщение Г.А. Молчанова Н.И. Ежову с приложением заявления А.Н. Слепкова и справки по его делу	ПРОЦЕСС 2-12 МАРТА 1938 г.	ПРЕДЫСТОРИЯ	http://showtrials.ru/zayavlenie-a-n-slepkova-n-i-ezhovu/
5329	unknown	testimony	Показания М.А. Нырчука	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-m-a-nyrchuka-4/
1611	unknown	letter	Письма, связанные с делом Н.Н. Соина	РАЗНЫЕ ДОКУМЕНТЫ	РАЗНЫЕ ДОКУМЕНТЫ	http://showtrials.ru/pisma-soina/
5325	unknown	testimony	Показания М.А. Нырчука	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-m-a-nyrchuka-3/
5318	unknown	testimony	Показания М.А. Нырчука	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-m-a-nyrchuka-2/
5313	unknown	testimony	Показания М.А. Нырчука	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-m-a-nyrchuka/
6776	statement	special_report	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением заявления Г.Е. Зиновьева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-ya-s-agranova-n-i-ezhovu-s-prilozheniem-zayavleniya-g-e-zinoveva/
4203	statement	special_report	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением заявления М.С. Голендо в ЦК ВКП(б) от 1 июля 1935 г. и заметок из газеты “Правда”.	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-zayavleniya-m-s-golendo-v-czk-vkpb-ot-1-iyulya-1935-g-i-zametok-iz-gazety-pravda/
5241	unknown	decree_resolution	Постановление Политбюро ЦК ВКП(б) о мерах наказания по “Кремлевскому делу”	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/postanovlenie-politbyuro-czk-vkpb-o-merah-nakazaniya-po-kremlevskomu-delu/
5265	statement	special_report	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления и тюремных записок Г.Е. Зиновьева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	СПРАВКА	http://showtrials.ru/speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-zayavleniya-i-tyuremnyh-zapisok-g-e-zinoveva/
4842	unknown	explanation	Объяснения Р.А. Петерсона Н.И. Ежову по вопросам охраны Кремля	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	http://showtrials.ru/obyasneniya-r-a-petersona-n-i-ezhovu-po-voprosam-ohrany-kremlya/
4841	unknown	explanation	Объяснения П.Ф. Зайцева Н.И. Ежову по вопросу о чуждых элементах в аппарате ЦИК СССР с приложениями	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	http://showtrials.ru/obyasneniya-p-f-zajczeva-n-i-ezhovu-po-voprosu-o-chuzhdyh-elementah-v-apparate-czik-sssr-s-prilozheniyami/
4839	unknown	explanation	Объяснения Е.Н. Васильева в КПК при ЦК ВКП(б) Н.И. Ежову о реагировании на сигналы о неблагополучном положении в правительственной библиотеке во время чистки 1933 г.	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	http://showtrials.ru/obyasneniya-e-n-vasileva-v-kpk-pri-czk-vkpb-n-i-ezhovu-o-reagirovanii-na-signaly-o-neblagopoluchnom-polozhenii-v-pravitelstvennoj-biblioteke-vo-vremya-chistki-1933-g/
4838	unknown	explanation	Объяснения Е.Н. Васильева в КПК при ЦК ВКП(б) М.Ф. Шкирятову о реагировании на сигналы о неблагополучном положении в правительственной библиотеке во время чистки 1933 г.	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	http://showtrials.ru/obyasneniya-e-n-vasileva-v-kpk-pri-czk-vkpb-m-f-shkiryatovu-o-reagirovanii-na-signaly-o-neblagopoluchnom-polozhenii-v-pravitelstvennoj-biblioteke-vo-vremya-chistki-1933-g/
10069	unknown	draft_project	Проект заключения по акту приемки-сдачи дел по Секретариату ЦИК СССР	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	http://showtrials.ru/proekt-zaklyucheniya-po-aktu-priemki-sdachi-del-po-sekretariatu-czik-sssr/
4848	unknown	list	Список сотрудников учреждений Секретариата ЦИК СССР – бывших дворян и белогвардейцев, арестованных по делу подготовки террористического акта	КРЕМЛЕВСКОЕ ДЕЛО	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/spisok-sotrudnikov-uchrezhdenij-sekretariata-czik-sssr-byvshih-dvoryan-i-belogvardejczev-arestovannyh-po-delu-podgotovki-terroristicheskogo-akta/
4847	unknown	list	Список арестованных по делу контрреволюционных террористических групп в Кремле и вне Кремля	КРЕМЛЕВСКОЕ ДЕЛО	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/spisok-arestovannyh-po-delu-kontrrevolyuczionnyh-terroristicheskih-grupp-v-kremle-i-vne-kremlya/
9872	unknown	decree_resolution	Постановление Политбюро ЦК ВКП(б) “Об аппарате ЦИК СССР и тов. Енукидзе”	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	http://showtrials.ru/postanovlenie-politbyuro-czk-vkpb-ob-apparate-czik-sssr-i-tov-enukidze/
9445	unknown	search_protocol	Проткол обыска у Г.Б. Синани-Скалова с приложением описи изъятых при обыске документов	КРЕМЛЕВСКОЕ ДЕЛО	Г.Б. СИНАНИ-СКАЛОВ	http://showtrials.ru/protkol-obyska-u-g-b-sinani-skalova-s-prilozheniem-opisi-izyatyh-pri-obyske-dokumentov/
4834	unknown	plan_instruction	План выступления Н.И. Ежова по “делу Енукидзе” на закрытых партсобраниях в кремлевских учреждениях	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	http://showtrials.ru/plan-vystupleniya-n-i-ezhova-po-delu-enukidze-na-zakrytyh-partsobraniyah-v-kremlevskih-uchrezhdeniyah/
9439	unknown	session_transcript	Фрагмент стенограммы общего закрытого партсобрания работников ИККИ	КРЕМЛЕВСКОЕ ДЕЛО	Г.Б. СИНАНИ-СКАЛОВ	http://showtrials.ru/fragment-stenogrammy-obshhego-zakrytogo-partsobraniya-rabotnikov-ikki/
4828	unknown	list	Список лиц, получавших пособия из особого фонда в 1932-1935 г.г.	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	http://showtrials.ru/spisok-licz-poluchavshih-posobiya-iz-osobogo-fonda-v-1932-1935-g-g/
4800	unknown	letter	Сообщение А.Я. Вышинского И.В. Сталину с приложением письма жены А.С. Куклина	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/soobshhenie-a-ya-vyshinskogo-i-v-stalinu-s-prilozheniem-pisma-zheny-a-s-kuklina/
9433	unknown	decree_resolution	Постановление парткома ИККИ об исключении Г.Б. Синани-Скалова из ВКП(б)	КРЕМЛЕВСКОЕ ДЕЛО	Г.Б. СИНАНИ-СКАЛОВ	http://showtrials.ru/postanovlenie-partkoma-ikki-ob-isklyuchenii-g-b-sinani-skalova-iz-vkpb/
1699	unknown	list	Список личного состава секретариата Президиума ЦИК Союза ССР	КРЕМЛЕВСКОЕ ДЕЛО	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/spisok-lichnogo-sostava-czik/
4793	memo_note	letter	Записка К.Е. Ворошилова И.В. Сталину с приложением письма-исповеди М.И. Кащеева об оппозиционной деятельности	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/zapiska-k-e-voroshilova-i-v-stalinu-s-prilozheniem-pisma-ispovedi-m-i-kashheeva-ob-oppoziczionnoj-deyatelnosti/
4799	unknown	list	Список с краткими характеристиками на лиц, проходивших по делу зиновьевской организации в Ленинграде и Москве	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/spisok-s-kratkimi-harakteristikami-na-licz-prohodivshih-po-delu-zinovevskoj-organizaczii-v-leningrade-i-moskve/
4796	unknown	summary	Статистические данные по выселению из Ленинграда членов семей осужденных	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/statisticheskie-dannye-po-vyseleniyu-iz-leningrada-chlenov-semej-osuzhdennyh/
4791	unknown	summary	Сведения о ходе выселения из Ленинграда членов семей лиц, осужденных по делам “14”, “19” и “78” с приложением статистической сводки	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/svedeniya-o-hode-vyseleniya-iz-leningrada-chlenov-semej-licz-osuzhdennyh-po-delam-14-19-i-78-s-prilozheniem-statisticheskoj-svodki/
4789	unknown	summary	Сводка № 5 о ходе выселения из Ленинграда членов семей лиц, осужденных по делам “14”, “19” и “78”	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/svodka-%e2%84%96-5-o-hode-vyseleniya-iz-leningrada-chlenov-semej-licz-osuzhdennyh-po-delam-14-19-i-78/
4787	unknown	summary	Сводка № 4 о ходе выселения из Ленинграда членов семей лиц, осужденных по делам “14”, “19” и “78”	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/svodka-%e2%84%96-4-o-hode-vyseleniya-iz-leningrada-chlenov-semej-licz-osuzhdennyh-po-delam-14-19-i-78/
4786	unknown	summary	Сводка № 3 о ходе выселения из Ленинграда членов семей лиц, осужденных по делам “14”, “19” и “78”	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/svodka-%e2%84%96-3-o-hode-vyseleniya-iz-leningrada-chlenov-semej-licz-osuzhdennyh-po-delam-14-19-i-78/
4783	unknown	summary	Сводка № 2 о ходе выселения из Ленинграда членов семей лиц, осужденных по делам “14”, “19” и “78”	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/svodka-%e2%84%96-2-o-hode-vyseleniya-iz-leningrada-chlenov-semej-licz-osuzhdennyh-po-delam-14-19-i-78/
4782	unknown	summary	Сводка № 1 о ходе выселения из Ленинграда членов семей лиц, осужденных по делам “14”, “19” и “78”	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/svodka-%e2%84%96-1-o-hode-vyseleniya-iz-leningrada-chlenov-semej-licz-osuzhdennyh-po-delam-14-19-i-78/
6711	verdict_or_sentence	list	Список родственников лиц, осужденных и расстрелянных по приговору ВКВС СССР от 28 декабря 1934 г.	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/spisok-rodstvennikov-obvinyaemyh-osuzhdennyh-i-rasstrelyannyh-po-prigovoru-vkvs-sssr-ot-28-dekabrya-1934-g/
4773	unknown	plan_instruction	План и инструкция оперсоставу по выселению семей осужденных из Ленинграда	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/plan-i-instrukcziya-opersostavu-po-vyseleniyu-semej-osuzhdennyh-iz-leningrada/
4666	unknown	data_extract	Изменения к списку арестованных	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/izmeneniya-k-spisku-arestovannyh/
4771	unknown	list	Список активных зиновьевцев, троцкистов и шляпниковцев, подлежащих немедленному аресту	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/spisok-aktivnyh-zinovevczev-troczkistov-i-shlyapnikovczev-podlezhashhih-nemedlennomu-arestu/
10133	statement	special_report	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления О. Равич о Г.Е. Зиновьеве	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-zayavleniya-o-ravich-o-g-e-zinoveve/
4665	unknown	list	Список арестованных по состоянию на 20 января 1935 г.	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/spisok-arestovannyh-po-sostoyaniyu-na-20-yanvarya-1935-g/
4488	unknown	testimony	Показания П.М. Репникова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-p-m-repnikova/
2643	unknown	prosecutor_announcement	СООБЩЕНИЕ ПРОКУРАТУРЫ СССР	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ХОД ПРОЦЕССА	http://showtrials.ru/soobshhenie-prokuratury-sssr/
4477	unknown	testimony	Показания Г.Е. Евдокимова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-g-e-evdokimova-4/
4476	unknown	testimony	Показания А.М. Гертика	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-a-m-gertika/
4462	unknown	indictment	Проект обвинительного заключения по делу “московского центра”	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/proekt-obvinitelnogo-zaklyucheniya-po-delu-moskovskogo-czentra/
4458	unknown	testimony	Показание С.М. Гессена	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazanie-s-m-gessena/
4455	unknown	testimony	Показания Н.К. Магдарьева	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-n-k-magdareva-2/
4456	unknown	testimony	Показания А.А. Израилитина	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-a-a-izrailitina/
4443	unknown	testimony	Показания Н.К. Магдарьева	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-n-k-magdareva/
4436	unknown	testimony	Показания Г.Е. Евдокимова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-g-e-evdokimova-3/
4383	unknown	testimony	Показания А.И. Александрова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-a-i-aleksandrova/
4381	unknown	testimony	Показания Г.Е. Евдокимова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-g-e-evdokimova-2/
4360	unknown	testimony	Показания Г.Е. Евдокимова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-g-e-evdokimova/
4134	unknown	testimony	Показания И.И. Тарасова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-i-i-tarasova/
4101	unknown	testimony	Показания В.А. Виноградова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-v-a-vinogradova-2/
4100	unknown	testimony	Показания В.А. Виноградова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-v-a-vinogradova/
4093	unknown	testimony	Показания А.И. Анишева	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-a-i-anisheva-3/
4092	unknown	testimony	Показания А.И. Анишева	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-a-i-anisheva-2/
4091	unknown	testimony	Показания А.И. Анишева	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-a-i-anisheva/
4584	unknown	list	Список родственников лиц, осужденных по делу “Московского центра”	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/spisok-rodstvennikov-licz-osuzhdennyh-po-delu-moskovskogo-czentra/
4583	unknown	list	Список лиц, арестованных по делу “террористической зиновьевской организации”	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/spisok-licz-arestovannyh-po-delu-terroristicheskoj-zinovevskoj-organizaczii/
4580	unknown	list	Список лиц, арестованных по делу “террористической” зиновьевской организации, и предлагаемых в отношении них мер уголовного наказания	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/spisok-licz-arestovannyh-po-delu-terroristicheskoj-zinovevskoj-organizaczii-i-predlagaemyh-v-otnoshenii-nih-mer-ugolovnogo-nakazaniya/
4581	unknown	list	Список лиц, проходящих по показаниям, но не арестованных	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/spisok-licz-prohodyashhih-po-pokazaniyam-no-ne-arestovannyh/
3391	statement	special_report	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления М.М. Харитонова И.В. Сталину	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-zayavleniya-m-m-haritonova-i-v-stalinu/
4579	unknown	letter	Письма Т.И. Глебовой И.В. Сталину	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/pisma-t-i-glebovoj-i-v-stalinu/
4576	unknown	list	Дополнительный список арестованных по делу Л.В. Николаева	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/dopolnitelnyj-spisok-arestovannyh-po-delu-l-v-nikolaeva/
7885	statement	special_report	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления и протокола допроса И.Н. Маевского	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-zayavleniya-i-protokola-doprosa-i-n-maevskogo/
7784	statement	special_report	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления Г.Я. Сокольникова Н.И. Ежову	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-zayavleniya-g-ya-sokolnikova-n-i-ezhovu/
