document_post_id	old_type	new_type	document_title	primary_process	primary_collection	document_url
8715	unknown	plea_pardon	Прошения Н.И. Бухарина в Президиум Верховного Совета СССР о помиловании	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/prosheniya-n-i-buharina-v-prezidium-verhovnogo-soveta-sssr-o-pomilovanii/
8169	unknown	draft_project	Черновые варианты последнего слова Н.И. Бухарина на процессе правотроцкистского центра	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/chernovye-varianty-poslednego-slova-n-i-buharina-na-proczesse-pravotroczkistskogo-czentra/
8164	unknown	draft_project	Варианты выступления Н.И. Бухарина во время допроса на судебном процессе правотроцкистского центра	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/varianty-vystupleniya-n-i-buharina-vo-vremya-doprosa-na-sudebnom-proczesse-pravotroczkistskogo-czentra/
8769	unknown	testimony	Дополнительные показания заключенного Н.И. Бухарина	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/dopolnitelnye-pokazaniya-zaklyuchennogo-n-i-buharina/
8783	unknown	testimony	Показания Н.И. Бухарина	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/pokazaniya-n-i-buharina-3/
10806	unknown	questionnaire_response	Ответы П.К. Ольберга на вопросы анкеты	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	http://showtrials.ru/otvety-p-k-olberga-na-voprosy-ankety/
4803	unknown	testimony	Собственноручные показания С.М. Гессена о контактах зиновьевцев и правых, данные им на следствии в Минске	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/sobstvennoruchnye-pokazaniya-s-m-gessena-o-kontaktah-zinovevczev-i-pravyh-dannye-im-na-sledstvii-v-minske/
8740	unknown	testimony	Дополнительные показания Н.И. Бухарина	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/dopolnitelnye-pokazaniya-n-i-buharina/
8747	unknown	testimony	Показания Н.И. Бухарина	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/pokazaniya-n-i-buharina-2/
8730	unknown	testimony	Показания арестованного Н.И. Бухарина	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/pokazaniya-arestovannogo-n-i-buharina/
8725	unknown	testimony	Показания Н.И. Бухарина	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/pokazaniya-n-i-buharina/
8709	statement	special_report	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления Н.И. Бухарина о согласии давать показания	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-zayavleniya-n-i-buharina-o-soglasii-davat-pokazaniya/
8045	statement	special_report	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления К.Н. Лукницкого Н.И. Ежову	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-zayavleniya-k-n-lukniczkogo-n-i-ezhovu/
10814	unknown	questionnaire_response	Ответы П.И. Бескиной на вопросы анкеты	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	http://showtrials.ru/otvety-p-i-beskinoj-na-voprosy-ankety/
7988	statement	special_report	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления Д.П. Марецкого Н.И. Ежову	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-zayavleniya-d-p-mareczkogo-n-i-ezhovu/
7980	memo_note	session_transcript	Докладная записка Л.П. Берии И.В. Сталину с приложением протокола заседания цебюро КП(б) Грузии	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/dokladnaya-zapiska-l-p-berii-i-v-stalinu-s-prilozheniem-protokola-zasedaniya-czebyuro-kpb-gruzii/
8959	unknown	speech	Выступление И.В. Сталина на вечернем заседании февральско-мартовского пленума ЦК ВКП(б) 1937 г. (Бухарин и Рыков)	ПРОЦЕСС 2-12 МАРТА 1938 г.	ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.	http://showtrials.ru/vystuplenie-i-v-stalina-na-vechernem-zasedanii-fevralsko-martovskogo-plenuma-czk-vkpb-1937-g-buharin-i-rykov/
5353	unknown	testimony	Показания Я.С. Розанова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-ya-s-rozanova-4/
5351	unknown	testimony	Показания Я.С. Розанова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-ya-s-rozanova-3/
5349	unknown	testimony	Показания Я.С. Розанова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/pokazaniya-ya-s-rozanova-2/
