document_post_id	document_date	document_title	primary_process	primary_collection	category_names	tag_names	content_words	document_url
9366	2022-10-26T13:25:08	Валентин Ольберг	СТАТЬИ	СТАТЬИ	Article		36433	http://showtrials.ru/valentin-olberg/
9470	2022-12-08T15:06:30	Георгий Борисович Синани-Скалов	СТАТЬИ	СТАТЬИ	Article		27232	http://showtrials.ru/georgij-borisovich-sinani-skalov/
