document_post_id	old_type	new_type	document_title	primary_process	primary_collection	document_url
10138	unknown	administrative_report	Сообщение А.Я. Вышинского И.В. Сталину относительно записки Г.Г. Ягоды о троцкистах	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/soobshhenie-a-ya-vyshinskogo-i-v-stalinu-otnositelno-zapiski-g-g-yagody-o-troczkistah/
5284	unknown	administrative_report	Сообщение секретаря Горьковского крайкома ВКП(б) А.Н. Бурова Н.И. Ежову о раскрытии троцкистской организации	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/soobshhenie-sekretarya-gorkovskogo-krajkoma-vkpb-a-n-burova-n-i-ezhovu-o-raskrytii-troczkistskoj-organizaczii/
4800	letter	administrative_report	Сообщение А.Я. Вышинского И.В. Сталину с приложением письма жены А.С. Куклина	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/soobshhenie-a-ya-vyshinskogo-i-v-stalinu-s-prilozheniem-pisma-zheny-a-s-kuklina/
2643	prosecutor_announcement	administrative_report	СООБЩЕНИЕ ПРОКУРАТУРЫ СССР	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ХОД ПРОЦЕССА	http://showtrials.ru/soobshhenie-prokuratury-sssr/
1630	unknown	administrative_report	Сообщение Агранова 31 декабря 1934	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/soobshhenie-agranova-31-dekabrya-1934/
1733	unknown	data_extract	Полученные А.С. Енукидзе донесения о высказываниях уборщиц здания Правительства о Сталине	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/vyskazyvaniya-uborshhicz/
1633	unknown	interrogation_protocol	Допрос А.Г. Егорова 26 декабря 1934	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/dopros-egorova-26-dekabrya-1934/
1632	unknown	testimony	Дополнение к протоколу допроса А.В. Румянцева	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/dopros-a-rumyanczeva-2-24-dekabrya-1934/
1631	unknown	interrogation_protocol	Допрос А. Румянцева 24 декабря 1934	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/dopros-a-rumyanczeva-24-dekabrya-1934/
4578	unknown	administrative_report	Информация об аресте участников зиновьевско-троцкистской организации в Ленинграде	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/informacziya-ob-areste-uchastnikov-zinovevsko-troczkistskoj-organizaczii-v-leningrade/
8700	unknown	poem	Стихотворения Н.И. Бухарина на смерть Г.К. Орджоникидзе, посланные И.В. Сталину	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/stihotvoreniya-n-i-buharina-na-smert-g-k-ordzhonikidze-poslannye-i-v-stalinu/
7381	unknown	memo_note	Записки А.И. Стецкого И.В. Сталину об издании стенографического отчета процесса “параллельного антисоветского троцкистского центра”	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/zapiski-a-i-steczkogo-i-v-stalinu-ob-izdanii-stenograficheskogo-otcheta-proczessa-parallelnogo-antisovetskogo-troczkistskogo-czentra/
7385	letter	telegram	Шифртелеграмма М.М. Литвинова И.В. Сталину с пересказом содержания письма Р. Роллана	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/shifrtelegramma-m-m-litvinova-i-v-stalinu-s-pereskazom-soderzhaniya-pisma-r-rollana/
7383	unknown	telegram	Шифртелеграмма В.П. Потемкина в НКИД и И.В. Сталину с характеристикой французских общественных деятелей, прибывающих в СССР	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/shifrtelegramma-v-p-potemkina-v-nkid-i-i-v-stalinu-s-harakteristikoj-franczuzskih-obshhestvennyh-deyatelej-pribyvayushhih-v-sssr/
7273	unknown	telegram	Шифртелеграмма Н.Н. Крестинского А.А. Трояновскому о показаниях В.Г. Ромма	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/shifrtelegramma-n-n-krestinskogo-a-a-troyanovskomu-o-pokazaniyah-v-g-romma/
7271	unknown	telegram	Шифртелеграмма А.А. Трояновского в НКИД и Политбюро о получении показаний В.Г. Ромма	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/shifrtelegramma-a-a-troyanovskogo-v-nkid-i-politbyuro-o-poluchenii-pokazanij-v-g-romma/
7032	unknown	medical_act	Акт судебно-медицинского вскрытия трупа М.В. Борисова	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/akt-sudebno-mediczinskogo-vskrytiya-trupa-m-v-borisova/
8488	unknown	testimony	Протокол показаний Т.Р. Левиной	ПРОЦЕСС 2-12 МАРТА 1938 г.	ПРЕДЫСТОРИЯ	http://showtrials.ru/protokol-pokazanij-t-r-levinoj/
8259	letter	administrative_report	Сообщение Г.А. Молчанова Я.С. Агранову с приложением обнаруженных при обыске записки и письма Е.В. Цетлина	ПРОЦЕСС 2-12 МАРТА 1938 г.	ПРЕДЫСТОРИЯ	http://showtrials.ru/soobshhenie-g-a-molchanova-ya-s-agranovu-s-prilozheniem-obnaruzhennyh-pri-obyske-zapiski-i-pisma-e-v-czetlina/
8478	unknown	testimony	Протокол дополнительных показаний П.К. Александрова	ПРОЦЕСС 2-12 МАРТА 1938 г.	ПРЕДЫСТОРИЯ	http://showtrials.ru/protokol-dopolnitelnyh-pokazanij-p-k-aleksandrova/
8243	unknown	testimony	Протокол показаний Н.А. Угланова	ПРОЦЕСС 2-12 МАРТА 1938 г.	ПРЕДЫСТОРИЯ	http://showtrials.ru/protokol-pokazanij-n-a-uglanova/
8233	unknown	testimony	Протокол показаний А.Ю. Айхенвальда	ПРОЦЕСС 2-12 МАРТА 1938 г.	ПРЕДЫСТОРИЯ	http://showtrials.ru/protokol-pokazanij-a-yu-ajhenvalda/
