rank	document_post_id	document_title	content_words	process_title	collection_title	document_url
34	8849	Спецсообщение Н.И. Ежова И.В. Сталину с приложением “Тезисов о современном положении и задачах партии”	14417	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-tezisov-o-sovremennom-polozhenii-i-zadachah-partii/
35	2481	22 АВГУСТА – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	14056	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	http://showtrials.ru/22-avgusta-vechernee-zasedanie/
36	2537	27 ЯНВАРЯ – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	13920	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	http://showtrials.ru/27-yanvarya-vechernee-zasedanie/
37	2482	23 АВГУСТА – УТРЕННЕЕ ЗАСЕДАНИЕ	13886	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	http://showtrials.ru/23-avgusta-utrennee-zasedanie/
38	2540	29 ЯНВАРЯ – УТРЕННЕЕ ЗАСЕДАНИЕ	13380	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	http://showtrials.ru/29-yanvarya-utrennee-zasedanie/
39	7988	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления Д.П. Марецкого Н.И. Ежову	11185	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-zayavleniya-d-p-mareczkogo-n-i-ezhovu/
40	10470	Спецсообщение Я.С. Агранова И.В. Сталину с приложением меморандума по делу арестованных троцкистов	10727	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-ya-s-agranova-i-v-stalinu-s-prilozheniem-memoranduma-po-delu-arestovannyh-troczkistov/
41	2508	23 ЯНВАРЯ – УТРЕННЕЕ ЗАСЕДАНИЕ	10491	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	http://showtrials.ru/23-yanvarya-utrennee-zasedanie/
42	2479	21 АВГУСТА – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	10361	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	http://showtrials.ru/21-avgusta-vechernee-zasedanie/
43	4203	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением заявления М.С. Голендо в ЦК ВКП(б) от 1 июля 1935 г. и заметок из газеты “Правда”.	9927	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-zayavleniya-m-s-golendo-v-czk-vkpb-ot-1-iyulya-1935-g-i-zametok-iz-gazety-pravda/
44	5863	Протокол допроса М.С. Строилова	9705	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/protokol-doprosa-m-s-stroilova/
45	7162	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Н. Астрова	9602	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-v-n-astrova/
46	8617	Стенограмма очной ставки между В.Н. Астровым и Н.И. Бухариным в ЦК ВКП(б)	9555	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/stenogramma-ochnoj-stavki-mezhdu-v-n-astrovym-i-n-i-buharinym-v-czk-vkpb/
47	8048	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.Д. Гогоберидзе	9555	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-l-d-gogoberidze-2/
48	5779	Письмо А.Л. Леонтьева секретарю ЦК ВКП(б) и Председателю КПК при ЦК ВКП(б) Н.И. Ежову с приложением справки СПО ГУГБ НКВД СССР	9013	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/pismo-a-l-leonteva-sekretaryu-czk-vkpb-i-predsedatelyu-kpk-pri-czk-vkpb-n-i-ezhovu-s-prilozheniem-spravki-spo-gugb-nkvd-sssr/
49	7101	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Я.А. Лившица	8959	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-ya-a-livshicza/
50	7840	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.Г. Белобородова	8633	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-a-g-beloborodova/
51	7561	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Б.П. Нестерова	8605	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-b-p-nesterova/
52	4423	Протокол очной ставки между Г.Е. Зиновьевым и Г.И. Сафаровым	8424	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/protokol-ochnoj-stavki-mezhdu-g-e-zinovevym-i-g-i-safarovym/
53	6309	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Ю.Л. Пятакова	8273	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-yu-l-pyatakova-4/
54	8430	Запись разговоров по объекту “В-87”	8099	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-25/
55	7792	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса С.Н. Радина	7768	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-s-n-radina/
56	8725	Показания Н.И. Бухарина	7698	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/pokazaniya-n-i-buharina/
57	7517	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Г.А. Молчанова	7579	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-g-a-molchanova/
58	4583	Список лиц, арестованных по делу “террористической зиновьевской организации”	7546	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/spisok-licz-arestovannyh-po-delu-terroristicheskoj-zinovevskoj-organizaczii/
