rank	document_post_id	document_title	content_words	content_chars	primary_process	primary_collection	category_names	tag_names	document_url
30	9146	В.П. Ольберг – Л.Л. Седову	97	640	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-v-p-olberga-l-l-sedovu/
31	4441	Протокол допроса Б.Н. Сахова	99	609	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-b-n-sahova-5/
32	3151	Протокол допроса И.Г. Юскина	102	646	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-i-g-yuskina-6/
33	10791	Л.Л. Седов – В.П. Ольбергу	102	632	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-l-l-sedova-v-p-olbergu-27/
34	3058	Протокол допроса И.Г. Юскина	104	641	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-i-g-yuskina-5/
35	2692	Протокол допроса И.Г. Юскина	104	717	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-i-g-yuskina-2/
36	4103	Протокол допроса Ф.Ф. Фадеева	105	628	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-f-f-fadeeva-7/
37	9132	Л.Л. Седов – В.П. Ольбергу	105	659	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-l-l-sedova-v-p-olbergu-13/
38	10770	В.П. Ольберг – Л.Л. Седову	105	664	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-v-p-olberga-l-l-sedovu-14/
39	3421	Протокол допроса Г.Ф. Попова	107	647	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-g-f-popova-6/
40	2724	Протокол допроса И.Г. Юскина	107	700	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-i-g-yuskina-4/
41	4852	Записка В.В. Осинского Н.И. Ежову о восстановлении в рядах ВЛКСМ	108	721	КРЕМЛЕВСКОЕ ДЕЛО	ДРУГИЕ ДОКУМЕНТЫ	Прочие документы		http://showtrials.ru/zapiska-v-v-osinskogo-n-i-ezhovu-o-vosstanovlenii-v-ryadah-vlksm/
