file	filename	chars	words	lines	html_tag_like	html_entity_like	nbsp_char	many_spaces	many_blank_lines	footnote_marker	archive_ref	editorial_braces	angle_editorial	stamp_marker
/tmp/showtrials-discovery/export-txt/10722_pismo-v-p-olberga-l-l-sedovu-3.txt	10722_pismo-v-p-olberga-l-l-sedovu-3.txt	434	57	36	3	0	6	0	0	0	0	0	3	0
/tmp/showtrials-discovery/export-txt/10731_pismo-v-p-olberga-l-l-sedovu-4.txt	10731_pismo-v-p-olberga-l-l-sedovu-4.txt	2654	385	56	5	0	7	0	0	0	0	0	5	0
/tmp/showtrials-discovery/export-txt/10736_pismo-v-p-olberga-l-l-sedovu-5.txt	10736_pismo-v-p-olberga-l-l-sedovu-5.txt	1188	172	30	3	0	6	0	0	0	0	0	3	0
/tmp/showtrials-discovery/export-txt/10738_pismo-v-p-olberga-l-l-sedovu-6.txt	10738_pismo-v-p-olberga-l-l-sedovu-6.txt	740	109	35	0	0	9	0	0	2	0	0	0	0
/tmp/showtrials-discovery/export-txt/10746_pismo-v-p-olberga-l-l-sedovu-8.txt	10746_pismo-v-p-olberga-l-l-sedovu-8.txt	3343	494	37	6	0	5	0	0	2	0	0	6	0
/tmp/showtrials-discovery/export-txt/10755_pismo-v-p-olberga-l-l-sedovu-7.txt	10755_pismo-v-p-olberga-l-l-sedovu-7.txt	532	79	28	1	0	5	0	0	0	0	0	1	0
/tmp/showtrials-discovery/export-txt/10757_pismo-v-p-olberga-l-l-sedovu-9.txt	10757_pismo-v-p-olberga-l-l-sedovu-9.txt	890	117	32	1	0	6	0	0	0	0	0	1	0
/tmp/showtrials-discovery/export-txt/10762_pismo-v-p-olberga-l-l-sedovu-10.txt	10762_pismo-v-p-olberga-l-l-sedovu-10.txt	1587	242	33	2	0	5	0	0	2	0	0	2	0
/tmp/showtrials-discovery/export-txt/10764_pismo-v-p-olberga-l-l-sedovu-11.txt	10764_pismo-v-p-olberga-l-l-sedovu-11.txt	1729	262	49	1	0	6	0	0	0	0	0	1	0
/tmp/showtrials-discovery/export-txt/10766_pismo-v-p-olberga-l-l-sedovu-12.txt	10766_pismo-v-p-olberga-l-l-sedovu-12.txt	990	149	29	0	0	5	0	0	2	0	0	0	0
/tmp/showtrials-discovery/export-txt/10768_pismo-v-p-olberga-l-l-sedovu-13.txt	10768_pismo-v-p-olberga-l-l-sedovu-13.txt	1036	143	42	2	0	5	0	0	0	0	0	2	0
/tmp/showtrials-discovery/export-txt/10770_pismo-v-p-olberga-l-l-sedovu-14.txt	10770_pismo-v-p-olberga-l-l-sedovu-14.txt	719	105	42	1	0	7	0	0	0	0	0	1	0
/tmp/showtrials-discovery/export-txt/10772_pismo-v-p-olberga-l-l-sedovu-15.txt	10772_pismo-v-p-olberga-l-l-sedovu-15.txt	628	89	34	1	0	5	0	0	0	0	0	1	0
/tmp/showtrials-discovery/export-txt/10775_pismo-v-p-olberga-l-l-sedovu-16.txt	10775_pismo-v-p-olberga-l-l-sedovu-16.txt	1232	195	27	2	0	4	0	0	2	0	0	2	0
/tmp/showtrials-discovery/export-txt/10781_pismo-l-l-sedova-v-p-olbergu-23.txt	10781_pismo-l-l-sedova-v-p-olbergu-23.txt	607	89	36	4	0	8	0	0	0	5	0	4	0
/tmp/showtrials-discovery/export-txt/10783_pismo-l-l-sedova-v-p-olbergu-24.txt	10783_pismo-l-l-sedova-v-p-olbergu-24.txt	968	156	33	1	0	5	0	0	2	6	0	1	0
/tmp/showtrials-discovery/export-txt/10785_pismo-l-l-sedova-v-p-olbergu-25.txt	10785_pismo-l-l-sedova-v-p-olbergu-25.txt	735	113	30	7	0	7	0	0	0	10	0	7	0
/tmp/showtrials-discovery/export-txt/10789_pismo-l-l-sedova-v-p-olbergu-26.txt	10789_pismo-l-l-sedova-v-p-olbergu-26.txt	975	160	26	3	0	6	0	0	0	5	0	3	0
/tmp/showtrials-discovery/export-txt/10791_pismo-l-l-sedova-v-p-olbergu-27.txt	10791_pismo-l-l-sedova-v-p-olbergu-27.txt	688	102	40	5	0	9	0	0	0	5	0	5	0
/tmp/showtrials-discovery/export-txt/10793_pismo-l-l-sedova-v-p-olbergu-28.txt	10793_pismo-l-l-sedova-v-p-olbergu-28.txt	876	132	32	0	0	6	0	0	0	11	0	0	0
/tmp/showtrials-discovery/export-txt/10795_pismo-l-l-sedova-v-p-olbergu-29.txt	10795_pismo-l-l-sedova-v-p-olbergu-29.txt	1331	175	40	5	0	8	0	0	0	10	0	5	0
/tmp/showtrials-discovery/export-txt/10801_pismo-k-landau-p-k-olbergu-s-voprosami-o-v-p-olberge.txt	10801_pismo-k-landau-p-k-olbergu-s-voprosami-o-v-p-olberge.txt	7298	1125	93	0	0	53	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/10806_otvety-p-k-olberga-na-voprosy-ankety.txt	10806_otvety-p-k-olberga-na-voprosy-ankety.txt	8781	1318	59	0	0	6	0	0	0	1	0	0	0
/tmp/showtrials-discovery/export-txt/10809_pismo-p-i-beskinoj-p-k-olbergu.txt	10809_pismo-p-i-beskinoj-p-k-olbergu.txt	4446	723	37	10	0	6	0	0	4	0	0	10	0
/tmp/showtrials-discovery/export-txt/10814_otvety-p-i-beskinoj-na-voprosy-ankety.txt	10814_otvety-p-i-beskinoj-na-voprosy-ankety.txt	8050	1316	41	13	0	3	0	0	2	0	0	13	0
/tmp/showtrials-discovery/export-txt/10817_pismo-o-zirmana-p-i-beskinoj.txt	10817_pismo-o-zirmana-p-i-beskinoj.txt	1613	249	47	0	0	34	0	0	0	0	0	0	0
