id	date	modified	slug	link	status	type	format	template	categories	tags	meta_keys	acf_keys	top_level_keys
8164	1938-03-05T10:55:06	2022-04-07T11:25:38	varianty-vystupleniya-n-i-buharina-vo-vremya-doprosa-na-sudebnom-proczesse-pravotroczkistskogo-czentra	http://showtrials.ru/varianty-vystupleniya-n-i-buharina-vo-vremya-doprosa-na-sudebnom-proczesse-pravotroczkistskogo-czentra/	publish	post	standard		138	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8418	1938-03-04T16:23:13	2022-04-22T16:25:56	zapis-razgovorov-po-obektu-v-87-19	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-19/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8159	1938-03-04T09:59:22	2022-05-23T08:39:43	zayavlenie-n-i-buharina-sledovatelyu-nkvd-l-v-koganu	http://showtrials.ru/zayavlenie-n-i-buharina-sledovatelyu-nkvd-l-v-koganu/	publish	post	standard		138	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8416	1938-03-03T09:32:18	2022-04-21T09:38:51	zapis-razgovorov-po-obektu-v-87-18	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-18/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8414	1938-03-02T09:22:47	2025-08-31T12:49:44	zapis-razgovorov-po-obektu-v-87-17	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-17/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8410	1938-03-01T07:59:05	2022-04-21T08:04:27	dokladnaya-zapiska-n-d-zariczkogo-sledovatelyu-l-v-koganu	http://showtrials.ru/dokladnaya-zapiska-n-d-zariczkogo-sledovatelyu-l-v-koganu/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8407	1938-03-01T07:52:23	2025-08-31T12:38:00	zapis-razgovorov-po-obektu-v-87-16	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-16/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8405	1938-02-28T07:47:05	2025-08-31T12:19:11	zapis-razgovorov-po-obektu-v-87-15	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-15/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8385	1938-02-27T12:45:16	2022-04-18T10:59:14	zapis-razgovorov-po-obektu-v-87-14	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-14/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8375	1938-02-26T16:53:38	2022-04-18T10:58:48	zapis-razgovorov-po-obektu-v-87-13	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-13/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
