rank	document_post_id	document_title	content_words	content_chars	primary_process	primary_collection	category_names	tag_names	document_url
12	2443	20 АВГУСТА – УТРЕННЕЕ ЗАСЕДАНИЕ	24160	162872	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	Стенограмма 1936		http://showtrials.ru/20-avgusta-utrennee-zasedanie/
13	8690	Заявление Н.И. Бухарина членам Пленума ЦК ВКП(б)	23811	152954	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	Бухарин	Бухарин	http://showtrials.ru/zayavlenie-n-i-buharina-chlenam-plenuma-czk-vkpb/
14	8938	Вечернее заседание февральско-мартовского пленума ЦК ВКП(б) 1937 г. (Бухарин и Рыков)	23068	149749	ПРОЦЕСС 2-12 МАРТА 1938 г.	ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.	Февральско-мартовский пленум	Правые	http://showtrials.ru/vechernee-zasedanie-buharin-i-rykov/
15	1790	19 АВГУСТА – УТРЕННЕЕ ЗАСЕДАНИЕ	22673	157805	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	Стенограмма 1936		http://showtrials.ru/utro-19-avgusta-1936/
16	8954	Вечернее заседание февральско-мартовского пленума ЦК ВКП(б) 1937 г. (Бухарин и Рыков)	22327	145376	ПРОЦЕСС 2-12 МАРТА 1938 г.	ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.	Февральско-мартовский пленум	Правые	http://showtrials.ru/vechernee-zasedanie-fevralsko-martovskogo-plenuma-czk-vkpb-1937-g-buharin-i-rykov/
17	1847	19 АВГУСТА – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	22092	149944	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	Стенограмма 1936		http://showtrials.ru/19-avgusta-chast-2-vecher/
18	2478	21 АВГУСТА – УТРЕННЕЕ ЗАСЕДАНИЕ	22083	145161	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	Стенограмма 1936		http://showtrials.ru/21-avgusta-utrennee-zasedanie/
19	8173	Спецсообщение Г.Г. Ягоды И.В. Сталину о троцкистской группе И.Н. Смирнова с приложением списков троцкистов	21567	158588	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1936	Троцкистский центр	http://showtrials.ru/speczsoobshhenie-g-g-yagody-i-v-stalinu-o-troczkistskoj-gruppe-i-n-smirnova-s-prilozheniem-spiskov-troczkistov/
20	5660	Записка Г.Г. Ягоды И.В. Сталину с приложением справок на участников троцкистской организации и проекта постановления о предании их суду ВКВС СССР по закону от 1 декабря 1934 г.	21305	152053	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1936	Группа Ольберга | Троцкистский центр | Зиновьевский центр | Юрий Гавен | Украинская группа (НКВД УССР) | Группа В.М. Попова (УНКВД СССР по Горькраю) | Группа Шемелева | Группа Дмитриева | Ленинградская группа | Горьковская группа	http://showtrials.ru/zapiska-g-g-yagody-i-v-stalinu-s-prilozheniem-spravok-na-uchastnikov-troczkistskoj-organizaczii-i-proekta-postanovleniya-o-predanii-ih-sudu-vkvs-sssr-po-zakonu-ot-1-dekabrya-1934-g/
21	2521	24 ЯНВАРЯ – УТРЕННЕЕ ЗАСЕДАНИЕ	20282	131485	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	Стенограмма 1937		http://showtrials.ru/24-yanvarya-utrennee-zasedanie/
22	2527	26 ЯНВАРЯ – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	19952	129628	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	Стенограмма 1937		http://showtrials.ru/26-yanvarya-vechernee-zasedanie/
23	4810	Опубликованный вариант стенографического отчета вечернего заседания июньского пленума ЦК ВКП(б) 1935 г.	19872	138986	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	Июньский пленум ЦК 1935 г.		http://showtrials.ru/opublikovannyj-variant-stenograficheskogo-otcheta-vechernego-zasedaniya-iyunskogo-plenuma-czk-vkpb-1935-g/
24	11413	Стенограмма заседания Президиума ЦКК ВКП(б)	19509	123250	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	Другие документы московского центра		http://showtrials.ru/stenogramma-zasedaniya-prezidiuma-czkk-vkpb/
25	8946	Вечернее заседание февральско-мартовского пленума ЦК ВКП(б) 1937 г. (Бухарин и Рыков)	18794	113463	ПРОЦЕСС 2-12 МАРТА 1938 г.	ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.	Февральско-мартовский пленум	Правые	http://showtrials.ru/vechernee-zasedanie-fevralsko-martovskogo-plenuma-czk-vkpb-1937-g/
26	2523	25 ЯНВАРЯ – УТРЕННЕЕ ЗАСЕДАНИЕ	18369	122898	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	Стенограмма 1937		http://showtrials.ru/25-yanvarya-utrennee-zasedanie/
27	2525	25 ЯНВАРЯ – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	18368	120569	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	Стенограмма 1937		http://showtrials.ru/25-yanvarya-vechernee-zasedanie/
28	2480	22 АВГУСТА – УТРЕННЕЕ ЗАСЕДАНИЕ	18176	124294	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	Стенограмма 1936		http://showtrials.ru/22-avgusta-utrennee-zasedanie/
29	2536	27 ЯНВАРЯ – УТРЕННЕЕ ЗАСЕДАНИЕ	18159	123005	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	Стенограмма 1937		http://showtrials.ru/27-yanvarya-utrennee-zasedanie/
30	8951	Утреннее заседание февральско-мартовского пленума ЦК ВКП(б) 1937 г. (Бухарин и Рыков)	17585	115412	ПРОЦЕСС 2-12 МАРТА 1938 г.	ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.	Февральско-мартовский пленум	Правые	http://showtrials.ru/utrennee-zasedanie-fevralsko-martovskogo-plenuma-czk-vkpb-1937-g-buharin-i-rykov/
31	2519	23 ЯНВАРЯ – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	17117	115959	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	Стенограмма 1937		http://showtrials.ru/23-yanvarya-vechernee-zasedanie/
32	2522	24 ЯНВАРЯ – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	17023	114606	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	Стенограмма 1937		http://showtrials.ru/24-yanvarya-vechernee-zasedanie/
33	2526	26 ЯНВАРЯ – УТРЕННЕЕ ЗАСЕДАНИЕ	16398	109501	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	Стенограмма 1937		http://showtrials.ru/26-yanvarya-utrennee-zasedanie/
34	8849	Спецсообщение Н.И. Ежова И.В. Сталину с приложением “Тезисов о современном положении и задачах партии”	14417	105764	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	Бухарин	Правые | Бухарин	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-tezisov-o-sovremennom-polozhenii-i-zadachah-partii/
35	2481	22 АВГУСТА – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	14056	91854	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	Стенограмма 1936		http://showtrials.ru/22-avgusta-vechernee-zasedanie/
36	2537	27 ЯНВАРЯ – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	13920	95093	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	Стенограмма 1937		http://showtrials.ru/27-yanvarya-vechernee-zasedanie/
37	2482	23 АВГУСТА – УТРЕННЕЕ ЗАСЕДАНИЕ	13886	91059	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	Стенограмма 1936		http://showtrials.ru/23-avgusta-utrennee-zasedanie/
38	2540	29 ЯНВАРЯ – УТРЕННЕЕ ЗАСЕДАНИЕ	13380	88376	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	Стенограмма 1937		http://showtrials.ru/29-yanvarya-utrennee-zasedanie/
39	7988	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления Д.П. Марецкого Н.И. Ежову	11185	80657	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1938	Правые	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-zayavleniya-d-p-mareczkogo-n-i-ezhovu/
40	10470	Спецсообщение Я.С. Агранова И.В. Сталину с приложением меморандума по делу арестованных троцкистов	10727	81158	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1936	Троцкистский центр	http://showtrials.ru/speczsoobshhenie-ya-s-agranova-i-v-stalinu-s-prilozheniem-memoranduma-po-delu-arestovannyh-troczkistov/
41	2508	23 ЯНВАРЯ – УТРЕННЕЕ ЗАСЕДАНИЕ	10491	70994	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	Стенограмма 1937		http://showtrials.ru/23-yanvarya-utrennee-zasedanie/
42	2479	21 АВГУСТА – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	10361	67664	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	Стенограмма 1936		http://showtrials.ru/21-avgusta-vechernee-zasedanie/
43	4203	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением заявления М.С. Голендо в ЦК ВКП(б) от 1 июля 1935 г. и заметок из газеты “Правда”.	9927	67013	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ДРУГИЕ ДОКУМЕНТЫ	Другие документы 1936		http://showtrials.ru/speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-zayavleniya-m-s-golendo-v-czk-vkpb-ot-1-iyulya-1935-g-i-zametok-iz-gazety-pravda/
44	5863	Протокол допроса М.С. Строилова	9705	64769	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Вредители в угольной промышленности	http://showtrials.ru/protokol-doprosa-m-s-stroilova/
45	7162	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Н. Астрова	9602	65680	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Правые	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-v-n-astrova/
46	8048	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.Д. Гогоберидзе	9555	63717	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1938	Троцкисты Азово-Черноморского края	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-l-d-gogoberidze-2/
