organization	organization_kind	document_count	total_words	first_date	last_date	raw_forms	processes	collections
ИНО ГУГБ	security_police_department	53	137478	1935-02-19T10:39:33	2022-10-26T13:25:08	ИНО ГУГБ	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | СТАТЬИ	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКА | СТАТЬИ
ОО ГУГБ НКВД	security_police_department	40	38627	1934-12-03T02:48:43	1936-09-21T01:36:00	ОО ГУГБ НКВД	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ	ДЕЛО ПЕТРА НИКОЛАЕВА | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | РАЗНЫЕ ДОКУМЕНТЫ
Верховный Суд СССР	judicial_body	33	306080	1934-12-24T00:00:00	2022-12-08T15:06:30	Верховного суда СССР | Верховного Суда СССР | ВЕРХОВНОГО СУДА СССР | Верховным судом СССР | верховного суда СССР	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | СТАТЬИ	МАТЕРИАЛЫ СЛЕДСТВИЯ | СТАТЬИ | ХОД ПРОЦЕССА
НКИД	state_body	28	103021	1934-12-15T07:00:00	1937-06-28T17:32:10	НКИД	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ХОД ПРОЦЕССА
Секретариат ЦИК СССР	state_body	20	87440	1935-02-12T15:38:23	1935-07-31T12:12:44	Секретариата ЦИК СССР | Секретариата ЦИК Союза ССР | СЕКРЕТАРИАТА ЦИК СОЮЗА ССР | секретариата ЦИК Союза ССР | секретариате ЦИК СССР | Секретариате ЦИК СССР | секретариата ЦИК СССР | СЕКРЕТАРИАТА ЦИК СССР | Секретариатом ЦИК Союза ССР | Секретариатом ЦИК СССР | Секретариату ЦИК СССР | Секретариату ЦИК Союза ССР | СЕКРЕТАРИАТЕ ЦИК СССР	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКА
КПК при ЦК ВКП(б)	party_control_body	15	30307	1935-01-18T00:00:00	1937-01-30T13:02:35	КПК при ЦК ВКП(б	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Прокуратура СССР	prosecutorial_body	10	91836	1935-01-14T10:36:00	2022-10-26T13:25:08	Прокуратуры СССР | ПРОКУРАТУРЫ СССР | прокуратуры СССР	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | СТАТЬИ	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКА | СТАТЬИ | ХОД ПРОЦЕССА
Горьковский крайком ВКП(б)	party_body	9	76669	1936-01-21T17:18:00	2022-10-26T13:25:08	Горьковского крайкома ВКП(б | Горьковским крайкомом ВКП(б | Горьковском крайкоме ВКП(б | Горьковского Крайкома ВКП(б	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | СТАТЬИ	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | СТАТЬИ
Лига Наций	international_body	5	52495	1929-01-01T19:48:38	2022-10-26T13:25:08	Лиги Наций | Лига Наций | лиги наций | Лиги наций | Лиге Наций | Лига наций | ЛИГА НАЦИЙ	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ	БУХАРИН | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ
The New York Times	newspaper	1	6258	1936-08-24T04:00:00	1936-08-24T04:00:00	The New York Times | THE NEW YORK TIMES	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА
United Press International	news_agency	1	5511	1936-08-24T05:01:00	1936-08-24T05:01:00	UNITED PRESS INTERNATIONAL	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА
Верховный Совет СССР	state_body	1	912	1938-03-13T08:08:24	1938-03-13T08:08:24	Верховного Совета СССР | Верховного совета СССР	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН
Народная Трудовая Демократическая партия России	political_organization	1	4354	1936-01-01T19:26:44	1936-01-01T19:26:44	Народная Трудовая Демократическая Партия России | Народной Трудовой Демократической партии России | Народная Трудовая Демократическая партия России | Народная трудовая демократическая партия России | Народная Трудовая демократическая Партия России	ПРОЦЕСС 2-12 МАРТА 1938 г.	ДРУГИЕ ДОКУМЕНТЫ
