person	position	position_is_noisy	document_count	person_total_documents	share_of_person_documents
Л.И. Гасвиани	секретарь	no	2	3	0.6667
Л.И. Гасвиани	член	yes	2	3	0.6667
Л.И. Пономарева	директор	no	2	2	1.0
Л.И. Пономарева	руководитель	no	2	2	1.0
Л.И. Пономарева	троцкист	yes	2	2	1.0
Л.И. Пономарева	член	yes	2	2	1.0
Л.И. Сосицким	обвиняемый	no	2	2	1.0
Л.И. Сосицким	троцкист	yes	2	2	1.0
Л.И. Сосицким	член	yes	2	2	1.0
Л.И. Сосицкого	руководитель	no	2	4	0.5
Л.М. Каганович	директор	no	2	11	0.1818
Л.М. Каганович	заместитель	no	2	11	0.1818
Л.М. Каганович	начальник	no	2	11	0.1818
Л.М. Каганович	редактор	no	2	11	0.1818
Л.М. Каганович	руководитель	no	2	11	0.1818
Л.М. Каганович	сотрудник	no	2	11	0.1818
Л.М. Марьясина	заместитель	no	2	3	0.6667
Л.М. Марьясина	председатель	no	2	3	0.6667
Л.Н. Минервиной	секретарь	no	2	2	1.0
Л.Н. Минервиной	сотрудник	no	2	2	1.0
Л.Н. Минервиной	член	yes	2	2	1.0
Л.О. Ханика	руководитель	no	2	3	0.6667
Л.О. Ханика	член	yes	2	3	0.6667
Л.П. Берии	директор	no	2	2	1.0
Л.П. Берии	секретарь	no	2	2	1.0
Л.П. Берии	троцкист	yes	2	2	1.0
Л.П. Серебрякова	нарком	no	2	3	0.6667
Л.П. Серебрякова	начальник	no	2	3	0.6667
Л.П. Серебрякова	представитель	yes	2	3	0.6667
Л.П. Серебрякова	руководитель	no	2	3	0.6667
Л.П. Серебряковым	правый	yes	2	3	0.6667
Л.С. Ассиновского	начальник	no	2	2	1.0
Л.С. Ассиновского	сотрудник	no	2	2	1.0
Л.С. Мамишвили-Мишкевич	директор	no	2	2	1.0
Л.С. Мамишвили-Мишкевич	заместитель	no	2	2	1.0
Л.С. Мамишвили-Мишкевич	комиссар	no	2	2	1.0
Л.С. Мамишвили-Мишкевич	нарком	no	2	2	1.0
Л.С. Мамишвили-Мишкевич	начальник	no	2	2	1.0
Л.С. Мамишвили-Мишкевич	обвиняемый	no	2	2	1.0
Л.С. Мамишвили-Мишкевич	секретарь	no	2	2	1.0
Л.С. Мамишвили-Мишкевич	троцкист	yes	2	2	1.0
Л.С. Мамишвили-Мишкевич	член	yes	2	2	1.0
Л.С. Сосновского	директор	no	2	5	0.4
Л.С. Сосновского	кандидат	yes	2	5	0.4
Л.С. Сосновского	редактор	no	2	5	0.4
Л.С. Сосновского	руководитель	no	2	5	0.4
Л.С. Сосновского	сотрудник	no	2	5	0.4
Л.С. Тер-Минасов	комиссар	no	2	2	1.0
Л.С. Тер-Минасов	начальник	no	2	2	1.0
Л.С. Тер-Минасов	секретарь	no	2	2	1.0
Л.С. Тер-Минасов	троцкист	yes	2	2	1.0
Л.Ф. Дитятевой	начальник	no	2	5	0.4
Л.Ф. Дитятевой	председатель	no	2	5	0.4
Л.Ф. Дитятевой	руководитель	no	2	5	0.4
Л.Х. Розенблюма	троцкист	yes	2	2	1.0
М.А. Жарикова	заместитель	no	2	2	1.0
М.А. Жарикова	комиссар	no	2	2	1.0
М.А. Жарикова	нарком	no	2	2	1.0
М.А. Жарикова	начальник	no	2	2	1.0
М.А. Жарикова	секретарь	no	2	2	1.0
М.А. Жарикова	троцкист	yes	2	2	1.0
М.А. Жарикова	член	yes	2	2	1.0
М.А. Нырчука	представитель	yes	2	9	0.2222
М.А. Нырчука	секретарь	no	2	9	0.2222
М.В. Бурштейном	заместитель	no	2	3	0.6667
М.В. Бурштейном	нарком	no	2	3	0.6667
М.В. Бурштейном	начальник	no	2	3	0.6667
М.В. Бурштейном	троцкист	yes	2	3	0.6667
М.В. Королькова	посол	no	2	7	0.2857
М.В. Королькова	троцкист	yes	2	7	0.2857
М.В. Михайлика	заместитель	no	2	2	1.0
М.В. Михайлика	нарком	no	2	2	1.0
М.В. Михайлика	начальник	no	2	2	1.0
М.В. Михайлика	председатель	no	2	2	1.0
М.В. Михайлика	прокурор	no	2	2	1.0
М.В. Михайлика	секретарь	no	2	2	1.0
М.В. Михайлика	троцкист	yes	2	2	1.0
М.В. Михайлика	член	yes	2	2	1.0
М.В. Муравьева	троцкист	yes	2	2	1.0
М.В. Муравьева	член	yes	2	2	1.0
М.В. Поздеевой	председатель	no	2	5	0.4
М.В. Поздеевой	член	yes	2	5	0.4
М.Г. Сафьянова	секретарь	no	2	2	1.0
М.Г. Сафьянова	троцкист	yes	2	2	1.0
М.Г. Сафьянова	член	yes	2	2	1.0
М.И. Лурье	комиссар	no	2	3	0.6667
М.И. Лурье	нарком	no	2	3	0.6667
М.И. Лурье	правый	yes	2	3	0.6667
М.И. Лурье	представитель	yes	2	3	0.6667
М.И. Лурье	руководитель	no	2	3	0.6667
М.И. Лурье	секретарь	no	2	3	0.6667
М.И. Новожилова	нарком	no	2	2	1.0
М.И. Новожилова	троцкист	yes	2	2	1.0
М.И. Новожилова	член	yes	2	2	1.0
М.И. Сумецкого	обвиняемый	no	2	2	1.0
М.И. Сумецкого	правый	yes	2	2	1.0
М.И. Сумецкого	троцкист	yes	2	2	1.0
М.И. Сумецкого	член	yes	2	2	1.0
М.К. Чернявского	руководитель	no	2	11	0.1818
М.К. Чернявского	сотрудник	no	2	11	0.1818
М.Л. Быховского	руководитель	no	2	3	0.6667
М.М. Киллерога	заместитель	no	2	6	0.3333
М.М. Киллерога	обвиняемый	no	2	6	0.3333
М.М. Киллерога	правый	yes	2	6	0.3333
М.М. Киллерога	редактор	no	2	6	0.3333
М.М. Киллерога	сотрудник	no	2	6	0.3333
М.М. Кудряшева	директор	no	2	2	1.0
М.М. Кудряшева	троцкист	yes	2	2	1.0
М.М. Кудряшева	член	yes	2	2	1.0
М.М. Харитонова	комиссар	no	2	11	0.1818
М.М. Харитонова	председатель	no	2	11	0.1818
М.М. Чередниченко	директор	no	2	2	1.0
М.М. Чередниченко	нарком	no	2	2	1.0
М.М. Чередниченко	начальник	no	2	2	1.0
М.М. Чередниченко	руководитель	no	2	2	1.0
М.М. Чередниченко	секретарь	no	2	2	1.0
М.М. Чередниченко	троцкист	yes	2	2	1.0
М.М. Чередниченко	член	yes	2	2	1.0
М.Н. Рябинина	троцкист	yes	2	2	1.0
М.Н. Рябинина	член	yes	2	2	1.0
М.Н. Яковлева	комиссар	no	2	9	0.2222
М.Н. Яковлева	обвиняемый	no	2	9	0.2222
М.О. Зюка	кандидат	yes	2	3	0.6667
М.О. Зюка	начальник	no	2	3	0.6667
М.О. Зюка	секретарь	no	2	3	0.6667
М.П. Жакова	комиссар	no	2	3	0.6667
М.П. Жакова	редактор	no	2	3	0.6667
М.П. Жакова	секретарь	no	2	3	0.6667
М.П. Жакова	троцкист	yes	2	3	0.6667
М.П. Томского	нарком	no	2	4	0.5
М.П. Томского	редактор	no	2	4	0.5
М.П. Томского	троцкист	yes	2	4	0.5
М.С. Богуславского	комиссар	no	2	4	0.5
М.С. Рэма	троцкист	yes	2	5	0.4
М.С. Строилова	комиссар	no	2	4	0.5
М.С. Строилова	представитель	yes	2	4	0.5
М.С. Строилова	руководитель	no	2	4	0.5
М.Т. Антонова	нарком	no	2	2	1.0
М.Т. Антонова	начальник	no	2	2	1.0
М.Т. Антонова	редактор	no	2	2	1.0
М.Т. Антонова	руководитель	no	2	2	1.0
М.Т. Антонова	сотрудник	no	2	2	1.0
М.Т. Антонова	троцкист	yes	2	2	1.0
М.Т. Антонова	член	yes	2	2	1.0
М.Ф. Постоловского	директор	no	2	2	1.0
М.Ф. Постоловского	комиссар	no	2	2	1.0
М.Ф. Постоловского	секретарь	no	2	2	1.0
М.Ф. Постоловского	троцкист	yes	2	2	1.0
М.Ф. Шкирятову	нарком	no	2	8	0.25
М.Ф. Шкирятову	посол	no	2	8	0.25
М.Ф. Шкирятову	правый	yes	2	8	0.25
М.Ф. Шкирятову	троцкист	yes	2	8	0.25
Молотов	заместитель	no	2	6	0.3333
Молотов	кандидат	yes	2	6	0.3333
Молотов	правый	yes	2	6	0.3333
Молотов	председатель	no	2	6	0.3333
Н.А. Угланова	директор	no	2	6	0.3333
Н.А. Угланова	нарком	no	2	6	0.3333
Н.А. Царькова	руководитель	no	2	5	0.4
Н.А. Царькова	секретарь	no	2	5	0.4
Н.А. Царькова	член	yes	2	5	0.4
Н.Б. Розенфельда	сотрудник	no	2	5	0.4
Н.Б. Розенфельда	троцкист	yes	2	5	0.4
Н.Б. Розенфельда	член	yes	2	5	0.4
Н.В. Буинцева	директор	no	2	2	1.0
Н.В. Буинцева	троцкист	yes	2	2	1.0
Н.В. Буинцева	член	yes	2	2	1.0
Н.В. Голубенко	обвиняемый	no	2	11	0.1818
Н.И. Бураго	комиссар	no	2	6	0.3333
Н.И. Бураго	секретарь	no	2	6	0.3333
Н.И. Бураго	член	yes	2	6	0.3333
Н.И. Гордона	член	yes	2	3	0.6667
Н.И. Москалева	директор	no	2	3	0.6667
Н.И. Москалева	нарком	no	2	3	0.6667
Н.И. Москалева	сотрудник	no	2	3	0.6667
Н.И. Москалева	член	yes	2	3	0.6667
Н.И. Муралова	комиссар	no	2	2	1.0
Н.И. Муралова	нарком	no	2	2	1.0
Н.И. Муралова	секретарь	no	2	2	1.0
Н.И. Муралова	троцкист	yes	2	2	1.0
Н.И. Муралова	член	yes	2	2	1.0
Н.И. Мухина	член	yes	2	8	0.25
Н.Л. Лурье	комиссар	no	2	2	1.0
Н.Л. Лурье	руководитель	no	2	2	1.0
Н.Л. Лурье	секретарь	no	2	2	1.0
Н.Л. Лурье	троцкист	yes	2	2	1.0
Н.Л. Лурье	член	yes	2	2	1.0
Н.М. Лукина-Бухарина	правый	yes	2	3	0.6667
Н.М. Маторина	директор	no	2	2	1.0
Н.М. Маторина	комиссар	no	2	2	1.0
Н.М. Маторина	обвиняемый	no	2	2	1.0
Н.М. Маторина	секретарь	no	2	2	1.0
Н.М. Маторина	троцкист	yes	2	2	1.0
Н.М. Маторина	член	yes	2	2	1.0
Н.Н. Алексеева	правый	yes	2	2	1.0
Н.Н. Алексеева	секретарь	no	2	2	1.0
Н.Н. Алексеева	член	yes	2	2	1.0
Н.Н. Шатским	троцкист	yes	2	3	0.6667
Н.Н. Шатским	член	yes	2	3	0.6667
Н.Н. Шатского	секретарь	no	2	2	1.0
Н.Н. Шатского	член	yes	2	2	1.0
Н.П. Глебов-Авилов	кандидат	yes	2	3	0.6667
Н.П. Глебов-Авилов	начальник	no	2	3	0.6667
Н.П. Михетко	начальник	no	2	3	0.6667
Н.П. Михетко	троцкист	yes	2	3	0.6667
Н.П. Михетко	член	yes	2	3	0.6667
Н.П. Мясникова	правый	yes	2	7	0.2857
Н.П. Мясниковым	руководитель	no	2	3	0.6667
Н.П. Мясниковым	троцкист	yes	2	3	0.6667
Н.С. Антонова	секретарь	no	2	10	0.2
Н.С. Антонова	троцкист	yes	2	10	0.2
Н.С. Антоновым	член	yes	2	3	0.6667
О.П. Дзениса	комиссар	no	2	2	1.0
О.П. Дзениса	правый	yes	2	2	1.0
О.П. Дзениса	руководитель	no	2	2	1.0
О.П. Дзениса	секретарь	no	2	2	1.0
О.П. Дзениса	троцкист	yes	2	2	1.0
О.П. Дзениса	член	yes	2	2	1.0
Ольберг	заместитель	no	2	94	0.0213
Ольберг	кандидат	yes	2	94	0.0213
Ольберг	подсудимый	no	2	94	0.0213
Ольберг	прокурор	no	2	94	0.0213
П.А. Коваленко	руководитель	no	2	5	0.4
П.А. Липшица	посол	no	2	2	1.0
П.А. Липшица	член	yes	2	2	1.0
П.А. Николаева	комиссар	no	2	10	0.2
П.Г. Петровского	правый	yes	2	2	1.0
П.Г. Петровского	секретарь	no	2	2	1.0
П.Г. Петровского	троцкист	yes	2	2	1.0
П.Г. Петровского	член	yes	2	2	1.0
П.И. Бескиной	полпред	no	2	6	0.3333
П.И. Бескиной	правый	yes	2	6	0.3333
П.И. Гордеевой	руководитель	no	2	3	0.6667
П.К. Александрова	член	yes	2	2	1.0
П.Н. Нечаева	начальник	no	2	2	1.0
П.Н. Нечаева	сотрудник	no	2	2	1.0
П.Н. Нечаева	троцкист	yes	2	2	1.0
П.Н. Нечаева	член	yes	2	2	1.0
П.П. Северова	член	yes	2	2	1.0
П.Ф. Зайцева	председатель	no	2	3	0.6667
П.Ф. Зайцева	руководитель	no	2	3	0.6667
П.Ф. Зайцева	сотрудник	no	2	3	0.6667
П.Ф. Зайцева	член	yes	2	3	0.6667
П.Ф. Полякова	троцкист	yes	2	2	1.0
П.Ф. Полякова	член	yes	2	2	1.0
П.Ф. Сапожникова	агент	no	2	3	0.6667
П.Ф. Сапожникова	комиссар	no	2	3	0.6667
П.Ф. Сапожникова	начальник	no	2	3	0.6667
П.Ф. Сапожникова	председатель	no	2	3	0.6667
П.Ф. Сапожникова	представитель	yes	2	3	0.6667
П.Э. Роцкана	начальник	no	2	3	0.6667
П.Э. Роцкана	троцкист	yes	2	3	0.6667
П.Э. Роцкана	член	yes	2	3	0.6667
Пригожин	директор	no	2	2	1.0
Пригожин	кандидат	yes	2	2	1.0
Пригожин	комиссар	no	2	2	1.0
Пригожин	председатель	no	2	2	1.0
Пригожин	секретарь	no	2	2	1.0
Пригожин	троцкист	yes	2	2	1.0
Пригожин	член	yes	2	2	1.0
Пятаков	кандидат	yes	2	22	0.0909
Пятаков	посол	no	2	22	0.0909
Пятаков	прокурор	no	2	22	0.0909
Р.А. Петерсона	секретарь	no	2	2	1.0
Р.В. Пикеля	кандидат	yes	2	4	0.5
Р.С. Беннет	комиссар	no	2	2	1.0
Р.С. Беннет	представитель	yes	2	2	1.0
Р.С. Беннет	руководитель	no	2	2	1.0
Р.С. Беннет	секретарь	no	2	2	1.0
Р.С. Беннет	сотрудник	no	2	2	1.0
Р.С. Беннет	троцкист	yes	2	2	1.0
Р.С. Беннет	член	yes	2	2	1.0
Радек	адвокат	no	2	25	0.08
Радек	директор	no	2	25	0.08
Радек	председатель	no	2	25	0.08
Радек	свидетель	no	2	25	0.08
Радин	комиссар	no	2	2	1.0
Радин	нарком	no	2	2	1.0
Радин	правый	yes	2	2	1.0
Радин	председатель	no	2	2	1.0
Радин	представитель	yes	2	2	1.0
Радин	секретарь	no	2	2	1.0
Радин	троцкист	yes	2	2	1.0
Радин	член	yes	2	2	1.0
С.А. Гоглидзе	комиссар	no	2	2	1.0
С.А. Гоглидзе	троцкист	yes	2	2	1.0
С.А. Гоглидзе	член	yes	2	2	1.0
С.А. Ратайчаком	заместитель	no	2	2	1.0
С.А. Ратайчаком	комиссар	no	2	2	1.0
С.А. Ратайчаком	начальник	no	2	2	1.0
С.А. Ратайчаком	обвиняемый	no	2	2	1.0
С.А. Ратайчаком	руководитель	no	2	2	1.0
С.А. Ратайчаком	секретарь	no	2	2	1.0
С.А. Ратайчаком	троцкист	yes	2	2	1.0
С.А. Ратайчаком	член	yes	2	2	1.0
С.А. Чихладзе	кандидат	yes	2	6	0.3333
С.А. Чихладзе	редактор	no	2	6	0.3333
С.В. Мрачковский	начальник	no	2	8	0.25
С.В. Мрачковский	председатель	no	2	8	0.25
С.В. Мрачковский	руководитель	no	2	8	0.25
С.Г. Радомысльского	комиссар	no	2	2	1.0
С.Г. Радомысльского	секретарь	no	2	2	1.0
С.Г. Радомысльского	член	yes	2	2	1.0
С.И. Лукашика	директор	no	2	3	0.6667
С.И. Лукашика	обвиняемый	no	2	3	0.6667
С.И. Лукашика	руководитель	no	2	3	0.6667
С.М. Гессена	секретарь	no	2	8	0.25
С.М. Закс-Гладнев	редактор	no	2	2	1.0
С.М. Закс-Гладнев	секретарь	no	2	2	1.0
С.М. Закс-Гладнев	член	yes	2	2	1.0
С.О. Мандельштама	член	yes	2	2	1.0
С.П. Калашникова	обвиняемый	no	2	2	1.0
С.П. Калашникова	секретарь	no	2	2	1.0
С.П. Калашникова	член	yes	2	2	1.0
С.П. Минаева	нарком	no	2	2	1.0
С.П. Минаева	троцкист	yes	2	2	1.0
С.С. Зорина	директор	no	2	2	1.0
С.С. Зорина	секретарь	no	2	2	1.0
С.С. Зорина	член	yes	2	2	1.0
С.Х. Варданиана	директор	no	2	4	0.5
С.Х. Варданиана	нарком	no	2	4	0.5
С.Х. Варданиана	председатель	no	2	4	0.5
С.Х. Варданиана	редактор	no	2	4	0.5
С.Х. Варданиана	руководитель	no	2	4	0.5
С.Х. Варданиана	сотрудник	no	2	4	0.5
С.Х. Варданиана	член	yes	2	4	0.5
С.Я. Бабахана	комиссар	no	2	2	1.0
С.Я. Бабахана	правый	yes	2	2	1.0
С.Я. Бабахана	руководитель	no	2	2	1.0
С.Я. Бабахана	секретарь	no	2	2	1.0
С.Я. Бабахана	троцкист	yes	2	2	1.0
С.Я. Бабахана	член	yes	2	2	1.0
С.Я. Шаева	вредитель	yes	2	3	0.6667
С.Я. Шаева	директор	no	2	3	0.6667
С.Я. Шаева	нарком	no	2	3	0.6667
С.Я. Шаева	председатель	no	2	3	0.6667
Седов	руководитель	no	2	78	0.0256
Смирнов	агент	no	2	10	0.2
Смирнов	начальник	no	2	10	0.2
Смирнов	представитель	yes	2	10	0.2
Смирнов	редактор	no	2	10	0.2
Смирнов	сотрудник	no	2	10	0.2
Сокольников	заместитель	no	2	18	0.1111
Сокольников	корреспондент	no	2	18	0.1111
Сокольников	полпред	no	2	18	0.1111
Сокольников	прокурор	no	2	18	0.1111
Т.Г. Гатаулина	троцкист	yes	2	2	1.0
Т.Г. Гатаулина	член	yes	2	2	1.0
Т.И. Глебовой	кандидат	yes	2	9	0.2222
Т.И. Глебовой	комиссар	no	2	9	0.2222
Т.И. Глебовой	нарком	no	2	9	0.2222
Т.И. Глебовой	подсудимый	no	2	9	0.2222
Т.И. Глебовой	посол	no	2	9	0.2222
Т.И. Глебовой	руководитель	no	2	9	0.2222
Т.И. Глебовой	сотрудник	no	2	9	0.2222
Т.П. Денисовой	посол	no	2	2	1.0
Т.Р. Левиной	правый	yes	2	2	1.0
Т.Р. Левиной	руководитель	no	2	2	1.0
Т.Р. Левиной	троцкист	yes	2	2	1.0
Т.Р. Левиной	член	yes	2	2	1.0
Ф.Г. Иванова	троцкист	yes	2	2	1.0
Ф.И. Вайсберга	секретарь	no	2	2	1.0
Ф.И. Вайсберга	троцкист	yes	2	2	1.0
Ф.И. Вайсберга	член	yes	2	2	1.0
Х.Г. Гуревича	комиссар	no	2	3	0.6667
Х.Г. Гуревича	начальник	no	2	3	0.6667
Х.Г. Гуревича	представитель	yes	2	3	0.6667
Х.Г. Раковского	комиссар	no	2	3	0.6667
Х.Г. Раковского	председатель	no	2	3	0.6667
Х.Г. Раковского	секретарь	no	2	3	0.6667
Х.Г. Раковского	член	yes	2	3	0.6667
Членов	адвокат	no	2	14	0.1429
Членов	заместитель	no	2	14	0.1429
Членов	полпред	no	2	14	0.1429
Членов	представитель	yes	2	14	0.1429
Членов	редактор	no	2	14	0.1429
Шемелев	сотрудник	no	2	5	0.4
Э.С. Гольцмана	директор	no	2	4	0.5
Ю.М. Бочарова	троцкист	yes	2	2	1.0
Ю.М. Бочарова	член	yes	2	2	1.0
Ю.М. Коцюбинского	нарком	no	2	3	0.6667
Ю.М. Коцюбинского	начальник	no	2	3	0.6667
Ю.М. Коцюбинского	руководитель	no	2	3	0.6667
Я.А. Лившица	заместитель	no	2	4	0.5
Я.А. Лившица	нарком	no	2	4	0.5
Я.А. Лившица	правый	yes	2	4	0.5
Я.А. Фуртичева	директор	no	2	2	1.0
Я.А. Фуртичева	комиссар	no	2	2	1.0
Я.А. Фуртичева	секретарь	no	2	2	1.0
Я.А. Фуртичева	троцкист	yes	2	2	1.0
Я.А. Фуртичева	член	yes	2	2	1.0
Я.В. Шарова	нарком	no	2	5	0.4
Я.В. Шарова	обвиняемый	no	2	5	0.4
Я.В. Шарова	член	yes	2	5	0.4
Я.Д. Лейбмана	секретарь	no	2	2	1.0
Я.Д. Лейбмана	троцкист	yes	2	2	1.0
Я.Д. Лейбмана	член	yes	2	2	1.0
Я.И. Богомольного	троцкист	yes	2	2	1.0
Я.И. Богомольного	член	yes	2	2	1.0
Я.Н. Вечерковского	руководитель	no	2	3	0.6667
Я.Н. Вечерковского	член	yes	2	3	0.6667
Я.Н. Дробниса	агент	no	2	3	0.6667
Я.Н. Дробниса	комиссар	no	2	3	0.6667
Я.Н. Дробниса	нарком	no	2	3	0.6667
Я.Н. Дробниса	начальник	no	2	3	0.6667
Я.Н. Дробниса	обвиняемый	no	2	3	0.6667
Я.Р. Ельковича	директор	no	2	6	0.3333
Я.Р. Ельковича	комиссар	no	2	6	0.3333
Я.Р. Ельковича	нарком	no	2	6	0.3333
Я.Р. Ельковича	секретарь	no	2	6	0.3333
Я.С. Розанова	представитель	yes	2	5	0.4
Я.С. Розанова	член	yes	2	5	0.4
Я.С. Розановым	обвиняемый	no	2	2	1.0
Я.Я. Упмал-Ангарский	троцкист	yes	2	2	1.0
Я.Я. Упмал-Ангарский	член	yes	2	2	1.0
А.А. Абрамова	директор	no	1	1	1.0
А.А. Абрамова	заместитель	no	1	1	1.0
А.А. Абрамова	начальник	no	1	1	1.0
А.А. Абрамова	обвиняемый	no	1	1	1.0
А.А. Абрамова	председатель	no	1	1	1.0
А.А. Абрамова	руководитель	no	1	1	1.0
А.А. Абрамова	троцкист	yes	1	1	1.0
А.А. Абрамова	член	yes	1	1	1.0
А.А. Андрееву	директор	no	1	3	0.3333
А.А. Андрееву	редактор	no	1	3	0.3333
А.А. Андрееву	член	yes	1	3	0.3333
А.А. Бусыгина	начальник	no	1	2	0.5
А.А. Бусыгина	обвиняемый	no	1	2	0.5
А.А. Бусыгина	правый	yes	1	2	0.5
А.А. Бусыгина	председатель	no	1	2	0.5
А.А. Бусыгина	представитель	yes	1	2	0.5
А.А. Бусыгина	руководитель	no	1	2	0.5
А.А. Бусыгина	секретарь	no	1	2	0.5
А.А. Гардин-Гейер	вредитель	yes	1	1	1.0
А.А. Гардин-Гейер	комиссар	no	1	1	1.0
А.А. Гардин-Гейер	секретарь	no	1	1	1.0
А.А. Гардин-Гейер	сотрудник	no	1	1	1.0
А.А. Докучаева	заместитель	no	1	3	0.3333
А.А. Докучаева	обвиняемый	no	1	3	0.3333
А.А. Докучаева	руководитель	no	1	3	0.3333
А.А. Жданову	комиссар	no	1	1	1.0
А.А. Жданову	обвиняемый	no	1	1	1.0
А.А. Жданову	секретарь	no	1	1	1.0
А.А. Жданову	троцкист	yes	1	1	1.0
А.А. Израилитина	секретарь	no	1	1	1.0
А.А. Израилитина	троцкист	yes	1	1	1.0
А.А. Карпова	заместитель	no	1	1	1.0
А.А. Карпова	комиссар	no	1	1	1.0
А.А. Карпова	начальник	no	1	1	1.0
А.А. Карпова	председатель	no	1	1	1.0
А.А. Карпова	руководитель	no	1	1	1.0
А.А. Карпова	секретарь	no	1	1	1.0
А.А. Карпова	следователь	no	1	1	1.0
А.А. Карпова	троцкист	yes	1	1	1.0
А.А. Карпова	член	yes	1	1	1.0
А.А. Лаврентьева	председатель	no	1	2	0.5
А.А. Мусатова	агент	no	1	4	0.25
А.А. Мусатова	адвокат	no	1	4	0.25
А.А. Мусатова	кандидат	yes	1	4	0.25
А.А. Мусатова	комиссар	no	1	4	0.25
А.А. Мусатова	председатель	no	1	4	0.25
А.А. Мусатова	секретарь	no	1	4	0.25
А.А. Мусатова	следователь	no	1	4	0.25
А.А. Муштакова	правый	yes	1	2	0.5
А.А. Муштакова	член	yes	1	2	0.5
А.А. Нелидовой	руководитель	no	1	1	1.0
А.А. Нелидовой	секретарь	no	1	1	1.0
А.А. Нелидовой	сотрудник	no	1	1	1.0
А.А. Нелидовой	член	yes	1	1	1.0
А.А. Табанакова	агент	no	1	1	1.0
А.А. Табанакова	комиссар	no	1	1	1.0
А.А. Табанакова	начальник	no	1	1	1.0
А.А. Табанакова	правый	yes	1	1	1.0
А.А. Табанакова	председатель	no	1	1	1.0
А.А. Табанакова	секретарь	no	1	1	1.0
А.А. Табанакова	сотрудник	no	1	1	1.0
А.А. Табанакова	троцкист	yes	1	1	1.0
А.А. Табанакова	член	yes	1	1	1.0
А.А. Трояновского	троцкист	yes	1	4	0.25
А.А. Хвыли	агент	no	1	2	0.5
А.А. Хвыли	заместитель	no	1	2	0.5
А.А. Хвыли	кандидат	yes	1	2	0.5
А.А. Хвыли	подсудимый	no	1	2	0.5
А.А. Хвыли	представитель	yes	1	2	0.5
А.А. Хвыли	прокурор	no	1	2	0.5
А.А. Хвыли	редактор	no	1	2	0.5
А.А. Хвыли	секретарь	no	1	2	0.5
А.А. Шестова	посол	no	1	5	0.2
А.А. Шестова	следователь	no	1	5	0.2
А.А. Шестова	сотрудник	no	1	5	0.2
А.В. Бочарова	агент	no	1	1	1.0
А.В. Бочарова	директор	no	1	1	1.0
А.В. Бочарова	заместитель	no	1	1	1.0
А.В. Бочарова	комиссар	no	1	1	1.0
А.В. Бочарова	нарком	no	1	1	1.0
А.В. Бочарова	редактор	no	1	1	1.0
А.В. Бочарова	секретарь	no	1	1	1.0
А.В. Бочарова	член	yes	1	1	1.0
А.В. Галкина	кандидат	yes	1	2	0.5
А.В. Галкина	нарком	no	1	2	0.5
А.В. Галкина	обвиняемый	no	1	2	0.5
А.В. Галкина	правый	yes	1	2	0.5
А.В. Галкина	председатель	no	1	2	0.5
А.В. Галкина	руководитель	no	1	2	0.5
А.В. Герцберга	агент	no	1	4	0.25
А.В. Герцберга	обвиняемый	no	1	4	0.25
А.В. Герцберга	троцкист	yes	1	4	0.25
А.В. Дзедзиевского	заместитель	no	1	1	1.0
А.В. Дзедзиевского	кандидат	yes	1	1	1.0
А.В. Дзедзиевского	комиссар	no	1	1	1.0
А.В. Дзедзиевского	начальник	no	1	1	1.0
А.В. Дзедзиевского	обвиняемый	no	1	1	1.0
А.В. Дзедзиевского	правый	yes	1	1	1.0
А.В. Дзедзиевского	руководитель	no	1	1	1.0
А.В. Дзедзиевского	секретарь	no	1	1	1.0
А.В. Дзедзиевского	сотрудник	no	1	1	1.0
А.В. Дзедзиевского	троцкист	yes	1	1	1.0
А.В. Дзедзиевского	член	yes	1	1	1.0
А.В. Луговой-Левенштейн	руководитель	no	1	2	0.5
А.В. Луговой-Левенштейн	секретарь	no	1	2	0.5
А.В. Перимова	нарком	no	1	5	0.2
А.В. Перимова	секретарь	no	1	5	0.2
А.В. Перимова	член	yes	1	5	0.2
А.В. Перимовым	обвиняемый	no	1	1	1.0
А.В. Перимовым	член	yes	1	1	1.0
А.В. Румянцева	кандидат	yes	1	2	0.5
А.В. Румянцева	член	yes	1	2	0.5
А.В. Травиной	директор	no	1	1	1.0
А.В. Травиной	заместитель	no	1	1	1.0
А.В. Травиной	комиссар	no	1	1	1.0
А.В. Травиной	нарком	no	1	1	1.0
А.В. Травиной	подсудимый	no	1	1	1.0
А.В. Травиной	правый	yes	1	1	1.0
А.В. Травиной	председатель	no	1	1	1.0
А.В. Травиной	секретарь	no	1	1	1.0
А.В. Травиной	троцкист	yes	1	1	1.0
А.В. Травиной	член	yes	1	1	1.0
А.Г. Егорова	комиссар	no	1	1	1.0
А.Г. Егорова	секретарь	no	1	1	1.0
А.Г. Егорова	следователь	no	1	1	1.0
А.Г. Егорова	член	yes	1	1	1.0
А.Г. Колодина	кандидат	yes	1	4	0.25
А.Г. Колодина	нарком	no	1	4	0.25
А.Г. Колодина	руководитель	no	1	4	0.25
А.Г. Колодина	сотрудник	no	1	4	0.25
А.Г. Корчагиной	начальник	no	1	1	1.0
А.Г. Корчагиной	секретарь	no	1	1	1.0
А.Г. Корчагиной	член	yes	1	1	1.0
А.Г. Шляпникова	директор	no	1	1	1.0
А.Г. Шляпникова	комиссар	no	1	1	1.0
А.Г. Шляпникова	секретарь	no	1	1	1.0
