person_a	person_b	document_count
Ежов	М.Е. Быстрова	1
М.Е. Быстрова	Сталин	1
Ежов	Я.Н. Вечерковского	1
Сталин	Я.Н. Вечерковского	1
Б.Е. Барского	Ежов	1
Б.Е. Барского	Сталин	1
Б.Д. Берману	И.М. Кедрова	1
Б.А. Кушнера	И.М. Кедрова	1
Б.А. Кушнера	Б.Д. Берману	1
М.М. Малинова	Сталин	1
М.М. Малинова	Н.Н. Колотилина	1
Н.Н. Колотилина	Сталин	1
Г.С. Биткера	Ежов	1
Г.С. Биткера	Сталин	1
Ежов	К.А. Довганя	1
К.А. Довганя	Сталин	1
Ежов	Н.К. Буянского	1
Н.К. Буянского	Сталин	1
Ежов	М.И. Сумецкого	1
М.И. Сумецкого	Сталин	1
А.А. Жданову	Л.М. Заковского	1
К.Н. Лукницкого	Л.М. Заковского	1
А.А. Жданову	К.Н. Лукницкого	1
Е.А. Афанасьева	Сталин	1
Ежов	П.Н. Королева	1
П.Н. Королева	Сталин	1
Ежов	М.М. Чередниченко	1
М.М. Чередниченко	Сталин	1
Е.В. Цетлина	Ежов	1
Ежов	М.Н. Дьячкова	1
М.Н. Дьячкова	Сталин	1
Ежов	С.Е. Эйдмана	1
С.Е. Эйдмана	Сталин	1
Ежов	К.Н. Афонина	1
К.Н. Афонина	Сталин	1
Ежов	Н.И. Трубиева	1
Н.И. Трубиева	Сталин	1
Ежов	М.С. Строилова	1
М.С. Строилова	Сталин	1
Б.О. Норкина	Ежов	1
Б.О. Норкина	Сталин	1
Бухарин	Пятаков	1
Бухарин	Л.С. Сосновского	1
Бухарин	Е.Ф. Куликовым	1
И.А. Князева	Молотов	1
А.Ю. Тивеля	Сталин	1
И.А. Князева	Сталин	1
А.А. Андрееву	С.А. Саркисова	1
Л.И. Гасвиани	С.А. Саркисова	1
А.А. Андрееву	Л.И. Гасвиани	1
И.А. Князева	П.В. Чистову	1
Ежов	Ф.И. Никогда	1
Сталин	Ф.И. Никогда	1
В.Ф. Захариной	Ежов	1
В.Ф. Захариной	Сталин	1
Ежов	М.В. Келдыша	1
М.В. Келдыша	Сталин	1
Г.Д. Арсентьева	Ежов	1
Г.Д. Арсентьева	Сталин	1
Д.Т. Шермергорна	Ежов	1
А.К. Дрожжина	Ежов	1
А.К. Дрожжина	Сталин	1
Ежов	С.А. Асилова	1
С.А. Асилова	Сталин	1
А.В. Дзедзиевского	Ежов	1
А.В. Дзедзиевского	Сталин	1
Ежов	И.И. Граше	1
И.И. Граше	Сталин	1
Ежов	Я.Ф. Городецкого	1
Сталин	Я.Ф. Городецкого	1
Ежов	Л.С. Сосновского	1
В.М. Меерсона	Ежов	1
В.М. Меерсона	Сталин	1
Ежов	С.Я. Шаева	1
С.Я. Шаева	Сталин	1
Ежов	П.Т. Богачева	1
П.Т. Богачева	Сталин	1
Ежов	Я.Р. Ельковича	1
Сталин	Я.Р. Ельковича	1
Ежов	Н.С. Сычева	1
Н.С. Сычева	Сталин	1
А.А. Хвыли	Л.М. Каганович	1
А.А. Хвыли	Ежов	1
Ежов	Л.Ю. Брик	1
В.М. Примакова	Л.Ю. Брик	1
Ежов	Т.И. Глебовой	1
Ежов	М.П. Давыдова	1
М.П. Давыдова	Сталин	1
Ежов	И.И. Бурлакова	1
И.И. Бурлакова	Сталин	1
Ежов	Л.А. Шацкина	1
А.Я. Вышинский	Л.А. Шацкина	1
Ежов	М.М. Кудряшева	1
М.М. Кудряшева	Сталин	1
Ежов	Ф.В. Кипарисова	1
Сталин	Ф.В. Кипарисова	1
Ежов	М.Н. Уфимцевой	1
М.Н. Уфимцевой	Сталин	1
А.А. Карпова	Ежов	1
А.А. Карпова	Сталин	1
А.П. Метальникова	Ежов	1
А.П. Метальникова	Сталин	1
Е.М. Пружанской	Ежов	1
Е.М. Пружанской	Сталин	1
Ежов	Ю.Г. Островского	1
Сталин	Ю.Г. Островского	1
Ежов	Н.Г. Ольховского	1
Н.Г. Ольховского	Сталин	1
В.М. Андреева	Ежов	1
В.М. Андреева	Сталин	1
А.Н. Барулина	Ежов	1
А.Н. Барулина	Сталин	1
В.Н. Голованова	Ежов	1
В.Н. Голованова	Сталин	1
Ежов	Ф.Ф. Иоэльсон	1
Сталин	Ф.Ф. Иоэльсон	1
А.И. Витковского	Ежов	1
А.И. Витковского	Сталин	1
В.М. Примакова	Сталин	1
Л.Г. Миронова	Сталин	1
А.И. Юлина	Сталин	1
В.Ф. Логиновым	Ежов	1
В.Ф. Логиновым	Сталин	1
А.А. Шестова	Ежов	1
И.М. Гуревича	Сталин	1
А.И. Гальперина	Ежов	1
А.И. Гальперина	Сталин	1
С.Г. Радомысльского	Сталин	1
Сталин	Ф.И. Вайсберга	1
Ежов	И.З. Станкина	1
И.З. Станкина	Сталин	1
Б.А. Двинскому	И.И. Петухова	1
И.И. Петухова	С.А. Туровского	1
И.И. Петухова	К.Е. Ворошилова	1
Б.А. Двинскому	С.А. Туровского	1
Б.А. Двинскому	К.Е. Ворошилова	1
К.Е. Ворошилова	С.А. Туровского	1
А.М. Кашкина	Ежов	1
А.М. Кашкина	Сталин	1
Ежов	Н.И. Андреева	1
Н.И. Андреева	Сталин	1
Ежов	М.М. Оскольский-Финкельштейн	1
М.М. Оскольский-Финкельштейн	Сталин	1
Агранов	Е.И. Перлина	1
Е.И. Перлина	Сталин	1
Ежов	М.Н. Яковлева	1
Е.Р. Майера	Ежов	1
Е.Р. Майера	Сталин	1
Агранов	Л.М. Островской	1
Л.М. Островской	Сталин	1
Л.М. Каганович	Я.А. Лившица	1
Г.Г. Ягода	Н.А. Угланова	1
Ежов	Н.А. Угланова	1
Г.Г. Ягода	М.Ф. Иоэльсона	1
Ежов	М.Ф. Иоэльсона	1
А.И. Юлина	Г.Г. Ягода	1
А.А. Докучаева	Г.Г. Ягода	1
Агранов	Д.А. Шмидта	1
Д.А. Шмидта	Ежов	1
А.Я. Вышинский	Рыков	1
Ежов	Э.Н. Адунской	1
В.А. Балицкого	Ф.И. Вайсберга	1
Дмитриев	Н.И. Москалева	1
Н.И. Москалева	Пятаков	1
Ежов	О.А. Лидака	1
О.А. Лидака	Сталин	1
Д.С. Гуревича	Ежов	1
В.Н. Яковлевой	Д.С. Гуревича	1
В.Н. Яковлевой	Ежов	1
Г.Г. Ягода	К.С. Дорофеева	1
Ежов	М.П. Томского	1
Бухарин	Сокольников	1
А.Я. Вышинский	Сокольников	1
Г.Г. Ягода	Ф.В. Яблонской	1
Ежов	Ф.В. Яблонской	1
Г.М. Маленкову	Р.И. Эйхе	1
Ежов	Р.И. Эйхе	1
Г.М. Маленкову	Ежов	1
М.И. Томской	Сталин	1
Ежов	М.О. Зюка	1
А.Я. Вышинский	Б.М. Беккера	1
А.Я. Вышинский	С.В. Мрачковском	1
Б.М. Беккера	Ежов	1
Ежов	С.В. Мрачковском	1
Б.М. Беккера	С.В. Мрачковском	1
Ежов	И.Т. Смилги	1
Т.И. Глебовой	Членов	1
А.Я. Вышинский	Р.П. Катаняна	1
К.В. Генераловой	Р.П. Катаняна	1
А.Я. Вышинский	К.В. Генераловой	1
А.М. Гертика	Г.Г. Ягода	1
А.М. Гертика	Сталин	1
Бухарин	К.Е. Ворошилова	1
А.А. Шестова	Г.Г. Ягода	1
Г.Г. Ягода	Н.Г. Туманова	1
Н.Г. Туманова	Сталин	1
Ежов	Ш.М. Дволайцкого	1
Молотов	Ш.М. Дволайцкого	1
М.В. Поздеевой	Ш.М. Дволайцкого	1
М.И. Лурье	Ш.М. Дволайцкого	1
Ежов	М.В. Поздеевой	1
Ежов	М.И. Лурье	1
М.В. Поздеевой	Молотов	1
М.И. Лурье	Молотов	1
М.В. Поздеевой	М.И. Лурье	1
А.С. Булину	В.М. Мулина	1
Зиновьев	Радек	1
Л.З. Мехлиса	Л.М. Каганович	1
А.А. Андрееву	Л.З. Мехлиса	1
Ежов	Л.З. Мехлиса	1
Зиновьев	Л.З. Мехлиса	1
А.А. Андрееву	Л.М. Каганович	1
А.А. Андрееву	Ежов	1
А.А. Андрееву	Зиновьев	1
А.Д. Бронштейне	Дмитриев	1
М.Г. Короп	Смирнов	1
Молотов	Ф.П. Швальбе	1
Л.М. Каганович	Н.С. Хрущева	1
Н.С. Хрущева	Рыков	1
Л.М. Каганович	Рыков	1
М.О. Зюка	Сталин	1
Б.Н. Сахова	Ежов	1
Б.Н. Сахова	Г.Г. Ягода	1
Г.Г. Ягода	Г.С. Люшкову	1
Г.С. Люшкову	Сталин	1
Г.С. Люшкову	Зиновьев	1
Г.И. Серебряковой	Ежов	1
Г.Г. Ягода	Л.М. Каганович	1
И.И. Рейнгольда	Л.М. Каганович	1
Е.В. Пикель	Сталин	1
Д.З. Мануильскому	М.А. Москвину	1
И.И. Рейногльда	Пятаков	1
Н.В. Голубенко	Пятаков	1
И.И. Рейногльда	Сталин	1
И.И. Рейногльда	Н.В. Голубенко	1
Г.Г. Ягода	Г.Е. Евдокимова	1
А.Л. Леонтьева	Ежов	1
Г.Г. Ягода	Членов	1
Г.М. Аркуса	И.И. Рейнгольда	1
Г.С. Фридлянда	Ежов	1
Г.Г. Ягода	С.М. Закс-Гладнев	1
Г.Г. Ягода	Молотов	1
Молотов	Смирнов	1
Молотов	С.В. Мрачковский	1
С.В. Мрачковский	Смирнов	1
Ежов	И.И. Рейнгольда	1
Г.Г. Ягода	Н.А. Карева	1
Н.А. Карева	Сталин	1
Зиновьев	Н.А. Карева	1
Агранов	М.Т. Антонова	1
Ежов	М.Т. Антонова	1
Г.Г. Ягода	Р.В. Пикеля	1
Р.В. Пикеля	Сталин	1
Н.Л. Лурье	Сталин	1
Агранов	И.И. Рейнгольда	1
А.И. Уварова	Агранов	1
А.И. Уварова	Ежов	1
Агранов	К.И. Грюнштейна	1
Ежов	К.И. Грюнштейна	1
И.П. Бакаевым	Н.А. Карева	1
Ежов	Н.Л. Лурье	1
Г.Г. Ягода	И.М. Бык-Бек	1
А.М. Аркус	Г.Г. Ягода	1
И.М. Бык-Бек	Сталин	1
А.М. Аркус	Сталин	1
Г.М. Аркуса	И.М. Бык-Бек	1
А.М. Аркус	И.М. Бык-Бек	1
А.В. Галкина	И.М. Бык-Бек	1
А.М. Аркус	Г.М. Аркуса	1
А.В. Галкина	Г.М. Аркуса	1
А.В. Галкина	А.М. Аркус	1
Б.И. Кузьмичева	Сталин	1
Г.Г. Ягода	И.Ф. Флакса	1
Ежов	И.Ф. Флакса	1
Г.Г. Ягода	Р.А. Грюнштейн	1
Р.А. Грюнштейн	Сталин	1
Г.Г. Ягода	И.С. Эстермана	1
И.С. Эстермана	Сталин	1
Г.Г. Ягода	М.И. Лурье	1
М.И. Лурье	Сталин	1
Г.Г. Ягода	Г.С. Тымянского	1
Г.С. Тымянского	Ежов	1
Г.Г. Ягода	Н.Ф. Печерского	1
Н.Ф. Печерского	Сталин	1
А.Г. Колодина	Г.Г. Ягода	1
Г.Г. Ягода	М.Н. Яковлева	1
Г.Г. Ягода	М.П. Жакова	1
Ежов	М.П. Жакова	1
Г.Е. Прокофьева	М.Л. Быховского	1
А.А. Бусыгина	Г.Е. Прокофьева	1
А.А. Бусыгина	Ежов	1
А.А. Андрееву	И.М. Орловская-Мрачковская	1
А.Н. Сафоновой	Смирнов	1
Г.Е. Прокофьева	Х.Г. Гуревича	1
Г.А. Молчанова	П.И. Шабалкина	1
Ежов	П.И. Шабалкина	1
А.П. Костиной	Г.А. Молчанова	1
А.П. Костиной	Ежов	1
Г.Е. Прокофьева	И.Я. Одыня	1
И.Я. Одыня	Сталин	1
Г.Е. Прокофьева	Я.А. Фуртичева	1
Сталин	Я.А. Фуртичева	1
Г.Е. Прокофьева	Г.Л. Шкловского	1
Г.Л. Шкловского	Сталин	1
А.Н. Фокина	Г.Е. Прокофьева	1
А.Н. Фокина	Ежов	1
Г.Г. Ягода	Э.С. Гольцмана	1
Сталин	Э.С. Гольцмана	1
Г.Г. Ягода	Х.Г. Гуревича	1
Г.Г. Ягода	И.А. Масленникова	1
И.А. Масленникова	Сталин	1
Г.Г. Ягода	Ю.М. Бочарова	1
Ежов	Ю.М. Бочарова	1
А.О. Альского	Г.А. Молчанова	1
А.О. Альского	Ежов	1
Дмитриев	Сталин	1
Г.Г. Ягода	Т.В. Мешковского	1
Ежов	Т.В. Мешковского	1
Ежов	И.К. Федотова	1
