person	organization	document_count	person_total_documents	share_of_person_documents
Каменев	ЦК ВКП(б)	11	26	0.4231
Л.М. Каганович	ВКП(б)	11	11	1.0
М.К. Чернявского	ВКП(б)	11	11	1.0
М.К. Чернявского	ГУГБ	11	11	1.0
М.К. Чернявского	НКВД	11	11	1.0
Н.А. Розенфельд	НКВД	11	16	0.6875
Радек	ГУГБ	11	25	0.44
Агранов	Коминтерн	10	74	0.1351
Е.К. Мухановой	ВКП(б)	10	13	0.7692
И.И. Котолынова	ГУГБ	10	13	0.7692
И.И. Рейнгольда	ВКП(б)	10	11	0.9091
И.П. Бакаева	ВКП(б)	10	13	0.7692
И.П. Бакаева	ГУГБ	10	13	0.7692
Л.М. Каганович	ЦК ВКП(б)	10	11	0.9091
Н.С. Антонова	ГУГБ	10	10	1.0
Ольберг	Коминтерн	10	94	0.1064
Сталин	Верховный Суд СССР	10	520	0.0192
Членов	НКВД	10	14	0.7143
А.Я. Вышинский	ВКП(б)	9	10	0.9
Агранов	Политбюро	9	74	0.1216
Б.Л. Браво	ГУГБ	9	9	1.0
Б.Л. Браво	НКВД	9	9	1.0
Б.Л. Браво	ОО ГУГБ НКВД	9	9	1.0
Бухарин	Коминтерн	9	73	0.1233
В.А. Барута	ГУГБ	9	9	1.0
В.В. Румянцева	ГУГБ	9	12	0.75
В.С. Левина	ГУГБ	9	9	1.0
Г.Б. Синани-Скалов	ИККИ	9	12	0.75
Г.Г. Ягода	Совнарком	9	158	0.057
Г.Е. Прокофьева	НКВД	9	33	0.2727
Дмитриев	ГУГБ	9	17	0.5294
И.И. Рейнгольда	НКВД	9	11	0.8182
И.И. Рейнгольда	ЦК ВКП(б)	9	11	0.8182
К.К. Муханова	ГУГБ	9	9	1.0
М.Н. Яковлева	ГУГБ	9	9	1.0
Н.В. Голубенко	ВКП(б)	9	11	0.8182
П.А. Николаева	ГУГБ	9	10	0.9
Радек	Правда	9	25	0.36
Рыков	Политбюро	9	18	0.5
Рыков	Совнарком	9	18	0.5
А.М. Гертика	ГУГБ	8	11	0.7273
А.Я. Вышинский	ЦК ВКП(б)	8	10	0.8
В.И. Звездова	ВКП(б)	8	9	0.8889
Г.Е. Прокофьева	Коминтерн	8	33	0.2424
Г.И. Сафарова	ВКП(б)	8	32	0.25
Г.Ф. Попова	ГУГБ	8	12	0.6667
Г.Ф. Федорова	ГУГБ	8	8	1.0
Г.Ф. Федорова	НКВД	8	8	1.0
Ежов	КПК при ЦК ВКП(б)	8	466	0.0172
И.Г. Юскина	ГУГБ	8	8	1.0
