person	organization_family	document_count	person_total_documents	share_of_person_documents
И.С. Эстермана	party_apparatus	2	2	1.0
И.С. Эстермана	security_apparatus	2	2	1.0
И.Т. Ляшенко	security_apparatus	2	2	1.0
И.Т. Смилги	press_media	2	4	0.5
К.А. Озола	party_apparatus	2	2	1.0
К.А. Озола	security_apparatus	2	2	1.0
К.Б. Берман-Юрин	international	2	2	1.0
К.Б. Берман-Юрин	party_apparatus	2	2	1.0
К.Б. Берман-Юрин	security_apparatus	2	2	1.0
К.И. Гидлевского	party_apparatus	2	2	1.0
К.И. Гидлевского	security_apparatus	2	2	1.0
К.И. Грюнштейна	party_apparatus	2	2	1.0
К.И. Грюнштейна	security_apparatus	2	2	1.0
К.К. Муханова	party_apparatus	2	9	0.2222
К.Н. Емельянова	security_apparatus	2	2	1.0
К.С. Дорофеева	party_apparatus	2	2	1.0
К.С. Дорофеева	security_apparatus	2	2	1.0
К.С. Модебадзе	party_apparatus	2	2	1.0
Каменев	state_apparatus	2	26	0.0769
Л.А. Чернозубовой	security_apparatus	2	2	1.0
Л.В. Николаева	press_media	2	43	0.0465
Л.Д. Гогоберидзе	international	2	2	1.0
Л.Д. Гогоберидзе	party_apparatus	2	2	1.0
Л.Д. Гогоберидзе	security_apparatus	2	2	1.0
Л.Д. Гогоберидзе	state_apparatus	2	2	1.0
Л.Е. Бурковой	party_apparatus	2	2	1.0
Л.Е. Бурковой	state_apparatus	2	2	1.0
Л.Е. Тамма	party_apparatus	2	2	1.0
Л.Е. Тамма	security_apparatus	2	2	1.0
Л.Е. Хосроева	party_apparatus	2	2	1.0
Л.Е. Хосроева	security_apparatus	2	2	1.0
Л.З. Мехлиса	state_apparatus	2	6	0.3333
Л.И. Гасвиани	party_apparatus	2	3	0.6667
Л.И. Гасвиани	security_apparatus	2	3	0.6667
Л.И. Перельштейн	party_apparatus	2	2	1.0
Л.И. Перельштейн	security_apparatus	2	2	1.0
Л.И. Пономарева	party_apparatus	2	2	1.0
Л.И. Пономарева	security_apparatus	2	2	1.0
Л.И. Сосицким	security_apparatus	2	2	1.0
Л.М. Каганович	press_media	2	11	0.1818
Л.Н. Минервиной	security_apparatus	2	2	1.0
Л.Н. Минервиной	state_apparatus	2	2	1.0
Л.О. Ханика	party_apparatus	2	3	0.6667
Л.П. Берии	party_apparatus	2	2	1.0
Л.П. Берии	security_apparatus	2	2	1.0
Л.С. Ассиновского	security_apparatus	2	2	1.0
Л.С. Мамишвили-Мишкевич	party_apparatus	2	2	1.0
Л.С. Мамишвили-Мишкевич	security_apparatus	2	2	1.0
Л.С. Сосновского	security_apparatus	2	5	0.4
Л.С. Тер-Минасов	party_apparatus	2	2	1.0
Л.С. Тер-Минасов	security_apparatus	2	2	1.0
Л.Ф. Дитятевой	press_media	2	5	0.4
Л.Х. Розенблюма	party_apparatus	2	2	1.0
Л.Х. Розенблюма	security_apparatus	2	2	1.0
Л.Я. Файвиловича	security_apparatus	2	6	0.3333
М.А. Жарикова	party_apparatus	2	2	1.0
М.А. Жарикова	security_apparatus	2	2	1.0
М.В. Михайлика	party_apparatus	2	2	1.0
М.В. Михайлика	security_apparatus	2	2	1.0
М.В. Поздеевой	international	2	5	0.4
М.Г. Сафьянова	party_apparatus	2	2	1.0
М.Г. Сафьянова	security_apparatus	2	2	1.0
М.И. Лурье	international	2	3	0.6667
М.И. Лурье	security_apparatus	2	3	0.6667
М.И. Новожилова	party_apparatus	2	2	1.0
М.И. Новожилова	security_apparatus	2	2	1.0
М.И. Сумецкого	party_apparatus	2	2	1.0
М.И. Сумецкого	security_apparatus	2	2	1.0
М.М. Кудряшева	party_apparatus	2	2	1.0
М.М. Кудряшева	security_apparatus	2	2	1.0
М.М. Харитонова	international	2	11	0.1818
М.М. Чередниченко	security_apparatus	2	2	1.0
М.Н. Рябинина	party_apparatus	2	2	1.0
М.Н. Рябинина	security_apparatus	2	2	1.0
М.О. Зюка	press_media	2	3	0.6667
М.П. Жакова	party_apparatus	2	3	0.6667
М.П. Жакова	security_apparatus	2	3	0.6667
М.С. Рэма	security_apparatus	2	5	0.4
М.Т. Антонова	party_apparatus	2	2	1.0
М.Т. Антонова	press_media	2	2	1.0
М.Ф. Постоловского	party_apparatus	2	2	1.0
М.Ф. Постоловского	security_apparatus	2	2	1.0
Молотов	press_media	2	6	0.3333
Н.А. Карева	international	2	4	0.5
Н.А. Угланова	press_media	2	6	0.3333
Н.Б. Розенфельда	press_media	2	5	0.4
Н.Б. Скаловой	international	2	2	1.0
Н.Б. Скаловой	security_apparatus	2	2	1.0
Н.В. Буинцева	party_apparatus	2	2	1.0
Н.В. Буинцева	press_media	2	2	1.0
Н.В. Буинцева	security_apparatus	2	2	1.0
Н.И. Москалева	party_apparatus	2	3	0.6667
Н.И. Муралова	party_apparatus	2	2	1.0
Н.И. Муралова	security_apparatus	2	2	1.0
Н.И. Мухина	party_apparatus	2	8	0.25
Н.И. Мухина	security_apparatus	2	8	0.25
Н.Л. Лурье	party_apparatus	2	2	1.0
Н.М. Маторина	party_apparatus	2	2	1.0
Н.М. Маторина	security_apparatus	2	2	1.0
Н.М. Насонова	international	2	2	1.0
Н.М. Насонова	security_apparatus	2	2	1.0
Н.Н. Алексеева	party_apparatus	2	2	1.0
Н.Н. Крестинского	party_apparatus	2	3	0.6667
Н.Н. Мищенко	security_apparatus	2	2	1.0
Н.Н. Шатского	party_apparatus	2	2	1.0
Н.Н. Шатского	security_apparatus	2	2	1.0
Н.П. Глебов-Авилов	judicial_apparatus	2	3	0.6667
О.П. Дзениса	party_apparatus	2	2	1.0
О.П. Дзениса	security_apparatus	2	2	1.0
Ольберг	judicial_apparatus	2	94	0.0213
П.А. Залуцкого	party_apparatus	2	3	0.6667
П.А. Залуцкого	security_apparatus	2	3	0.6667
П.А. Липшица	international	2	2	1.0
П.А. Липшица	party_apparatus	2	2	1.0
П.А. Липшица	security_apparatus	2	2	1.0
П.Г. Петровского	party_apparatus	2	2	1.0
П.Г. Петровского	press_media	2	2	1.0
П.К. Александрова	party_apparatus	2	2	1.0
П.М. Репникова	party_apparatus	2	2	1.0
П.М. Репникова	security_apparatus	2	2	1.0
П.Н. Нечаева	party_apparatus	2	2	1.0
П.Н. Нечаева	security_apparatus	2	2	1.0
П.П. Бурмистрова	security_apparatus	2	2	1.0
П.Ф. Полякова	party_apparatus	2	2	1.0
П.Ф. Полякова	security_apparatus	2	2	1.0
П.Ф. Сапожникова	press_media	2	3	0.6667
П.Ф. Сапожникова	security_apparatus	2	3	0.6667
Пригожин	international	2	2	1.0
Пригожин	party_apparatus	2	2	1.0
Пригожин	press_media	2	2	1.0
Пригожин	security_apparatus	2	2	1.0
Пятаков	international	2	22	0.0909
Пятаков	state_apparatus	2	22	0.0909
Р.А. Петерсона	party_apparatus	2	2	1.0
Р.С. Беннет	party_apparatus	2	2	1.0
Р.С. Беннет	security_apparatus	2	2	1.0
Радин	party_apparatus	2	2	1.0
Радин	state_apparatus	2	2	1.0
Рыков	international	2	18	0.1111
С.А. Гоглидзе	security_apparatus	2	2	1.0
С.А. Ратайчаком	party_apparatus	2	2	1.0
С.А. Ратайчаком	security_apparatus	2	2	1.0
С.А. Чихладзе	party_apparatus	2	6	0.3333
С.А. Чихладзе	state_apparatus	2	6	0.3333
С.В. Мрачковский	press_media	2	8	0.25
С.Г. Радомысльского	party_apparatus	2	2	1.0
С.Г. Радомысльского	security_apparatus	2	2	1.0
С.М. Гессена	international	2	8	0.25
С.М. Закс-Гладнев	international	2	2	1.0
С.П. Калашникова	security_apparatus	2	2	1.0
С.П. Минаева	security_apparatus	2	2	1.0
С.С. Зорина	party_apparatus	2	2	1.0
С.Я. Бабахана	party_apparatus	2	2	1.0
С.Я. Бабахана	security_apparatus	2	2	1.0
С.Я. Шаева	party_apparatus	2	3	0.6667
Т.Г. Гатаулина	security_apparatus	2	2	1.0
Т.П. Денисовой	security_apparatus	2	2	1.0
Т.Р. Левиной	party_apparatus	2	2	1.0
Ф.Г. Иванова	party_apparatus	2	2	1.0
Ф.Г. Иванова	security_apparatus	2	2	1.0
Ф.Ф. Фадеева	party_apparatus	2	7	0.2857
Х.Г. Раковского	party_apparatus	2	3	0.6667
Членов	press_media	2	14	0.1429
Ю.М. Бочарова	party_apparatus	2	2	1.0
Ю.М. Бочарова	security_apparatus	2	2	1.0
Я.А. Лившица	security_apparatus	2	4	0.5
Я.А. Фуртичева	international	2	2	1.0
Я.А. Фуртичева	party_apparatus	2	2	1.0
Я.А. Фуртичева	security_apparatus	2	2	1.0
Я.Д. Лейбмана	security_apparatus	2	2	1.0
Я.Н. Вечерковского	party_apparatus	2	3	0.6667
Я.С. Розановым	security_apparatus	2	2	1.0
Я.Я. Упмал-Ангарский	international	2	2	1.0
Я.Я. Упмал-Ангарский	party_apparatus	2	2	1.0
Я.Я. Упмал-Ангарский	security_apparatus	2	2	1.0
А.А. Абрамова	party_apparatus	1	1	1.0
А.А. Абрамова	press_media	1	1	1.0
А.А. Андрееву	press_media	1	3	0.3333
А.А. Гардин-Гейер	international	1	1	1.0
А.А. Гардин-Гейер	party_apparatus	1	1	1.0
А.А. Гардин-Гейер	security_apparatus	1	1	1.0
А.А. Жданову	party_apparatus	1	1	1.0
А.А. Жданову	press_media	1	1	1.0
А.А. Жданову	security_apparatus	1	1	1.0
А.А. Израилитина	party_apparatus	1	1	1.0
А.А. Израилитина	security_apparatus	1	1	1.0
А.А. Карпова	party_apparatus	1	1	1.0
А.А. Карпова	security_apparatus	1	1	1.0
А.А. Мусатова	international	1	4	0.25
А.А. Мусатова	press_media	1	4	0.25
А.А. Нелидовой	party_apparatus	1	1	1.0
А.А. Нелидовой	security_apparatus	1	1	1.0
А.А. Табанакова	party_apparatus	1	1	1.0
А.А. Табанакова	security_apparatus	1	1	1.0
А.А. Хвыли	international	1	2	0.5
А.А. Хвыли	security_apparatus	1	2	0.5
А.А. Хвыли	state_apparatus	1	2	0.5
А.В. Бочарова	party_apparatus	1	1	1.0
А.В. Бочарова	press_media	1	1	1.0
А.В. Бочарова	security_apparatus	1	1	1.0
А.В. Галкина	security_apparatus	1	2	0.5
А.В. Галкина	state_apparatus	1	2	0.5
А.В. Герцберга	party_apparatus	1	4	0.25
А.В. Дзедзиевского	party_apparatus	1	1	1.0
А.В. Дзедзиевского	press_media	1	1	1.0
А.В. Дзедзиевского	security_apparatus	1	1	1.0
А.В. Луговой-Левенштейн	press_media	1	2	0.5
А.В. Луговой-Левенштейн	security_apparatus	1	2	0.5
А.В. Перимова	international	1	5	0.2
А.В. Перимова	party_apparatus	1	5	0.2
А.В. Перимова	security_apparatus	1	5	0.2
А.В. Перимовым	party_apparatus	1	1	1.0
А.В. Перимовым	security_apparatus	1	1	1.0
А.В. Румянцева	security_apparatus	1	2	0.5
А.В. Травиной	party_apparatus	1	1	1.0
А.В. Травиной	press_media	1	1	1.0
А.В. Травиной	security_apparatus	1	1	1.0
А.В. Травиной	state_apparatus	1	1	1.0
А.Г. Егорова	security_apparatus	1	1	1.0
А.Г. Колодина	international	1	4	0.25
А.Г. Корчагиной	security_apparatus	1	1	1.0
А.Г. Корчагиной	state_apparatus	1	1	1.0
А.Г. Шляпникова	party_apparatus	1	1	1.0
А.Г. Шляпникова	press_media	1	1	1.0
А.Д. Арефьева	security_apparatus	1	2	0.5
А.Д. Арефьевым	party_apparatus	1	1	1.0
А.Д. Бронштейне	judicial_apparatus	1	1	1.0
А.Д. Бронштейне	party_apparatus	1	1	1.0
А.Д. Бронштейне	press_media	1	1	1.0
А.Д. Зайцева	international	1	2	0.5
А.Д. Зайцева	state_apparatus	1	2	0.5
А.Е. Авдеевой	party_apparatus	1	3	0.3333
А.Е. Кожуро	international	1	3	0.3333
А.Е. Кожуро	press_media	1	3	0.3333
А.Е. Кожуро	security_apparatus	1	3	0.3333
А.З. Волкова	party_apparatus	1	1	1.0
А.З. Волкова	security_apparatus	1	1	1.0
А.И. Александрова	party_apparatus	1	4	0.25
А.И. Александрова	press_media	1	4	0.25
А.И. Анишева	press_media	1	12	0.0833
А.И. Анишева	security_apparatus	1	12	0.0833
А.И. Анишева	state_apparatus	1	12	0.0833
А.И. Анишевым	security_apparatus	1	1	1.0
А.И. Биркенгофа	press_media	1	3	0.3333
А.И. Бриггиса	party_apparatus	1	1	1.0
А.И. Бриггиса	security_apparatus	1	1	1.0
А.И. Витковского	party_apparatus	1	1	1.0
А.И. Витковского	security_apparatus	1	1	1.0
А.И. Гальперина	party_apparatus	1	1	1.0
А.И. Гальперина	press_media	1	1	1.0
А.И. Гальперина	security_apparatus	1	1	1.0
А.И. Емшанова	party_apparatus	1	1	1.0
А.И. Емшанова	security_apparatus	1	1	1.0
А.И. Зильбермана	party_apparatus	1	1	1.0
А.И. Зильбермана	press_media	1	1	1.0
А.И. Коновой	state_apparatus	1	3	0.3333
А.И. Муралова	party_apparatus	1	1	1.0
А.И. Муралова	press_media	1	1	1.0
А.И. Муралова	state_apparatus	1	1	1.0
А.И. Мячиной	security_apparatus	1	1	1.0
А.И. Никитинской	party_apparatus	1	1	1.0
А.И. Никитинской	security_apparatus	1	1	1.0
А.И. Никитинской	state_apparatus	1	1	1.0
А.И. Синелобова	press_media	1	3	0.3333
А.И. Стецкого	party_apparatus	1	2	0.5
А.И. Стецкого	press_media	1	2	0.5
А.И. Толмазова	international	1	8	0.125
А.И. Толмазова	party_apparatus	1	8	0.125
А.И. Толмазовым	security_apparatus	1	1	1.0
А.И. Уварова	party_apparatus	1	1	1.0
А.И. Уварова	security_apparatus	1	1	1.0
А.И. Юлина	press_media	1	2	0.5
А.К. Бормана	party_apparatus	1	1	1.0
А.К. Бормана	security_apparatus	1	1	1.0
А.К. Дрожжина	party_apparatus	1	1	1.0
А.К. Дрожжина	security_apparatus	1	1	1.0
А.К. Середохина	international	1	3	0.3333
А.К. Середохина	security_apparatus	1	3	0.3333
А.К. Язовских	party_apparatus	1	1	1.0
А.К. Язовских	security_apparatus	1	1	1.0
А.Л. Голоступеца	security_apparatus	1	1	1.0
А.Л. Голоступеца	state_apparatus	1	1	1.0
А.Л. Леонтьева	party_apparatus	1	1	1.0
А.Л. Леонтьева	press_media	1	1	1.0
А.Л. Леонтьева	security_apparatus	1	1	1.0
А.М. Аркус	party_apparatus	1	1	1.0
А.М. Березина	party_apparatus	1	1	1.0
А.М. Гертика	international	1	11	0.0909
А.М. Горькому	press_media	1	2	0.5
А.М. Гусева	state_apparatus	1	2	0.5
А.М. Зорина	state_apparatus	1	2	0.5
А.М. Кашкина	party_apparatus	1	1	1.0
А.М. Кашкина	security_apparatus	1	1	1.0
А.М. Лариной	press_media	1	3	0.3333
А.М. Луцука	party_apparatus	1	1	1.0
А.М. Луцука	security_apparatus	1	1	1.0
А.М. Попова	party_apparatus	1	1	1.0
А.М. Попова	security_apparatus	1	1	1.0
А.М. Сосипатрова	party_apparatus	1	1	1.0
А.М. Сосипатрова	press_media	1	1	1.0
А.М. Сосипатрова	security_apparatus	1	1	1.0
А.М. Штейна	party_apparatus	1	2	0.5
А.М. Ясюкевича	party_apparatus	1	1	1.0
А.М. Ясюкевича	press_media	1	1	1.0
А.Н. Барулина	party_apparatus	1	1	1.0
А.Н. Барулина	security_apparatus	1	1	1.0
А.Н. Бурова	party_apparatus	1	1	1.0
А.Н. Бурова	security_apparatus	1	1	1.0
А.Н. Панова	party_apparatus	1	1	1.0
А.Н. Слепковым	party_apparatus	1	1	1.0
А.Н. Фокина	party_apparatus	1	1	1.0
А.Н. Фокина	security_apparatus	1	1	1.0
А.О. Альского	international	1	1	1.0
А.О. Альского	party_apparatus	1	1	1.0
А.О. Альского	press_media	1	1	1.0
А.О. Альского	security_apparatus	1	1	1.0
А.О. Голлендера	international	1	1	1.0
А.О. Голлендера	party_apparatus	1	1	1.0
А.О. Голлендера	security_apparatus	1	1	1.0
А.П. Дьячкова	security_apparatus	1	1	1.0
А.П. Загорулько	party_apparatus	1	2	0.5
А.П. Костиной	international	1	5	0.2
А.П. Метальникова	party_apparatus	1	1	1.0
А.П. Метальникова	security_apparatus	1	1	1.0
А.П. Удалова	security_apparatus	1	1	1.0
А.С. Булину	party_apparatus	1	1	1.0
А.С. Булину	security_apparatus	1	1	1.0
А.С. Енукидзе	international	1	8	0.125
А.С. Куклиным	state_apparatus	1	2	0.5
А.С. Оввян	party_apparatus	1	1	1.0
А.С. Оввян	security_apparatus	1	1	1.0
А.С. Соколова	press_media	1	2	0.5
А.Ф. Кошелева	party_apparatus	1	1	1.0
А.Ф. Кошелева	security_apparatus	1	1	1.0
А.Ф. Ульянова	party_apparatus	1	1	1.0
А.Ф. Ульянова	security_apparatus	1	1	1.0
А.Ф. Ульянова	state_apparatus	1	1	1.0
А.Ю. Айхенвальда	international	1	5	0.2
А.Я. Аросеве	party_apparatus	1	1	1.0
А.Я. Аросеве	security_apparatus	1	1	1.0
А.Я. Вышинский	judicial_apparatus	1	10	0.1
А.Я. Свердлова	security_apparatus	1	3	0.3333
А.Я. Юскиной	security_apparatus	1	1	1.0
Б.А. Васильева	international	1	1	1.0
Б.А. Двинскому	party_apparatus	1	1	1.0
Б.А. Двинскому	press_media	1	1	1.0
Б.А. Кушнера	international	1	4	0.25
Б.А. Кушнера	press_media	1	4	0.25
Б.Г. Козелева	international	1	3	0.3333
Б.Г. Мдивани	party_apparatus	1	1	1.0
Б.Г. Мдивани	security_apparatus	1	1	1.0
Б.Д. Берману	party_apparatus	1	1	1.0
Б.Д. Берману	security_apparatus	1	1	1.0
Б.Е. Алдаданова	party_apparatus	1	1	1.0
Б.Е. Алдаданова	security_apparatus	1	1	1.0
Б.Е. Барского	party_apparatus	1	1	1.0
Б.Е. Барского	press_media	1	1	1.0
Б.Е. Барского	security_apparatus	1	1	1.0
Б.З. Ливянта	international	1	1	1.0
Б.З. Ливянта	party_apparatus	1	1	1.0
Б.З. Ливянта	security_apparatus	1	1	1.0
Б.И. Лехтмана	security_apparatus	1	2	0.5
Б.Л. Браво	international	1	9	0.1111
Б.Л. Браво	state_apparatus	1	9	0.1111
Б.Л. Колесникова	party_apparatus	1	1	1.0
Б.Л. Колесникова	press_media	1	1	1.0
Б.Л. Колесникова	security_apparatus	1	1	1.0
Б.Л. Лопатинского	party_apparatus	1	1	1.0
Б.Л. Лопатинского	press_media	1	1	1.0
Б.Л. Лопатинского	security_apparatus	1	1	1.0
Б.М. Беккера	party_apparatus	1	1	1.0
Б.М. Беккера	press_media	1	1	1.0
Б.М. Беккера	security_apparatus	1	1	1.0
Б.М. Нижника	security_apparatus	1	3	0.3333
Б.М. Таля	international	1	2	0.5
Б.М. Таля	press_media	1	2	0.5
Б.М. Таля	security_apparatus	1	2	0.5
Б.О. Норкина	party_apparatus	1	1	1.0
Б.О. Норкина	security_apparatus	1	1	1.0
Б.П. Нестерова	international	1	1	1.0
Б.П. Нестерова	party_apparatus	1	1	1.0
Б.П. Нестерова	press_media	1	1	1.0
Б.П. Нестерова	security_apparatus	1	1	1.0
Б.П. Нестерова	state_apparatus	1	1	1.0
Б.П. Нестеровым	party_apparatus	1	1	1.0
Б.С. Рабиновича	party_apparatus	1	1	1.0
Б.С. Рабиновича	press_media	1	1	1.0
Б.С. Рабиновича	security_apparatus	1	1	1.0
Б.Э. Раткая	party_apparatus	1	1	1.0
Б.Э. Раткая	security_apparatus	1	1	1.0
В.А. Антонов-Овсеенко	party_apparatus	1	1	1.0
В.А. Антонов-Овсеенко	press_media	1	1	1.0
В.А. Балицкого	state_apparatus	1	13	0.0769
В.А. Барута	party_apparatus	1	9	0.1111
В.А. Ваганяна	party_apparatus	1	1	1.0
В.А. Котова	international	1	2	0.5
В.А. Сорокина	party_apparatus	1	1	1.0
В.А. Тер-Ваганян	international	1	3	0.3333
В.А. Тер-Ваганян	judicial_apparatus	1	3	0.3333
В.А. Финашина	party_apparatus	1	1	1.0
В.В. Глухенко	press_media	1	6	0.1667
В.В. Кузьмина	security_apparatus	1	7	0.1429
В.В. Ломинадзе	press_media	1	1	1.0
В.В. Осинского	party_apparatus	1	4	0.25
В.В. Румянцевым	party_apparatus	1	3	0.3333
В.В. Румянцнева	party_apparatus	1	1	1.0
В.В. Румянцнева	security_apparatus	1	1	1.0
В.В. Ульриху	press_media	1	1	1.0
В.Г. Лукина	security_apparatus	1	1	1.0
В.Г. Яковенко	state_apparatus	1	3	0.3333
В.Д. Вуйовича	international	1	2	0.5
В.Д. Вуйовича	security_apparatus	1	2	0.5
В.Д. Вуйовичем	international	1	1	1.0
В.Д. Вуйовичем	party_apparatus	1	1	1.0
В.Д. Вуйовичем	security_apparatus	1	1	1.0
В.Д. Томленова	party_apparatus	1	1	1.0
В.Д. Томленова	press_media	1	1	1.0
В.Д. Томленова	security_apparatus	1	1	1.0
В.Е. Цесарского	party_apparatus	1	1	1.0
В.И. Демченко	party_apparatus	1	1	1.0
В.И. Демченко	security_apparatus	1	1	1.0
В.И. Звездова	security_apparatus	1	9	0.1111
В.И. Звездовым	party_apparatus	1	2	0.5
В.И. Клюшенкова	party_apparatus	1	1	1.0
В.И. Клюшенкова	security_apparatus	1	1	1.0
В.И. Невского	state_apparatus	1	2	0.5
В.И. Пучкова	international	1	2	0.5
В.К. Жарикова	party_apparatus	1	1	1.0
В.К. Жарикова	security_apparatus	1	1	1.0
В.К. Клейна	security_apparatus	1	1	1.0
В.К. Путны	party_apparatus	1	1	1.0
В.К. Путны	press_media	1	1	1.0
В.К. Путны	security_apparatus	1	1	1.0
В.К. Сотскова	party_apparatus	1	1	1.0
В.К. Сотскова	security_apparatus	1	1	1.0
В.Л. Горохова	party_apparatus	1	1	1.0
В.Л. Горохова	security_apparatus	1	1	1.0
В.М. Андреева	party_apparatus	1	2	0.5
В.М. Меерсона	party_apparatus	1	1	1.0
В.М. Меерсона	press_media	1	1	1.0
В.М. Мулина	party_apparatus	1	1	1.0
В.М. Мулина	security_apparatus	1	1	1.0
В.М. Примакова	party_apparatus	1	2	0.5
В.Н. Голованова	party_apparatus	1	2	0.5
В.Н. Гутман	party_apparatus	1	1	1.0
В.Н. Гутман	security_apparatus	1	1	1.0
В.Н. Слепкова	international	1	1	1.0
В.Н. Слепкова	party_apparatus	1	1	1.0
В.Н. Слепкова	press_media	1	1	1.0
В.Н. Слепкова	security_apparatus	1	1	1.0
В.Н. Яковлевой	security_apparatus	1	2	0.5
В.Н. Яковлевой	state_apparatus	1	2	0.5
В.П. Второва	party_apparatus	1	1	1.0
В.П. Второва	press_media	1	1	1.0
В.П. Второва	security_apparatus	1	1	1.0
В.П. Шевелев-Лубков	party_apparatus	1	1	1.0
В.П. Шевелев-Лубков	security_apparatus	1	1	1.0
В.Ф. Бейтельспахера	party_apparatus	1	1	1.0
В.Ф. Захариной	party_apparatus	1	1	1.0
В.Ф. Захариной	security_apparatus	1	1	1.0
В.Ф. Захариной	state_apparatus	1	1	1.0
В.Ф. Логинова	press_media	1	7	0.1429
В.Ф. Логинова	state_apparatus	1	7	0.1429
В.Ф. Логиновым	party_apparatus	1	1	1.0
В.Ф. Логиновым	security_apparatus	1	1	1.0
В.Ф. Степанова	party_apparatus	1	1	1.0
В.Я. Головский-Голощапов	party_apparatus	1	5	0.2
В.Я. Родака	party_apparatus	1	1	1.0
В.Я. Родака	press_media	1	1	1.0
В.Я. Родака	security_apparatus	1	1	1.0
Г.А. Абрамова	party_apparatus	1	1	1.0
Г.А. Абрамова	security_apparatus	1	1	1.0
Г.А. Колоскова	security_apparatus	1	2	0.5
Г.А. Молчанова	international	1	8	0.125
Г.А. Татулова	party_apparatus	1	1	1.0
Г.А. Татулова	press_media	1	1	1.0
Г.А. Татулова	security_apparatus	1	1	1.0
Г.А. Татуловым	party_apparatus	1	1	1.0
Г.А. Татуловым	security_apparatus	1	1	1.0
Г.Б. Берндта	international	1	1	1.0
Г.Б. Берндта	party_apparatus	1	1	1.0
Г.Б. Берндта	security_apparatus	1	1	1.0
Г.Б. Либермана	international	1	1	1.0
Г.Б. Либермана	party_apparatus	1	1	1.0
Г.Б. Либермана	press_media	1	1	1.0
Г.Б. Либермана	security_apparatus	1	1	1.0
Г.Б. Синани-Скалов	judicial_apparatus	1	12	0.0833
Г.Б. Синани-Скалов	press_media	1	12	0.0833
Г.В. Соколова	security_apparatus	1	5	0.2
Г.Г. Матитайшвили	international	1	1	1.0
Г.Г. Матитайшвили	party_apparatus	1	1	1.0
Г.Г. Матитайшвили	state_apparatus	1	1	1.0
Г.Д. Арсентьева	party_apparatus	1	1	1.0
Г.Д. Арсентьева	security_apparatus	1	1	1.0
Г.Е. Горбачева	international	1	3	0.3333
Г.Е. Евдокимовым	party_apparatus	1	4	0.25
Г.Е. Евдокимовым	press_media	1	4	0.25
Г.Е. Меерсона	judicial_apparatus	1	1	1.0
Г.Е. Меерсона	party_apparatus	1	1	1.0
Г.Е. Меерсона	press_media	1	1	1.0
Г.Е. Меерсона	security_apparatus	1	1	1.0
Г.И. Исаева	party_apparatus	1	1	1.0
Г.И. Исаева	press_media	1	1	1.0
Г.И. Исаева	security_apparatus	1	1	1.0
Г.И. Миронова	security_apparatus	1	1	1.0
Г.И. Сафарова	judicial_apparatus	1	32	0.0312
Г.И. Сафаровым	party_apparatus	1	3	0.3333
Г.И. Серебряковой	party_apparatus	1	1	1.0
Г.И. Серебряковой	state_apparatus	1	1	1.0
Г.К. Фельдмана	party_apparatus	1	1	1.0
Г.К. Фельдмана	security_apparatus	1	1	1.0
Г.Л. Шкловского	international	1	2	0.5
Г.Л. Шкловского	security_apparatus	1	2	0.5
Г.Л. Шкловского	state_apparatus	1	2	0.5
Г.М. Аркуса	international	1	6	0.1667
Г.М. Дрязгова	party_apparatus	1	1	1.0
Г.М. Ивановой	security_apparatus	1	1	1.0
Г.М. Маленкова	party_apparatus	1	1	1.0
Г.М. Маленкову	party_apparatus	1	1	1.0
Г.М. Сыроквашева	party_apparatus	1	1	1.0
Г.М. Сыроквашева	security_apparatus	1	1	1.0
Г.П. Адамяна	party_apparatus	1	1	1.0
Г.П. Вяткина	international	1	1	1.0
Г.П. Вяткина	party_apparatus	1	1	1.0
Г.П. Вяткина	security_apparatus	1	1	1.0
Г.П. Вяткина	state_apparatus	1	1	1.0
Г.П. Поташникова	party_apparatus	1	2	0.5
Г.Р. Николаева	party_apparatus	1	1	1.0
Г.Р. Николаева	security_apparatus	1	1	1.0
Г.С. Биткера	international	1	1	1.0
Г.С. Биткера	party_apparatus	1	1	1.0
Г.С. Биткера	security_apparatus	1	1	1.0
Г.С. Герасимато	party_apparatus	1	1	1.0
Г.С. Герасимато	press_media	1	1	1.0
Г.С. Герасимато	security_apparatus	1	1	1.0
Г.С. Зайделя	party_apparatus	1	1	1.0
Г.С. Зайделя	security_apparatus	1	1	1.0
Г.С. Люшкову	party_apparatus	1	1	1.0
Г.С. Люшкову	security_apparatus	1	1	1.0
Г.С. Тымянского	party_apparatus	1	1	1.0
Г.С. Тымянского	security_apparatus	1	1	1.0
Г.С. Фридлянда	international	1	2	0.5
Г.Т. Мясничкова	security_apparatus	1	1	1.0
Г.Ф. Самойловича	security_apparatus	1	1	1.0
Г.Ф. Федоровым	security_apparatus	1	1	1.0
Г.Ф. Федоровым	state_apparatus	1	1	1.0
Г.Я. Маренко	party_apparatus	1	2	0.5
Г.Я. Маренко	security_apparatus	1	2	0.5
Гавен	international	1	2	0.5
Гавен	press_media	1	2	0.5
Гавен	state_apparatus	1	2	0.5
Д.А. Аникина	party_apparatus	1	1	1.0
Д.А. Аникина	security_apparatus	1	1	1.0
Д.А. Аникиным	security_apparatus	1	1	1.0
Д.А. Аникиным	state_apparatus	1	1	1.0
Д.А. Карцева	press_media	1	2	0.5
Д.А. Сниткина	party_apparatus	1	1	1.0
Д.А. Тайца	international	1	1	1.0
