person	organization_family	document_count	person_total_documents	share_of_person_documents
М.Н. Яковлева	party_apparatus	6	9	0.6667
М.Ф. Шкирятову	state_apparatus	6	8	0.75
Н.И. Бураго	security_apparatus	6	6	1.0
С.В. Мрачковский	security_apparatus	6	8	0.75
Т.И. Глебовой	party_apparatus	6	9	0.6667
Т.И. Глебовой	security_apparatus	6	9	0.6667
А.А. Шестова	party_apparatus	5	5	1.0
А.А. Шестова	security_apparatus	5	5	1.0
А.П. Костиной	security_apparatus	5	5	1.0
А.С. Енукидзе	press_media	5	8	0.625
А.С. Енукидзе	security_apparatus	5	8	0.625
А.Ю. Тивеля	party_apparatus	5	5	1.0
А.Ю. Тивеля	security_apparatus	5	5	1.0
А.Я. Вышинский	security_apparatus	5	10	0.5
Б.Н. Розенфельда	security_apparatus	5	5	1.0
Б.Н. Сахова	party_apparatus	5	9	0.5556
В.А. Яковлева	party_apparatus	5	5	1.0
В.А. Яковлева	security_apparatus	5	5	1.0
В.И. Козырева	party_apparatus	5	5	1.0
В.И. Козырева	security_apparatus	5	5	1.0
В.Я. Головский-Голощапов	security_apparatus	5	5	1.0
Г.Е. Евдокимова	international	5	14	0.3571
Г.Е. Евдокимова	party_apparatus	5	14	0.3571
Д.А. Шмидта	party_apparatus	5	6	0.8333
Е.В. Цетлина	international	5	20	0.25
Е.В. Цетлина	state_apparatus	5	20	0.25
З.И. Давыдовой	security_apparatus	5	6	0.8333
И.И. Котолынова	party_apparatus	5	13	0.3846
И.М. Гуревича	security_apparatus	5	6	0.8333
И.П. Бакаева	press_media	5	13	0.3846
И.С. Горшенина	international	5	12	0.4167
И.С. Горшениным	security_apparatus	5	5	1.0
Каменев	international	5	26	0.1923
Л.З. Мехлиса	party_apparatus	5	6	0.8333
Л.С. Сосновского	party_apparatus	5	5	1.0
Л.Ф. Дитятевой	party_apparatus	5	5	1.0
Л.Я. Файвиловича	party_apparatus	5	6	0.8333
Молотов	party_apparatus	5	6	0.8333
Н.А. Угланова	party_apparatus	5	6	0.8333
Н.Б. Розенфельда	security_apparatus	5	5	1.0
П.А. Коваленко	party_apparatus	5	5	1.0
П.А. Коваленко	security_apparatus	5	5	1.0
Радек	state_apparatus	5	25	0.2
Рыков	security_apparatus	5	18	0.2778
Смирнов	security_apparatus	5	10	0.5
Т.И. Глебовой	press_media	5	9	0.5556
Шемелев	party_apparatus	5	5	1.0
Шемелев	security_apparatus	5	5	1.0
Я.В. Шарова	security_apparatus	5	5	1.0
А.А. Мусатова	party_apparatus	4	4	1.0
А.А. Мусатова	security_apparatus	4	4	1.0
А.Г. Колодина	party_apparatus	4	4	1.0
А.И. Анишева	international	4	12	0.3333
А.М. Гертика	party_apparatus	4	11	0.3636
А.Н. Сафоновой	party_apparatus	4	5	0.8
А.Н. Сафоновой	security_apparatus	4	5	0.8
А.Н. Слепкова	party_apparatus	4	5	0.8
А.С. Енукидзе	state_apparatus	4	8	0.5
А.Я. Вышинский	press_media	4	10	0.4
Б.А. Кушнера	party_apparatus	4	4	1.0
Б.А. Кушнера	security_apparatus	4	4	1.0
Б.Н. Розенфельда	party_apparatus	4	5	0.8
Б.Н. Сахова	security_apparatus	4	9	0.4444
В.В. Шмидта	party_apparatus	4	4	1.0
В.В. Шмидта	press_media	4	4	1.0
В.Г. Дорошина	party_apparatus	4	4	1.0
В.Г. Дорошина	security_apparatus	4	4	1.0
В.Д. Миронова	party_apparatus	4	4	1.0
В.Д. Миронова	security_apparatus	4	4	1.0
Г.Б. Синани-Скалов	security_apparatus	4	12	0.3333
Г.Г. Ягода	judicial_apparatus	4	158	0.0253
Г.Е. Евдокимовым	security_apparatus	4	4	1.0
Г.Л. Хасина	party_apparatus	4	4	1.0
Г.Л. Хасина	security_apparatus	4	4	1.0
Е.А. Дрейцера	press_media	4	7	0.5714
Е.Ю. Раевской	security_apparatus	4	4	1.0
З.А. Ашрафяна	party_apparatus	4	4	1.0
З.А. Ашрафяна	security_apparatus	4	4	1.0
З.М. Беленького	state_apparatus	4	4	1.0
И.А. Князева	security_apparatus	4	4	1.0
И.И. Горовича	security_apparatus	4	4	1.0
И.И. Трусова	security_apparatus	4	4	1.0
И.К. Наумова	party_apparatus	4	6	0.6667
И.К. Наумова	security_apparatus	4	6	0.6667
И.Т. Смилги	party_apparatus	4	4	1.0
К.Е. Ворошилова	party_apparatus	4	4	1.0
Киров	security_apparatus	4	9	0.4444
Л.В. Николаевым	security_apparatus	4	4	1.0
Л.Д. Троцкий	international	4	28	0.1429
Л.И. Сосицкого	party_apparatus	4	4	1.0
Л.С. Сосновского	press_media	4	5	0.8
Л.Ф. Дитятевой	security_apparatus	4	5	0.8
М.В. Поздеевой	party_apparatus	4	5	0.8
М.С. Богуславского	party_apparatus	4	4	1.0
М.С. Строилова	security_apparatus	4	4	1.0
Н.А. Карева	party_apparatus	4	4	1.0
Н.Б. Розенфельда	party_apparatus	4	5	0.8
Н.П. Мясникова	party_apparatus	4	7	0.5714
Н.С. Антонова	party_apparatus	4	10	0.4
П.А. Николаева	party_apparatus	4	10	0.4
Р.В. Пикеля	international	4	4	1.0
Р.В. Пикеля	party_apparatus	4	4	1.0
Р.В. Пикеля	security_apparatus	4	4	1.0
Р.М. Кулишера	security_apparatus	4	4	1.0
С.М. Гессена	party_apparatus	4	8	0.5
С.Х. Варданиана	party_apparatus	4	4	1.0
С.Х. Варданиана	security_apparatus	4	4	1.0
Седов	press_media	4	78	0.0513
Смирнов	press_media	4	10	0.4
Э.С. Гольцмана	party_apparatus	4	4	1.0
Я.А. Лившица	party_apparatus	4	4	1.0
Я.В. Шарова	party_apparatus	4	5	0.8
А.А. Андрееву	party_apparatus	3	3	1.0
А.А. Докучаева	party_apparatus	3	3	1.0
А.А. Докучаева	security_apparatus	3	3	1.0
А.А. Трояновского	party_apparatus	3	4	0.75
А.А. Трояновского	state_apparatus	3	4	0.75
А.Г. Колодина	security_apparatus	3	4	0.75
А.Е. Авдеевой	security_apparatus	3	3	1.0
А.И. Биркенгофа	party_apparatus	3	3	1.0
А.И. Биркенгофа	security_apparatus	3	3	1.0
А.И. Кармалитова	party_apparatus	3	3	1.0
А.И. Коновой	party_apparatus	3	3	1.0
А.И. Коновой	security_apparatus	3	3	1.0
А.И. Синелобова	party_apparatus	3	3	1.0
А.И. Синелобова	security_apparatus	3	3	1.0
А.К. Середохина	party_apparatus	3	3	1.0
А.С. Куклина	security_apparatus	3	7	0.4286
А.Х. Кантора	party_apparatus	3	3	1.0
А.Х. Кантора	security_apparatus	3	3	1.0
А.Ю. Тивеля	international	3	5	0.6
А.Ю. Тивеля	press_media	3	5	0.6
Б.Г. Козелева	party_apparatus	3	3	1.0
Б.Г. Козелева	security_apparatus	3	3	1.0
Б.И. Кузьмичева	party_apparatus	3	3	1.0
Б.Л. Браво	party_apparatus	3	9	0.3333
Б.Л. Браво	press_media	3	9	0.3333
Б.М. Оберталлера	party_apparatus	3	3	1.0
В.А. Тер-Ваганян	party_apparatus	3	3	1.0
В.В. Кузьмина	press_media	3	7	0.4286
В.В. Румянцевым	security_apparatus	3	3	1.0
В.Г. Белова	party_apparatus	3	3	1.0
В.Г. Белова	security_apparatus	3	3	1.0
В.Г. Яковенко	party_apparatus	3	3	1.0
В.Г. Яковенко	security_apparatus	3	3	1.0
В.Д. Каспаровой	party_apparatus	3	3	1.0
В.Д. Каспаровой	security_apparatus	3	3	1.0
Г.Е. Горбачева	party_apparatus	3	3	1.0
Г.Е. Прокофьева	press_media	3	33	0.0909
Г.И. Сафарова	press_media	3	32	0.0938
Г.И. Сафарова	state_apparatus	3	32	0.0938
Г.И. Сафаровым	international	3	3	1.0
Г.И. Сафаровым	security_apparatus	3	3	1.0
Г.М. Аркуса	security_apparatus	3	6	0.5
Г.М. Артеменко	party_apparatus	3	3	1.0
Г.М. Артеменко	security_apparatus	3	3	1.0
Г.Ф. Овчинникова	party_apparatus	3	3	1.0
Г.Ф. Овчинникова	security_apparatus	3	3	1.0
Г.Ф. Федорова	party_apparatus	3	8	0.375
Д.Н. Ширяева	party_apparatus	3	6	0.5
Д.П. Марецкого	party_apparatus	3	3	1.0
Дмитриев	press_media	3	17	0.1765
Дмитриев	state_apparatus	3	17	0.1765
Е.К. Коршунова	security_apparatus	3	3	1.0
Е.Ф. Куликова	state_apparatus	3	6	0.5
З.М. Беленького	party_apparatus	3	4	0.75
Зиновьев	state_apparatus	3	50	0.06
И.А. Князева	party_apparatus	3	4	0.75
И.Д. Турока	party_apparatus	3	3	1.0
И.Д. Турока	security_apparatus	3	3	1.0
И.И. Бурлакова	party_apparatus	3	3	1.0
И.И. Бурлакова	security_apparatus	3	3	1.0
И.И. Горовича	party_apparatus	3	4	0.75
И.И. Котолыновым	security_apparatus	3	3	1.0
И.И. Тарасова	party_apparatus	3	8	0.375
И.И. Трусова	party_apparatus	3	4	0.75
И.К. Федотова	party_apparatus	3	3	1.0
И.К. Федотова	security_apparatus	3	3	1.0
И.М. Гуревича	party_apparatus	3	6	0.5
И.Н. Маевского	party_apparatus	3	3	1.0
И.П. Бакаева	state_apparatus	3	13	0.2308
И.П. Бакаевым	security_apparatus	3	3	1.0
И.С. Горшениным	party_apparatus	3	5	0.6
К.Е. Ворошилова	press_media	3	4	0.75
К.И. Синелобовой	party_apparatus	3	3	1.0
К.И. Синелобовой	security_apparatus	3	3	1.0
К.Н. Лукницкого	party_apparatus	3	3	1.0
К.Н. Лукницкого	press_media	3	3	1.0
К.Н. Лукницкого	security_apparatus	3	3	1.0
Киров	party_apparatus	3	9	0.3333
Л.А. Лаврентьева	security_apparatus	3	3	1.0
Л.Д. Троцкий	press_media	3	28	0.1071
Л.З. Мехлиса	security_apparatus	3	6	0.5
Л.И. Сосицкого	security_apparatus	3	4	0.75
Л.М. Каганович	international	3	11	0.2727
Л.М. Каганович	security_apparatus	3	11	0.2727
Л.М. Марьясина	party_apparatus	3	3	1.0
Л.М. Марьясина	security_apparatus	3	3	1.0
Л.П. Серебрякова	party_apparatus	3	3	1.0
Л.П. Серебрякова	security_apparatus	3	3	1.0
Л.П. Серебряковым	party_apparatus	3	3	1.0
Л.П. Серебряковым	security_apparatus	3	3	1.0
М.А. Нырчука	security_apparatus	3	9	0.3333
М.В. Бурштейном	security_apparatus	3	3	1.0
М.И. Лурье	party_apparatus	3	3	1.0
М.Л. Быховского	party_apparatus	3	3	1.0
М.Л. Быховского	security_apparatus	3	3	1.0
М.Н. Яковлева	international	3	9	0.3333
М.О. Зюка	party_apparatus	3	3	1.0
М.О. Зюка	security_apparatus	3	3	1.0
М.П. Томского	party_apparatus	3	4	0.75
М.С. Богуславского	security_apparatus	3	4	0.75
М.С. Рэма	party_apparatus	3	5	0.6
Молотов	security_apparatus	3	6	0.5
Н.А. Карева	security_apparatus	3	4	0.75
Н.В. Голубенко	press_media	3	11	0.2727
Н.И. Бураго	party_apparatus	3	6	0.5
Н.И. Гордона	party_apparatus	3	3	1.0
Н.И. Гордона	security_apparatus	3	3	1.0
Н.И. Москалева	security_apparatus	3	3	1.0
Н.Н. Шатским	security_apparatus	3	3	1.0
Н.П. Глебов-Авилов	party_apparatus	3	3	1.0
Н.П. Глебов-Авилов	security_apparatus	3	3	1.0
Н.П. Михетко	party_apparatus	3	3	1.0
Н.П. Михетко	security_apparatus	3	3	1.0
Н.П. Мясниковым	security_apparatus	3	3	1.0
Н.С. Антоновым	party_apparatus	3	3	1.0
Н.С. Антоновым	security_apparatus	3	3	1.0
П.И. Гордеевой	security_apparatus	3	3	1.0
П.Ф. Зайцева	party_apparatus	3	3	1.0
П.Ф. Зайцева	state_apparatus	3	3	1.0
П.Ф. Сапожникова	international	3	3	1.0
П.Ф. Сапожникова	party_apparatus	3	3	1.0
П.Э. Роцкана	party_apparatus	3	3	1.0
П.Э. Роцкана	security_apparatus	3	3	1.0
С.И. Лукашика	party_apparatus	3	3	1.0
С.И. Лукашика	security_apparatus	3	3	1.0
С.М. Гессена	security_apparatus	3	8	0.375
С.Я. Шаева	security_apparatus	3	3	1.0
Седов	party_apparatus	3	78	0.0385
Смирнов	international	3	10	0.3
Сокольников	state_apparatus	3	18	0.1667
Троцкий	international	3	6	0.5
Ф.А. Горбуновой	party_apparatus	3	3	1.0
Ф.А. Горбуновой	security_apparatus	3	3	1.0
Ф.Ф. Фадеева	security_apparatus	3	7	0.4286
Х.Г. Гуревича	party_apparatus	3	3	1.0
Х.Г. Гуревича	security_apparatus	3	3	1.0
Э.С. Гольцмана	security_apparatus	3	4	0.75
Ю.М. Коцюбинского	party_apparatus	3	3	1.0
Ю.М. Коцюбинского	security_apparatus	3	3	1.0
Я.Н. Вечерковского	security_apparatus	3	3	1.0
Я.Н. Дробниса	party_apparatus	3	3	1.0
Я.Н. Дробниса	security_apparatus	3	3	1.0
Я.Р. Ельковича	party_apparatus	3	6	0.5
Я.Р. Ельковича	security_apparatus	3	6	0.5
А.А. Андрееву	security_apparatus	2	3	0.6667
А.А. Бусыгина	party_apparatus	2	2	1.0
А.А. Бусыгина	security_apparatus	2	2	1.0
А.А. Лаврентьева	security_apparatus	2	2	1.0
А.А. Муштакова	party_apparatus	2	2	1.0
