candidate_a	candidate_b	shared_initials	surname_a	surname_b	stem_a	stem_b	similarity	documents_a	documents_b	words_a	words_b	suggested_canonical	confidence	reason	status	raw_forms_a	raw_forms_b
А.В. Перимова	А.В. Перимовым	А.В.	Перимова	Перимовым	перим	перимов	0.8235	5	1	2873	276	А.В. Перимова	medium	same_initials_stem_prefix	review	А.В. Перимова	А.В. Перимовым
А.Н. Слепкова	А.Н. Слепковым	А.Н.	Слепкова	Слепковым	слепк	слепков	0.8235	5	1	3945	565	А.Н. Слепкова	medium	same_initials_stem_prefix	review	А.Н. Слепкова	А.Н. Слепковым
Г.В. Соколова	Г.В. Соколовым	Г.В.	Соколова	Соколовым	сокол	соколов	0.8235	5	2	1423	795	Г.В. Соколова	medium	same_initials_stem_prefix	review	Г.В. Соколова	Г.В. Соколовым
Л.С. Сосновского	Л.С. Ассиновского	Л.С.	Сосновского	Ассиновского	соснов	ассинов	0.8696	5	2	15337	2094	Л.С. Сосновского	medium	same_initials_high_similarity	review	Л.С. Сосновским | Л.С. Сосновского	Л.С. Ассиновского
Я.С. Розанова	Я.С. Розановым	Я.С.	Розанова	Розановым	розан	розанов	0.8235	5	2	4137	1596	Я.С. Розанова	medium	same_initials_stem_prefix	review	Я.С. Розанова	Я.С. Розановым
Я.А. Лившица	Я.А. Лившицем	Я.А.	Лившица	Лившицем	лившиц	лившицем	0.8	4	1	13255	3149	Я.А. Лившица	medium	same_initials_stem_prefix	review	Я.А. Лившица	Я.А. Лившицем
Л.П. Серебрякова	Л.П. Серебряковым	Л.П.	Серебрякова	Серебряковым	серебряк	серебряков	0.8696	3	3	8464	7534	Л.П. Серебрякова	medium	same_initials_stem_prefix	review	Л.П. Серебрякова	Л.П. Серебряковым
А.Д. Арефьева	А.Д. Арефьевым	А.Д.	Арефьева	Арефьевым	арефь	арефьев	0.8235	2	1	5002	565	А.Д. Арефьева	medium	same_initials_stem_prefix	review	А.Д. Арефьева	А.Д. Арефьевым
В.Д. Вуйовича	В.Д. Вуйовичем	В.Д.	Вуйовича	Вуйовичем	вуйович	вуйовичем	0.8235	2	1	2332	647	В.Д. Вуйовича	medium	same_initials_stem_prefix	review	В.Д. Вуйовича	В.Д. Вуйовичем
П.П. Северова	П.П. Северовым	П.П.	Северова	Северовым	север	северов	0.8235	2	1	887	231	П.П. Северова	medium	same_initials_stem_prefix	review	П.П. Северова	П.П. Северовым
П.Ф. Полякова	П.Ф. Поляковым	П.Ф.	Полякова	Поляковым	поляк	поляков	0.8235	2	1	1678	302	П.Ф. Полякова	medium	same_initials_stem_prefix	review	П.Ф. Полякова	П.Ф. Поляковым
Б.П. Нестерова	Б.П. Нестеровым	Б.П.	Нестерова	Нестеровым	нестер	нестеров	0.8421	1	1	8605	3298	Б.П. Нестерова	medium	same_initials_stem_prefix	review	Б.П. Нестерова	Б.П. Нестеровым
Г.А. Татулова	Г.А. Татуловым	Г.А.	Татулова	Татуловым	татул	татулов	0.8235	1	1	2161	346	Г.А. Татулова	medium	same_initials_stem_prefix	review	Г.А. Татулова	Г.А. Татуловым
Д.А. Аникина	Д.А. Аникиным	Д.А.	Аникина	Аникиным	аник	аникин	0.8	1	1	946	650	Д.А. Аникина	medium	same_initials_stem_prefix	review	Д.А. Аникина	Д.А. Аникиным
Д.А. Сниткина	Д.А. Сниткиным	Д.А.	Сниткина	Сниткиным	снитк	сниткин	0.8235	1	1	258	312	Д.А. Сниткина	medium	same_initials_stem_prefix	review	Д.А. Сниткина	Д.А. Сниткиным
К.Д. Мучникова	К.Д. Мучниковым	К.Д.	Мучникова	Мучниковым	мучник	мучников	0.8421	1	1	1601	633	К.Д. Мучникова	medium	same_initials_stem_prefix	review	К.Д. Мучникова	К.Д. Мучниковым
С.Н. Бограчева	С.Н. Бограчевым	С.Н.	Бограчева	Бограчевым	бограч	бограчев	0.8421	1	1	657	650	С.Н. Бограчева	medium	same_initials_stem_prefix	review	С.Н. Бограчева	С.Н. Бограчевым
