organization_family	total_process_documents	process_count	process_kind_count	top_process	top_process_document_count	top_process_share	process_distribution	process_kind_distribution	interpretation_note
security_apparatus	1473	8	4	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	396	0.2688	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:396 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:320 | КРЕМЛЕВСКОЕ ДЕЛО:243 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:217 | ПРОЦЕСС 2-12 МАРТА 1938 г.:150 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:142 | РАЗНЫЕ ДОКУМЕНТЫ:3 | СТАТЬИ:2	major_show_trial:866 | related_case:602 | misc:3 | articles:2	process_profile_from_document_cooccurrence
party_apparatus	1430	8	4	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	405	0.2832	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:405 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:323 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:227 | КРЕМЛЕВСКОЕ ДЕЛО:203 | ПРОЦЕСС 2-12 МАРТА 1938 г.:193 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:73 | РАЗНЫЕ ДОКУМЕНТЫ:4 | СТАТЬИ:2	major_show_trial:921 | related_case:503 | misc:4 | articles:2	process_profile_from_document_cooccurrence
press_media	380	9	5	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	125	0.3289	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:125 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:83 | ПРОЦЕСС 2-12 МАРТА 1938 г.:82 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:43 | КРЕМЛЕВСКОЕ ДЕЛО:35 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:6 | РАЗНЫЕ ДОКУМЕНТЫ:2 | СТАТЬИ:2 | ТРОЦКИЙ:2	major_show_trial:290 | related_case:84 | misc:2 | articles:2 | person_dossier:2	process_profile_from_document_cooccurrence
international	320	9	5	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	100	0.3125	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:100 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:93 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:44 | ПРОЦЕСС 2-12 МАРТА 1938 г.:43 | КРЕМЛЕВСКОЕ ДЕЛО:28 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:7 | РАЗНЫЕ ДОКУМЕНТЫ:2 | СТАТЬИ:2 | ТРОЦКИЙ:1	major_show_trial:187 | related_case:128 | misc:2 | articles:2 | person_dossier:1	process_profile_from_document_cooccurrence
state_apparatus	224	8	4	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	62	0.2768	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:62 | КРЕМЛЕВСКОЕ ДЕЛО:58 | ПРОЦЕСС 2-12 МАРТА 1938 г.:47 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:31 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:20 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:3 | СТАТЬИ:2 | РАЗНЫЕ ДОКУМЕНТЫ:1	major_show_trial:140 | related_case:81 | articles:2 | misc:1	process_profile_from_document_cooccurrence
judicial_apparatus	41	7	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	22	0.5366	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:22 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:9 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4 | ПРОЦЕСС 2-12 МАРТА 1938 г.:2 | СТАТЬИ:2 | КРЕМЛЕВСКОЕ ДЕЛО:1 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:1	major_show_trial:33 | related_case:6 | articles:2	process_profile_from_document_cooccurrence
political_organizations	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
