person	document_count	total_words	first_date	last_date	profile_tags	top_families	top_organizations	top_office_positions	top_trial_roles	top_political_labels	top_accusatory_labels	top_generic_roles	top_document_types	top_processes	top_collections	interpretation_note
Б.И. Кузьмичева	3	3264	1936-07-09T00:10:00	1936-09-03T01:36:00	political_label_context	party_apparatus:3 | security_apparatus:2	ВКП(б):3 | ЦК ВКП(б):3 | ГУГБ:2 | НКВД:2	комиссар:3 | секретарь:3 | начальник:2 | нарком:1		троцкист:3		член:2	special_report:3	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
Б.М. Нижника	3	2031	1935-11-16T19:07:00	1935-12-11T01:04:00	investigation_document_context | political_label_context	party_apparatus:2 | security_apparatus:1	ВКП(б):2 | НКВД:1	руководитель:2		троцкист:3		член:3	interrogation_protocol:3	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
Б.М. Оберталлера	3	10231	1936-09-26T01:36:00	1937-01-15T20:49:30	trial_role_context | political_label_context | accusatory_label_context	party_apparatus:3 | security_apparatus:2	ВКП(б):3 | ЦК ВКП(б):3 | НКВД:2 | Политбюро:1 | ГУГБ:1	комиссар:3 | начальник:3 | руководитель:3 | секретарь:3 | заместитель:2 | директор:1 | председатель:1	обвиняемый:2	троцкист:3 | правый:1	вредитель:1	член:3	special_report:3	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
В.А. Тер-Ваганян	3	4985	1936-07-16T00:10:00	1936-08-14T05:10:00	trial_role_context | political_label_context | accusatory_label_context	party_apparatus:3 | security_apparatus:2 | international:1 | judicial_apparatus:1	ВКП(б):3 | ЦК ВКП(б):3 | НКВД:2 | ГУГБ:2 | ИНО ГУГБ:1 | Коминтерн:1 | Политбюро:1 | Прокуратура СССР:1 | КПК:1 | ОО ГУГБ НКВД:1	комиссар:3 | секретарь:3 | нарком:1 | руководитель:1	обвиняемый:1	троцкист:3 | правый:1	агент:1	член:2 | кандидат:1	special_report:3	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:2 | СПРАВКА:1	cooccurrence_profile_not_biographical_claim
В.В. Румянцевым	3	726	1934-12-18T10:00:00	1934-12-25T03:00:00	trial_role_context | political_label_context	security_apparatus:3 | party_apparatus:1	ГУГБ:3 | НКВД:2 | ВКП(б):1	секретарь:1 | нарком:1 | руководитель:1	обвиняемый:3	троцкист:1		член:1	confrontation_protocol:3	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
В.Г. Белова	3	2691	1935-03-22T00:00:00	1935-04-23T00:00:00	political_label_context	party_apparatus:3 | security_apparatus:3	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):2	директор:3 | комиссар:2 | секретарь:2		правый:3 | троцкист:2		член:3	special_report:2 | interrogation_protocol:1	КРЕМЛЕВСКОЕ ДЕЛО:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
В.Г. Яковенко	3	9876	1935-04-27T19:18:40	1937-03-22T22:09:50	trial_role_context | political_label_context | accusatory_label_context	party_apparatus:3 | security_apparatus:3 | state_apparatus:1	НКВД:3 | ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):3 | Политбюро:2 | КПК:1 | ЦИК СССР:1	комиссар:3 | нарком:3 | председатель:3 | руководитель:3 | начальник:2 | секретарь:2 | директор:1	свидетель:1	правый:3 | троцкист:3	вредитель:1 | агент:1	член:3 | представитель:1	special_report:2 | reference_note:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:2 | ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
В.Д. Каспаровой	3	2529	1936-11-05T21:51:56	1936-11-11T21:07:49	political_label_context	party_apparatus:3 | security_apparatus:3	ВКП(б):3 | ЦК ВКП(б):3 | ГУГБ:3 | НКВД:1	комиссар:3 | секретарь:3 | полпред:2 | начальник:1		троцкист:3			special_report:3	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
В.П. Потемкина	3	473	1937-01-24T10:34:13	1937-01-27T19:15:27	trial_role_context | political_label_context	state_apparatus:2 | party_apparatus:2	НКИД:2 | Политбюро:1 | ВКП(б):1 | ЦК ВКП(б):1	полпред:2 | адвокат:1	обвиняемый:1	троцкист:1		представитель:1 | член:1	telegram:3	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	ДРУГИЕ ДОКУМЕНТЫ:3	cooccurrence_profile_not_biographical_claim
Г.Е. Горбачева	3	3748	1935-01-03T14:00:00	1935-01-05T18:00:00	investigation_document_context | political_label_context	party_apparatus:3 | international:1	ВКП(б):3 | ЦК ВКП(б):2 | Коминтерн:1 | Политбюро:1	председатель:1		троцкист:3 | правый:2		член:3 | представитель:2	interrogation_protocol:3	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
Г.И. Сафаровым	3	9199	1935-01-04T14:00:00	1935-01-11T09:00:00	international_context | trial_role_context | political_label_context | accusatory_label_context	international:3 | security_apparatus:3 | party_apparatus:1	ГУГБ:3 | Коминтерн:3 | НКВД:2 | ВКП(б):1 | Политбюро:1	нарком:1 | полпред:1 | секретарь:1 | следователь:1	обвиняемый:1	троцкист:2 | правый:1	агент:1	член:3 | представитель:1	confrontation_protocol:3	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
Г.К. Орджоникидзе	3	2297	1936-09-07T19:34:56	1937-02-20T09:53:25	political_label_context | accusatory_label_context			нарком:2 | директор:1 | комиссар:1		троцкист:2	вредитель:1		letter:2 | poem:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	ДРУГИЕ ДОКУМЕНТЫ:2 | БУХАРИН:1	cooccurrence_profile_not_biographical_claim
Г.М. Артеменко	3	2655	1935-09-23T12:37:00	1935-11-04T17:09:00	investigation_document_context | political_label_context	party_apparatus:3 | security_apparatus:3 | international:2	ВКП(б):3 | ГУГБ:3 | Коминтерн:2 | НКВД:2	руководитель:1		троцкист:3		член:3	interrogation_protocol:3	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
Г.Ф. Овчинникова	3	6753	1936-12-17T00:29:00	1937-02-05T11:51:36	trial_role_context | political_label_context	party_apparatus:3 | security_apparatus:3	ВКП(б):3 | ЦК ВКП(б):3 | ГУГБ:3 | НКВД:2 | Политбюро:1	комиссар:3 | председатель:3 | секретарь:3 | заместитель:2 | начальник:2 | руководитель:2 | директор:1	обвиняемый:1	троцкист:3 | правый:1		член:3 | кандидат:1 | представитель:1	special_report:3	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
Д.П. Марецкого	3	12832	1933-02-20T14:19:20	1937-03-10T20:25:13	trial_role_context | political_label_context | accusatory_label_context	party_apparatus:3 | security_apparatus:2 | international:2 | state_apparatus:1 | press_media:1	ВКП(б):3 | ГУГБ:2 | Коминтерн:2 | КПК:1 | ИККИ:1 | Правда:1 | ЦК ВКП(б):1 | Политбюро:1 | Совнарком:1	руководитель:2 | директор:1 | комиссар:1 | нарком:1 | председатель:1 | редактор:1 | секретарь:1	подсудимый:1	правый:3 | троцкист:1	агент:1 | вредитель:1	член:2 | представитель:1	statement:1 | interrogation_protocol:1 | special_report:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	ПРЕДЫСТОРИЯ:2 | МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Е.А. Петровой	3	2275	1935-03-13T06:00:00	1935-04-01T04:00:00	investigation_document_context | trial_role_context	party_apparatus:2 | security_apparatus:2	ВКП(б):2 | ГУГБ:2		обвиняемый:1			сотрудник:2 | член:1	interrogation_protocol:3	КРЕМЛЕВСКОЕ ДЕЛО:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
Е.К. Коршунова	3	1819	1934-12-17T08:00:00	1935-01-17T04:00:00	investigation_document_context | political_label_context	security_apparatus:3 | party_apparatus:2 | press_media:1	НКВД:3 | ГУГБ:3 | ВКП(б):2 | ЦК ВКП(б):2 | Политбюро:1 | Правда:1	руководитель:1		троцкист:2 | правый:1		член:2	interrogation_protocol:3	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
З.И. Пелевиной	3	2387	1935-10-16T12:39:00	1935-10-30T17:06:00	investigation_document_context | political_label_context	security_apparatus:1	ГУГБ:1 | НКВД:1			троцкист:3		член:3	interrogation_protocol:3	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
И.Д. Турока	3	14965	1937-01-03T16:16:25	1937-01-16T15:54:17	trial_role_context | political_label_context | accusatory_label_context	party_apparatus:3 | security_apparatus:3 | state_apparatus:1 | press_media:1	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):2 | Известия:1 | Совнарком:1 | НКВД:1	заместитель:3 | начальник:3 | комиссар:2 | нарком:2 | секретарь:2 | директор:1 | председатель:1 | руководитель:1 | прокурор:1	обвиняемый:1	троцкист:3	агент:3	представитель:3 | член:3 | сотрудник:1	special_report:2 | interrogation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
И.И. Бурлакова	3	7685	1936-10-15T01:36:00	1936-11-06T10:40:51	trial_role_context | political_label_context | accusatory_label_context	party_apparatus:3 | security_apparatus:3 | judicial_apparatus:1	ВКП(б):3 | ЦК ВКП(б):3 | ГУГБ:3 | Политбюро:2 | НКВД:1 | Верховный Суд СССР:1	начальник:3 | нарком:2 | председатель:1 | комиссар:1 | руководитель:1 | секретарь:1 | заместитель:1	обвиняемый:1	троцкист:3 | правый:1	агент:2	член:3	interrogation_protocol:2 | special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
И.И. Котолыновым	3	788	1934-12-17T08:00:00	1934-12-25T04:00:00	trial_role_context | political_label_context	security_apparatus:3 | party_apparatus:1	ГУГБ:3 | НКВД:2 | ВКП(б):1 | ЦК ВКП(б):1 | Политбюро:1		обвиняемый:3	троцкист:2		член:3	confrontation_protocol:3	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
И.К. Федотова	3	9517	1936-02-28T01:42:00	1936-04-22T00:00:00	political_label_context | accusatory_label_context	party_apparatus:3 | security_apparatus:3 | press_media:1 | international:1 | state_apparatus:1	НКВД:3 | ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):3 | ИККИ:1 | Правда:1 | Коминтерн:1 | Совнарком:1	директор:3 | комиссар:3 | секретарь:3 | руководитель:2 | начальник:1 | нарком:1 | следователь:1		троцкист:3	агент:1	кандидат:3 | сотрудник:3 | член:3 | представитель:1	special_report:3	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
