position	position_family	document_count	total_words	first_date	last_date	raw_forms	processes	collections
председатель	leadership_role	361	1706522	1928-02-28T12:46:32	2022-12-08T15:06:30	ПРЕДСЕДАТЕЛЬ | председателя | председатель | председателем | Председатель | Председателя | председателю | Председателю | ПРЕДСЕДАТЕЛЮ | Председателем | ПРЕДСЕДАТЕЛЯ | председатели | председателями | председателе	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ | ТРОЦКИЙ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДЕЛО ПЕТРА НИКОЛАЕВА | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ТРОЦКИЙ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
обвиняемый	trial_role	347	1353309	1932-04-02T14:50:35	2022-12-08T15:06:30	обвиняемого | Обвиняемый | обвиняемый | обвиняемых | обвиняемые | обвиняемым | обвиняемыми | обвиняемому | ОБВИНЯЕМОГО | Обвиняемые | обвиняем | обвиняемой | Обвиняемого | ОБВИНЯЕМЫХ | Обвиняемой | обвиняемом | Обвиняемому | Обвиняемых | Обвиняемую | ОБВИНЯЕМЫМИ	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
заместитель	administrative_command_role	283	1496376	1933-04-03T12:32:38	2022-12-08T15:06:30	заместителем | заместитель | заместителя | заместители | Заместитель | Заместителем | заместителю | зам. начальника | заместителе | ЗАМЕСТИТЕЛЬ | Заместителя | Зам. Начальника | ЗАМЕСТИТЕЛЮ | заместителями	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДЕЛО ПЕТРА НИКОЛАЕВА | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
представитель	representative_role	278	1493775	1929-01-01T19:48:38	2022-12-08T15:06:30	представителем | представителями | представитель | представителя | представители | представителю | представителям | Представитель | Представители | представителе | Представителями | ПРЕДСТАВИТЕЛИ | Представителем | Представителе	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
агент	security_or_intelligence_role	222	1330239	1929-01-01T19:48:38	2022-12-08T15:06:30	агентом | агентов | агента | агент | агентами | агенты | агентуры | агентурой | агентуру | агентурным | агентуре | агентурных | агентура | агенту | агентам | агентурные | Агенты | Агент | агентах | агентурного	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | СТАТЬИ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | СПРАВКА | СТАТЬИ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
кандидат	membership_role	208	1034615	1929-01-07T12:28:46	2022-12-08T15:06:30	кандидатуру | кандидат | кандидатом | кандидатура | кандидаты | кандидатов | кандидатуры | КАНДИДАТАМ | кандидата | кандидатуре | кандидатур | кандидатурой | кандидатам | кандидатурах | Кандидатура | кандидатами | кандидатах | кандидатской | кандидатурам | КАНДИДАТУ	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | СТАТЬИ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ | СПРАВКА | СТАТЬИ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
редактор	press_role	172	836700	1929-01-07T12:28:46	2022-12-08T15:06:30	редактор | редактором | редактора | редакторов | РЕДАКТОР | Редактор | редактору | Редактором | редакторском | РЕДАКТОРУ | редакторства | Редактора | редакторских | редакторство | Редакторами | редакторе | редакторская | редакторами	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ | ТРОЦКИЙ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ТРОЦКИЙ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
прокурор	judicial_role	119	862934	1933-11-29T18:50:09	2022-12-08T15:06:30	прокурор | прокурора | Прокурор | прокурором | Прокурора | прокурору | Прокурором | Прокурору | ПРОКУРОР | ПРОКУРОРА | ПРОКУРОРУ | прокурорский | прокурорское | прокуроре | ПРОКУРОРЕ | прокурорами | прокуроров | прокурорских | Прокуроры | прокурорскую	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | СТАТЬИ	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | СПРАВКА | СТАТЬИ | ХОД ПРОЦЕССА
следователь	security_investigation_role	119	806916	1933-03-04T15:56:45	2022-12-08T15:06:30	следователь | следователя | следователю | следователи | следователем | Следователь | следователям | следователями | Следователи | Следователя | следователе | Следователю | СЛЕДОВАТЕЛЬ | СЛЕДОВАТЕЛЮ | Следователем	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
свидетель	trial_role	95	742301	1929-01-07T12:28:46	2022-10-26T13:25:08	свидетеля | свидетелем | свидетель | свидетели | свидетелями | Свидетель | свидетелю | свидетелям | СВИДЕТЕЛЯ | свидетеле | СВИДЕТЕЛИ | Свидетелем	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | СТАТЬИ	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | СТАТЬИ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
