person	total_process_documents	process_count	process_kind_count	top_process	top_process_document_count	top_process_share	process_distribution	process_kind_distribution	interpretation_note
З.М. Беленького	4	1	1	КРЕМЛЕВСКОЕ ДЕЛО	4	1.0	КРЕМЛЕВСКОЕ ДЕЛО:4	related_case:4	process_profile_from_document_cooccurrence
И.А. Князева	4	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	4	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4	major_show_trial:4	process_profile_from_document_cooccurrence
И.И. Горовича	4	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	4	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	major_show_trial:4	process_profile_from_document_cooccurrence
И.И. Трусова	4	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	4	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	major_show_trial:4	process_profile_from_document_cooccurrence
И.Ф. Касперского	4	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	4	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4	related_case:4	process_profile_from_document_cooccurrence
Л.В. Николаевым	4	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	4	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:4	related_case:4	process_profile_from_document_cooccurrence
Л.И. Сосицкого	4	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	4	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:4	related_case:4	process_profile_from_document_cooccurrence
М.С. Строилова	4	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	4	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4	major_show_trial:4	process_profile_from_document_cooccurrence
Р.В. Пикеля	4	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	4	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	major_show_trial:4	process_profile_from_document_cooccurrence
Р.М. Кулишера	4	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	4	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:4	related_case:4	process_profile_from_document_cooccurrence
Э.С. Гольцмана	4	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	4	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	major_show_trial:4	process_profile_from_document_cooccurrence
Я.А. Лившица	4	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	4	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4	major_show_trial:4	process_profile_from_document_cooccurrence
А.А. Андрееву	3	2	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	0.6667	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:3	process_profile_from_document_cooccurrence
Б.Г. Козелева	3	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	0.6667	ПРОЦЕСС 2-12 МАРТА 1938 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:3	process_profile_from_document_cooccurrence
В.В. Румянцевым	3	2	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	2	0.6667	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:3	process_profile_from_document_cooccurrence
В.Г. Яковенко	3	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	0.6667	ПРОЦЕСС 2-12 МАРТА 1938 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:3	process_profile_from_document_cooccurrence
Г.К. Орджоникидзе	3	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	0.6667	ПРОЦЕСС 2-12 МАРТА 1938 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:3	process_profile_from_document_cooccurrence
Г.Ф. Овчинникова	3	2	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	0.6667	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:3	process_profile_from_document_cooccurrence
И.Н. Маевского	3	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	0.6667	ПРОЦЕСС 2-12 МАРТА 1938 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:3	process_profile_from_document_cooccurrence
И.П. Бакаевым	3	2	2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	0.6667	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	related_case:2 | major_show_trial:1	process_profile_from_document_cooccurrence
К.Н. Лукницкого	3	2	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	0.6667	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:3	process_profile_from_document_cooccurrence
М.С. Окуджавы	3	2	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	0.6667	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:3	process_profile_from_document_cooccurrence
Н.Н. Крестинского	3	2	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	0.6667	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:3	process_profile_from_document_cooccurrence
Н.Н. Шатским	3	2	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	2	0.6667	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:3	process_profile_from_document_cooccurrence
А.А. Докучаева	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
А.Е. Авдеевой	3	1	1	КРЕМЛЕВСКОЕ ДЕЛО	3	1.0	КРЕМЛЕВСКОЕ ДЕЛО:3	related_case:3	process_profile_from_document_cooccurrence
А.Е. Кожуро	3	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	3	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	related_case:3	process_profile_from_document_cooccurrence
А.И. Биркенгофа	3	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	3	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
А.И. Кармалитова	3	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	3	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
А.И. Коновой	3	1	1	КРЕМЛЕВСКОЕ ДЕЛО	3	1.0	КРЕМЛЕВСКОЕ ДЕЛО:3	related_case:3	process_profile_from_document_cooccurrence
А.И. Синелобова	3	1	1	КРЕМЛЕВСКОЕ ДЕЛО	3	1.0	КРЕМЛЕВСКОЕ ДЕЛО:3	related_case:3	process_profile_from_document_cooccurrence
А.К. Середохина	3	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	3	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	related_case:3	process_profile_from_document_cooccurrence
А.М. Лариной	3	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	3	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
А.Х. Кантора	3	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	3	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
А.Я. Свердлова	3	1	1	КРЕМЛЕВСКОЕ ДЕЛО	3	1.0	КРЕМЛЕВСКОЕ ДЕЛО:3	related_case:3	process_profile_from_document_cooccurrence
Б.И. Кузьмичева	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Б.М. Нижника	3	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	3	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Б.М. Оберталлера	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
В.А. Тер-Ваганян	3	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	3	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
В.Г. Белова	3	1	1	КРЕМЛЕВСКОЕ ДЕЛО	3	1.0	КРЕМЛЕВСКОЕ ДЕЛО:3	related_case:3	process_profile_from_document_cooccurrence
В.Д. Каспаровой	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
В.П. Потемкина	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Г.Е. Горбачева	3	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	3	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	related_case:3	process_profile_from_document_cooccurrence
Г.И. Сафаровым	3	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	3	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	related_case:3	process_profile_from_document_cooccurrence
Г.М. Артеменко	3	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	3	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Д.П. Марецкого	3	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	3	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Е.А. Петровой	3	1	1	КРЕМЛЕВСКОЕ ДЕЛО	3	1.0	КРЕМЛЕВСКОЕ ДЕЛО:3	related_case:3	process_profile_from_document_cooccurrence
Е.К. Коршунова	3	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	3	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	related_case:3	process_profile_from_document_cooccurrence
З.И. Пелевиной	3	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	3	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
И.Д. Турока	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
И.И. Бурлакова	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
И.И. Котолыновым	3	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	3	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:3	related_case:3	process_profile_from_document_cooccurrence
И.К. Федотова	3	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	3	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
К.И. Синелобовой	3	1	1	КРЕМЛЕВСКОЕ ДЕЛО	3	1.0	КРЕМЛЕВСКОЕ ДЕЛО:3	related_case:3	process_profile_from_document_cooccurrence
Л.А. Лаврентьева	3	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	3	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Л.Г. Лелевича	3	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	3	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	related_case:3	process_profile_from_document_cooccurrence
Л.И. Гасвиани	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Л.М. Марьясина	3	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	3	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Л.О. Ханика	3	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	3	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:3	related_case:3	process_profile_from_document_cooccurrence
Л.П. Серебрякова	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Л.П. Серебряковым	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
М.В. Бурштейном	3	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	3	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
М.И. Лурье	3	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	3	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
М.Л. Быховского	3	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	3	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
М.О. Зюка	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
М.П. Жакова	3	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	3	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Н.И. Гордона	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Н.И. Москалева	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Н.М. Лукина-Бухарина	3	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	3	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Н.П. Глебов-Авилов	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Н.П. Михетко	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Н.П. Мясниковым	3	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	3	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:3	related_case:3	process_profile_from_document_cooccurrence
Н.С. Антоновым	3	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	3	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:3	related_case:3	process_profile_from_document_cooccurrence
П.А. Залуцкого	3	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	3	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	related_case:3	process_profile_from_document_cooccurrence
П.И. Гордеевой	3	1	1	КРЕМЛЕВСКОЕ ДЕЛО	3	1.0	КРЕМЛЕВСКОЕ ДЕЛО:3	related_case:3	process_profile_from_document_cooccurrence
П.Ф. Зайцева	3	1	1	КРЕМЛЕВСКОЕ ДЕЛО	3	1.0	КРЕМЛЕВСКОЕ ДЕЛО:3	related_case:3	process_profile_from_document_cooccurrence
П.Ф. Сапожникова	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
П.Э. Роцкана	3	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	3	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	related_case:3	process_profile_from_document_cooccurrence
С.И. Лукашика	3	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	3	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
С.Я. Шаева	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Ф.А. Горбуновой	3	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	3	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Х.Г. Гуревича	3	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	3	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Х.Г. Раковского	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Ю.М. Коцюбинского	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Я.Н. Вечерковского	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
Я.Н. Дробниса	3	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	major_show_trial:3	process_profile_from_document_cooccurrence
А.В. Галкина	2	2	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	0.5	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
А.Д. Зайцева	2	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	0.5	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
А.И. Стецкого	2	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	0.5	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
А.М. Зорина	2	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	0.5	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
В.А. Котова	2	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	0.5	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
В.Д. Вуйовича	2	2	1	КРЕМЛЕВСКОЕ ДЕЛО	1	0.5	КРЕМЛЕВСКОЕ ДЕЛО:1 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:2	process_profile_from_document_cooccurrence
В.М. Примакова	2	2	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	0.5	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
В.Н. Яковлевой	2	2	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	0.5	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
Д.З. Мануильскому	2	2	2	КРЕМЛЕВСКОЕ ДЕЛО	1	0.5	КРЕМЛЕВСКОЕ ДЕЛО:1 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	related_case:1 | major_show_trial:1	process_profile_from_document_cooccurrence
Д.П. Бухарцева	2	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	0.5	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
Е.А. Афанасьева	2	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	0.5	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
К.С. Дорофеева	2	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	0.5	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
Л.А. Шацкина	2	2	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	0.5	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	major_show_trial:1 | related_case:1	process_profile_from_document_cooccurrence
Л.Д. Гогоберидзе	2	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	0.5	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
Л.И. Сосицким	2	2	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	0.5	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:1 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:2	process_profile_from_document_cooccurrence
Л.П. Берии	2	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	0.5	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
Л.С. Мамишвили-Мишкевич	2	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	0.5	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
Л.С. Тер-Минасов	2	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	0.5	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
М.Ф. Постоловского	2	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	0.5	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
С.Г. Радомысльского	2	2	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	0.5	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
С.М. Закс-Гладнев	2	2	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	0.5	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:2	process_profile_from_document_cooccurrence
А.А. Бусыгина	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
А.А. Лаврентьева	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
А.А. Муштакова	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
А.А. Хвыли	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
А.В. Луговой-Левенштейн	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
А.В. Румянцева	2	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
А.Д. Арефьева	2	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
А.И. Потяева	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
А.И. Юлина	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
