person	total_process_documents	process_count	process_kind_count	top_process	top_process_document_count	top_process_share	process_distribution	process_kind_distribution	interpretation_note
Астров	8	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	7	0.875	ПРОЦЕСС 2-12 МАРТА 1938 г.:7 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:8	process_profile_from_document_cooccurrence
М.Ф. Шкирятову	8	2	2	КРЕМЛЕВСКОЕ ДЕЛО	7	0.875	КРЕМЛЕВСКОЕ ДЕЛО:7 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	related_case:7 | major_show_trial:1	process_profile_from_document_cooccurrence
А.И. Толмазова	8	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	8	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:8	related_case:8	process_profile_from_document_cooccurrence
А.С. Енукидзе	8	1	1	КРЕМЛЕВСКОЕ ДЕЛО	8	1.0	КРЕМЛЕВСКОЕ ДЕЛО:8	related_case:8	process_profile_from_document_cooccurrence
Г.Ф. Федорова	8	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	8	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8	related_case:8	process_profile_from_document_cooccurrence
И.Г. Юскина	8	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	8	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:8	related_case:8	process_profile_from_document_cooccurrence
И.И. Тарасова	8	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	8	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8	related_case:8	process_profile_from_document_cooccurrence
Н.И. Мухина	8	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	8	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:8	major_show_trial:8	process_profile_from_document_cooccurrence
С.В. Мрачковский	8	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	8	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:8	major_show_trial:8	process_profile_from_document_cooccurrence
С.М. Гессена	8	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	8	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8	related_case:8	process_profile_from_document_cooccurrence
