entity	document_count	total_words	process_count	processes	collection_count	collections
Пятаков	22	53048	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.В. Цетлина	20	22781	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
Рыков	18	132826	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.
аресте	18	6860	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Сокольников	18	28690	3	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	БУХАРИН | МАТЕРИАЛЫ СЛЕДСТВИЯ
Дмитриев	17	22493	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.А. Розенфельд	16	13198	1	КРЕМЛЕВСКОЕ ДЕЛО	2	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Членов	14	12991	4	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	3	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Е. Евдокимова	14	13224	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Балицкого	13	9204	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
показаниях	13	9085	3	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	3	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
Е.К. Мухановой	13	14945	1	КРЕМЛЕВСКОЕ ДЕЛО	2	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ
И.П. Бакаева	13	19263	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Котолынова	13	3519	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Г. Ягоде	12	13575	5	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	3	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
Г.Б. Синани-	12	24002	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	Г.Б. СИНАНИ-СКАЛОВ | МАТЕРИАЛЫ СЛЕДСТВИЯ
И.С. Горшенина	12	8513	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Анишева	12	8055	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.М. Кагановичу	11	8913	4	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
М.К. Чернявского	11	14760	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.М. Харитонова	11	4923	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.В. Голубенко	11	17948	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Смирнов	10	33838	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
качестве	10	10462	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.С. Антонова	10	1860	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.В. Румянцева	10	4646	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Рейнгольда	10	21657	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.А. Николаева	10	6257	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	ДЕЛО ПЕТРА НИКОЛАЕВА
