entity	document_count	total_words	process_count	processes	collection_count	collections
А.П. Костиной	5	2585	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
М.В. Поздеевой	5	2896	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
М.С. Рэма	5	2232	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.В. Соколова	5	1423	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
поводу	5	1754	3	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Яковлева	5	11434	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Ф. Дитятевой	5	10021	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Ромм	5	6116	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.З. Мехлиса	5	8870	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
А.Ю. Тивеля	5	11427	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Шестова	5	26785	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Л. Хасина	4	4921	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Мусатова	4	7909	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Горовича	4	5345	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Трусова	4	4226	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Г. Колодина	4	7044	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
секретаря	4	3617	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Д.Л. Игнатюка	4	3188	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
арестованных	4	13013	3	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
В.В. Осинского	4	2168	1	КРЕМЛЕВСКОЕ ДЕЛО	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
М.П. Томского	4	7376	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
заседания	4	69905	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	3	Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
Е.Ю. Раевской	4	2353	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.Н. Розенфельда	4	4738	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Я. Головского-	4	2915	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
З.М. Беленького	4	3446	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
результатах	4	3446	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
положении	4	9498	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ
лиц	4	12319	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
В.Г. Дорошина	4	2775	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Д. Миронова	4	1967	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Ф. Касперского	4	1237	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Е. Евдокимовым	4	6462	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Т. Смилги	4	3859	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Александрова	4	2883	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.И. Сосицкого	4	2256	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.В. Николаевым	4	2030	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Р.М. Кулишера	4	2396	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
партии	4	3886	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | СПРАВКИ КПК И ИМЛ
ЦКК	4	4803	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | ПРЕДЫСТОРИЯ
М.С. Богуславского	4	7682	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
разрыве	4	4085	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	ДРУГИЕ ДОКУМЕНТЫ
Я.А. Лившица	4	13255	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
З.А. Ашрафяна	4	5519	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.А. Кушнера	4	8244	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.А. Князева	4	10118	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.С. Строилова	4	25413	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.С. Сосновского	4	10322	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
ХОДЕ	4	23800	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	ХОД ПРОЦЕССА
МАТЕРИАЛАМ	4	23800	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	ХОД ПРОЦЕССА
Р.В. Пикеля	4	10482	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Э.С. Гольцмана	4	6666	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
время	3	3690	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 2-12 МАРТА 1938 г.	2	БУХАРИН | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
А.М. Лариной	3	2253	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	БУХАРИН
В.В. Шмидта	3	12908	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Г. Яковенко	3	9876	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
К.Н. Лукницкого	3	6263	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Д.П. Марецкого	3	12832	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
И.К. Федотова	3	9517	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Ф.А. Горбуновой	3	3963	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Х. Кантора	3	5514	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.П. Жакова	3	5382	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
раскрытии	3	3474	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.М. Нижника	3	2031	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.А. Лаврентьева	3	2962	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Я. Свердлова	3	1988	1	КРЕМЛЕВСКОЕ ДЕЛО	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.М. Артеменко	3	2655	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
З.И. Пелевиной	3	2387	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Кармалитова	3	7828	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	3	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
отчета	3	26021	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
П.Ф. Зайцева	3	6075	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
вопросу	3	12897	1	КРЕМЛЕВСКОЕ ДЕЛО	2	Г.Б. СИНАНИ-СКАЛОВ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
реагировании	3	767	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
неблагополучном	3	767	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
СПО	3	3273	2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Г. Белова	3	2691	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.А. Петровой	3	2275	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Ф. Шкирятова	3	3230	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 2-12 МАРТА 1938 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
К.И. Синелобовой	3	2410	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Коновой	3	1681	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Синелобова	3	2611	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.И. Гордеевой	3	2290	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Г. Лелевича	3	1260	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Е. Авдеевой	3	1334	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.А. Залуцкого	3	1480	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.Э. Роцкана	3	1986	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.К. Коршунова	3	1819	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.И. Сафаровым	3	9199	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.П. Бакаевым	3	4890	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.В. Шарова	3	1148	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Е. Кожуро	3	2214	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.М. Гертиком	3	1111	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Е. Горбачева	3	3748	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.К. Середохина	3	1927	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Ф. Поповым	3	733	2	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
сына	3	7738	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | ОЛЬБЕРГ
И.И. Котолыновым	3	788	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.С. Антоновым	3	858	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.В. Румянцевым	3	726	2	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.П. Мясниковым	3	603	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.О. Ханика	3	1553	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.Н. Шатским	3	1392	2	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.К. Орджоникидзе	3	2297	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ
Б.Г. Козелева	3	14200	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.М. Марьясина	3	10048	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.С. Окуджавы	3	3189	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Ф. Овчинникова	3	6753	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.Н. Крестинского	3	1226	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
А.А. Трояновского	3	576	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
А.Ю. Айхенвальда	3	2277	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	ПРЕДЫСТОРИЯ
С.И. Лукашика	3	9443	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Я. Вышинскому	3	2159	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г.	3	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | СПРАВКА
Л.П. Серебряковым	3	7534	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.И. Гасвиани	3	4971	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Д. Турока	3	14965	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.М. Оберталлера	3	10231	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.П. Серебрякова	3	8464	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.М. Лукиной-	3	1722	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	БУХАРИН
Я.Н. Вечерковского	3	8002	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
допроса	3	14261	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | РАЗНЫЕ ДОКУМЕНТЫ	3	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | РАЗНЫЕ ДОКУМЕНТЫ
Н.П. Глебова-	3	7576	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.Ф. Сапожникова	3	33415	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
дополнительных	3	4125	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.И. Гордона	3	4676	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Андрееву	3	1436	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКА
С.Я. Шаева	3	5791	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Д. Каспаровой	3	2529	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Бурлакова	3	7685	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.П. Михетко	3	7901	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Докучаева	3	3591	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Ю.М. Коцюбинского	3	8865	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.И. Москалева	3	2298	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
ИНО	3	2794	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	ДРУГИЕ ДОКУМЕНТЫ
обвиняемого	3	2900	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.О. Зюка	3	5393	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.И. Кузьмичева	3	3264	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.И. Лурье	3	10585	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Тер-	3	4985	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКА
А.И. Биркенгофа	3	10189	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Л. Быховского	3	7673	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Х.Г. Гуревича	3	7698	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.В. Когану	2	1249	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	БУХАРИН
редакцию	2	2149	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
Л.Д. Гогоберидзе	2	11783	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.П. Берии	2	3713	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Закамалдина	2	3067	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Ф. Постоловского	2	4105	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Н. Маевского	2	6139	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Радин	2	12030	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Д. Арефьева	2	5002	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
Гавен	2	5433	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.И. Пономарева	2	3392	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Ю.М. Бочарова	2	3592	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Т.Г. Гатаулина	2	1820	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.А. Фуртичева	2	5390	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
