person	organization_count	top_organizations	top_families	total_pair_document_sum
Е.Г. Соловьевой	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
Е.М. Бочарова	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
Е.М. Ярославским	2	ВКП(б):1 | Политбюро:1	party_apparatus:2	2
З.И. Пелевиной	2	ГУГБ:1 | НКВД:1	security_apparatus:2	2
И.А. Козина	1	ГУГБ:2	security_apparatus:2	2
И.В. Липковского	2	ГУГБ:1 | НКВД:1	security_apparatus:2	2
И.Г. Жестянникова	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
И.Д. Зорина	2	ВКП(б):1 | НКВД:1	security_apparatus:1 | party_apparatus:1	2
И.И. Рыстика	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
И.К. Гогуа	2	ГУГБ:1 | ЦИК СССР:1	state_apparatus:1 | security_apparatus:1	2
И.М. Майского	2	НКИД:1 | Политбюро:1	state_apparatus:1 | party_apparatus:1	2
И.Ф. Серегина	2	ВКП(б):1 | НКВД:1	security_apparatus:1 | party_apparatus:1	2
К.Д. Мучниковым	2	ГУГБ:1 | НКВД:1	security_apparatus:2	2
К.Е. Дубовского	2	ГУГБ:1 | Совнарком:1	state_apparatus:1 | security_apparatus:1	2
К.К. Боштедта	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
К.Ф. Лебедева	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
Л.И. Мадьяра	2	ВКП(б):1 | Коминтерн:1	international:1 | party_apparatus:1	2
Л.С. Ассиновского	1	НКВД:2	security_apparatus:2	2
М.Б. Черномордику	2	ИККИ:1 | Коминтерн:1	international:2	2
М.В. Воротникова	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
М.В. Муравьева	2	ВКП(б):1 | Коминтерн:1	international:1 | party_apparatus:1	2
