person	organization_count	top_organizations	top_families	total_pair_document_sum
А.Я. Вышинский	8	ВКП(б):9 | ЦК ВКП(б):8 | НКВД:5 | Правда:4 | ГУГБ:2 | КПК:1 | Политбюро:1 | Прокуратура СССР:1	party_apparatus:19 | security_apparatus:7 | press_media:4 | judicial_apparatus:1	31
А.С. Енукидзе	8	ВКП(б):6 | ЦК ВКП(б):6 | НКВД:5 | Правда:5 | ЦИК СССР:4 | Секретариат ЦИК СССР:2 | Коминтерн:1 | Политбюро:1	party_apparatus:13 | state_apparatus:6 | press_media:5 | security_apparatus:5 | international:1	30
И.А. Мусульбаса	6	ВКП(б):7 | ГУГБ:7 | НКВД:7 | ЦК ВКП(б):7 | Политбюро:1 | Совнарком:1	party_apparatus:15 | security_apparatus:14 | state_apparatus:1	30
Н.В. Голубенко	6	ВКП(б):9 | ГУГБ:6 | НКВД:6 | ЦК ВКП(б):5 | Правда:3 | Совнарком:1	party_apparatus:14 | security_apparatus:12 | press_media:3 | state_apparatus:1	30
Г.А. Молчанова	8	ВКП(б):7 | ГУГБ:6 | ЦК ВКП(б):6 | НКВД:4 | Политбюро:2 | Правда:2 | ИНО ГУГБ:1 | Коминтерн:1	party_apparatus:15 | security_apparatus:11 | press_media:2 | international:1	29
В.В. Кузьмина	9	ВКП(б):7 | ЦК ВКП(б):6 | Коминтерн:5 | Правда:3 | ИККИ:2 | Совнарком:2 | ГУГБ:1 | Известия:1 | Политбюро:1	party_apparatus:14 | international:7 | press_media:4 | state_apparatus:2 | security_apparatus:1	28
Г.Е. Евдокимова	6	ГУГБ:7 | НКВД:6 | Коминтерн:5 | ВКП(б):4 | Политбюро:3 | ЦК ВКП(б):3	security_apparatus:13 | party_apparatus:10 | international:5	28
А.Ю. Тивеля	9	ВКП(б):5 | ГУГБ:5 | ЦК ВКП(б):5 | Коминтерн:3 | НКВД:3 | Политбюро:2 | Правда:2 | Известия:1 | ОО ГУГБ НКВД:1	party_apparatus:12 | security_apparatus:9 | international:3 | press_media:3	27
Е.Ф. Куликова	7	ВКП(б):6 | ГУГБ:6 | ЦК ВКП(б):6 | КПК:5 | Совнарком:2 | НКВД:1 | ЦИК СССР:1	party_apparatus:17 | security_apparatus:7 | state_apparatus:3	27
М.Н. Яковлева	7	ГУГБ:9 | ВКП(б):6 | НКВД:4 | Коминтерн:3 | ЦК ВКП(б):3 | ИНО ГУГБ:1 | ЦИК СССР:1	security_apparatus:14 | party_apparatus:9 | international:3 | state_apparatus:1	27
