canonical_person_a	canonical_person_b	document_count
Вайсберга	Ежов	2
Ежов	Колоскова	2
Колоскова	Сталин	2
Балицкого	Гольденберга	2
Гольденберга	Ежов	2
Балицкого	Гуревича	2
Куликова	Ягода	2
Ежов	Москалева	2
Балицкого	Логинова	2
Зюка	Ягода	2
Ежов	Кузьмичева	2
Тивеля	Ягода	2
Пригожин	Ягода	2
Ежов	Пригожин	2
Аркуса	Ежов	2
Ежов	Закса-	2
Бермана-	Ягода	2
Бермана-	Сталин	2
Бабахана	Ягода	2
Бабахана	Сталин	2
Галкина	Ягода	2
Галкина	Сталин	2
Шмидта	Ягода	2
Биркенгофа	Ягода	2
Радек	Ягода	2
Ежов	Слепкова	2
Агранов	Розенфельда	2
Бочарова	Ежов	2
Румянцева	Сталин	2
Слепкова	Сталин	2
Александрова	Ежов	2
Александрова	Сталин	2
Миронова	Сталин	2
Бухарин	Вышинский	2
Андреева	Ежов	2
Андреева	Сталин	2
Дмитриев	Ягода	2
Ежов	Лурье	2
Фридлянда	Ягода	2
Лурье	Сталин	2
Бухарин	Когану	1
Зарицкого	Когану	1
Бухарин	Лариной	1
Гессена	Зиновьев	1
Букалова	Ежов	1
Букалова	Сталин	1
Ежов	Ульянова	1
Сталин	Ульянова	1
Агранов	Бухарин	1
Молчанова	Сталин	1
Ежов	Тамаркина	1
Сталин	Тамаркина	1
Ежов	Левина	1
Левина	Сталин	1
Ежов	Колесникова	1
Колесникова	Сталин	1
Ежов	Марецкого	1
Марецкого	Сталин	1
Дуката	Ежов	1
Дуката	Сталин	1
Бухарин	Членов	1
Герасимато	Ежов	1
Герасимато	Сталин	1
Ежов	Табанакова	1
Сталин	Табанакова	1
Рыков	Шмидтом	1
Радин	Рыков	1
Ежов	Нестеровым	1
Нестеровым	Сталин	1
Нестеровым	Рыков	1
Арефьева	Ежов	1
Арефьева	Сталин	1
Ежов	Яглома	1
Сталин	Яглома	1
Гавен	Ягода	1
Гавен	Сталин	1
Мешковской	Прокофьева	1
Ежов	Мешковской	1
Васильченко	Прокофьева	1
Васильченко	Ежов	1
Соколова	Ягода	1
Соколова	Сталин	1
Прокофьева	Трусова	1
Сталин	Трусова	1
Прокофьева	Шемелев	1
Ежов	Шемелев	1
Загорулько	Розановым	1
Прокофьева	Сафьянова	1
Ежов	Сафьянова	1
Маренко	Розановым	1
Вышинский	Ягода	1
Бриггиса	Прокофьева	1
Бриггиса	Ежов	1
Прокофьева	Хасина	1
Ежов	Хасина	1
Горовича	Прокофьева	1
Прокофьева	Стукова	1
Ежов	Стукова	1
Молотов	Прокофьева	1
Вяткина	Прокофьева	1
Молотов	Сталин	1
Вяткина	Сталин	1
Вяткина	Молотов	1
Вяткина	Ежов	1
Горбуновой	Прокофьева	1
Горбуновой	Ежов	1
Загорулько	Нырчуком	1
Попова	Прокофьева	1
Ежов	Попова	1
Шемелев	Ягода	1
Сталин	Шемелев	1
Пономарева	Ягода	1
Ежов	Пономарева	1
Ольберг	Ягода	1
Жакова	Прокофьева	1
Жакова	Сталин	1
Жакова	Молотов	1
Гидлевского	Прокофьева	1
