document_type	sample_no	document_post_id	content_chars	content_words	primary_process	document_title	sample_path	document_url
testimony	1	4093	493	81	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Показания А.И. Анишева	/srv/projects/showtrials-discovery/structural_samples_d2_1/testimony/01_4093_._..txt	http://showtrials.ru/pokazaniya-a-i-anisheva-3/
testimony	2	1632	1942	301	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	Дополнение к протоколу допроса А.В. Румянцева	/srv/projects/showtrials-discovery/structural_samples_d2_1/testimony/02_1632_._..txt	http://showtrials.ru/dopros-a-rumyanczeva-2-24-dekabrya-1934/
testimony	3	6918	4600	641	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Показания обвиняемого С.А. Чихладзе	/srv/projects/showtrials-discovery/structural_samples_d2_1/testimony/03_6918_._..txt	http://showtrials.ru/pokazaniya-obvinyaemogo-s-a-chihladze-2/
testimony	4	8740	9034	1404	ПРОЦЕСС 2-12 МАРТА 1938 г.	Дополнительные показания Н.И. Бухарина	/srv/projects/showtrials-discovery/structural_samples_d2_1/testimony/04_8740_._..txt	http://showtrials.ru/dopolnitelnye-pokazaniya-n-i-buharina/
testimony	5	8725	54103	7698	ПРОЦЕСС 2-12 МАРТА 1938 г.	Показания Н.И. Бухарина	/srv/projects/showtrials-discovery/structural_samples_d2_1/testimony/05_8725_._..txt	http://showtrials.ru/pokazaniya-n-i-buharina/
testimony	6	8747	32959	4622	ПРОЦЕСС 2-12 МАРТА 1938 г.	Показания Н.И. Бухарина	/srv/projects/showtrials-discovery/structural_samples_d2_1/testimony/06_8747_._..txt	http://showtrials.ru/pokazaniya-n-i-buharina-2/
testimony	7	8783	19123	2992	ПРОЦЕСС 2-12 МАРТА 1938 г.	Показания Н.И. Бухарина	/srv/projects/showtrials-discovery/structural_samples_d2_1/testimony/07_8783_._..txt	http://showtrials.ru/pokazaniya-n-i-buharina-3/
testimony	8	4383	12418	1860	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Показания А.И. Александрова	/srv/projects/showtrials-discovery/structural_samples_d2_1/testimony/08_4383_._..txt	http://showtrials.ru/pokazaniya-a-i-aleksandrova/
confrontation_protocol	1	8486	1166	203	ПРОЦЕСС 2-12 МАРТА 1938 г.	Протокол очной ставки между Н.А. Углановым и Д.Ф. Бузиным	/srv/projects/showtrials-discovery/structural_samples_d2_1/confrontation_protocol/01_8486_._._._..txt	http://showtrials.ru/protokol-ochnoj-stavki-mezhdu-n-a-uglanovym-i-d-f-buzinym/
confrontation_protocol	2	4000	1776	291	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Протокол очной ставки между Г.Ф. Федоровым и А.С. Куклиным	/srv/projects/showtrials-discovery/structural_samples_d2_1/confrontation_protocol/02_4000_._._._..txt	http://showtrials.ru/protokol-ochnoj-stavki-mezhdu-g-f-fedorovym-i-a-s-kuklinym/
confrontation_protocol	3	5189	2053	302	КРЕМЛЕВСКОЕ ДЕЛО	Протокол очной ставки между Н.Н. Мищенко и П.Ф. Поляковым	/srv/projects/showtrials-discovery/structural_samples_d2_1/confrontation_protocol/03_5189_._._._..txt	http://showtrials.ru/protokol-ochnoj-stavki-mezhdu-n-n-mishhenko-i-p-f-polyakovym/
confrontation_protocol	4	4359	3636	526	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Протокол очной ставки между И.П. Бакаевым и Г.Е. Евдокимовым	/srv/projects/showtrials-discovery/structural_samples_d2_1/confrontation_protocol/04_4359_._._._..txt	http://showtrials.ru/protokol-ochnoj-stavki-mezhdu-i-p-bakaevym-i-g-e-evdokimovym/
confrontation_protocol	5	4423	53908	8424	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Протокол очной ставки между Г.Е. Зиновьевым и Г.И. Сафаровым	/srv/projects/showtrials-discovery/structural_samples_d2_1/confrontation_protocol/05_4423_._._._..txt	http://showtrials.ru/protokol-ochnoj-stavki-mezhdu-g-e-zinovevym-i-g-i-safarovym/
confrontation_protocol	6	8609	42832	6804	ПРОЦЕСС 2-12 МАРТА 1938 г.	Протокол очной ставки между Н.И. Бухариным и Е.Ф. Куликовым в ЦК ВКП(б)	/srv/projects/showtrials-discovery/structural_samples_d2_1/confrontation_protocol/06_8609_._._._..txt	http://showtrials.ru/protokol-ochnoj-stavki-mezhdu-n-i-buharinym-i-e-f-kulikovym-v-czk-vkpb/
confrontation_protocol	7	4435	34119	5221	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Протокол очной ставки между Г.Е. Евдокимовым и Г.Е. Зиновьевым	/srv/projects/showtrials-discovery/structural_samples_d2_1/confrontation_protocol/07_4435_._._._..txt	http://showtrials.ru/protokol-ochnoj-stavki-mezhdu-g-e-evdokimovym-i-g-e-zinovevym/
confrontation_protocol	8	5694	26931	4115	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Протокол очной ставки между И.П. Бакаевым и Н.А. Каревым	/srv/projects/showtrials-discovery/structural_samples_d2_1/confrontation_protocol/08_5694_._._._..txt	http://showtrials.ru/protokol-ochnoj-stavki-mezhdu-i-p-bakaevym-i-n-a-karevym/
memo_note	1	1625	510	69	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	Записка Сталина 4 января 1935 о рассылке документов по делу А.В. Румянцева членам Политбюро ЦК ВКП(б)	/srv/projects/showtrials-discovery/structural_samples_d2_1/memo_note/01_1625_4_1935_._..txt	http://showtrials.ru/zapiska-stalina-4-yanvarya-1935/
memo_note	2	6680	1881	243	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Записка по прямому проводу В.А. Балицкого Н.И. Ежову о показаниях на следствии И.М. Гуревича	/srv/projects/showtrials-discovery/structural_samples_d2_1/memo_note/02_6680_._._._._._..txt	http://showtrials.ru/zapiska-po-pryamomu-provodu-v-a-baliczkogo-n-i-ezhovu-o-pokazaniyah-i-m-gurevicha/
memo_note	3	9879	4738	653	КРЕМЛЕВСКОЕ ДЕЛО	Записка З.М. Беленького о результатах проверки научных учреждений, подведомственных ЦИК СССР	/srv/projects/showtrials-discovery/structural_samples_d2_1/memo_note/03_9879_._..txt	http://showtrials.ru/zapiska-z-m-belenkogo-o-rezultatah-proverki-nauchnyh-uchrezhdenij-podvedomstvennyh-czik-sssr/
memo_note	4	10574	9317	1383	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Записка заместителя заведующего Планфинторготделом ЦК ВКП(б) Д.С. Гуревича Н.И. Ежову с приложением материалов о В.Н. Яковлевой	/srv/projects/showtrials-discovery/structural_samples_d2_1/memo_note/04_10574_._._._._._..txt	http://showtrials.ru/zapiska-zamestitelya-zaveduyushhego-planfintorgotdelom-czk-vkpb-d-s-gurevicha-n-i-ezhovu-s-prilozheniem-materialov-o-v-n-yakovlevoj/
