document_type	sample_no	document_post_id	content_chars	content_words	primary_process	document_title	sample_path	document_url
press_summary	1	2488	34130	5511	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ АГЕНТСТВА UNITED PRESS INTERNATIONAL	/srv/projects/showtrials-discovery/structural_samples_d2_1/press_summary/01_2488_UNITED_PRESS_INTERNATIONAL.txt	http://showtrials.ru/otchet-o-hode-proczessa-po-materialam-agentstva-united-press-international/
press_summary	2	2487	38218	6258	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ ГАЗЕТЫ THE NEW YORK TIMES	/srv/projects/showtrials-discovery/structural_samples_d2_1/press_summary/02_2487_THE_NEW_YORK_TIMES.txt	http://showtrials.ru/otchet-o-hode-proczessa-po-materialam-gazety-the-new-york-times/
press_summary	3	2486	38490	5202	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ ГАЗЕТЫ “ИЗВЕСТИЯ”	/srv/projects/showtrials-discovery/structural_samples_d2_1/press_summary/03_2486_sample.txt	http://showtrials.ru/otchet-o-hode-proczessa-po-materialam-gazety-izvestiya/
press_summary	4	2485	48440	6829	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ ГАЗЕТЫ “ПРАВДА”	/srv/projects/showtrials-discovery/structural_samples_d2_1/press_summary/04_2485_sample.txt	http://showtrials.ru/otchet-o-hode-proczessa-po-materialam-gazety-pravda/
reference_note	1	4781	1750	279	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Справка о ходе выселения из Ленинграда членов семей лиц, осужденных по делам “14”, “19” и “78”	/srv/projects/showtrials-discovery/structural_samples_d2_1/reference_note/01_4781_14_19_78.txt	http://showtrials.ru/spravka-o-hode-vyseleniya-iz-leningrada-chlenov-semej-licz-osuzhdennyh-po-delam-14-19-i-78/
reference_note	2	10505	2601	380	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Справка М.И. Гая о связях Д.С. Тайца	/srv/projects/showtrials-discovery/structural_samples_d2_1/reference_note/02_10505_._._._..txt	http://showtrials.ru/spravka-m-i-gaya-o-svyazyah-d-s-tajcza/
reference_note	3	2023	8064	1008	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Справка о вещественных и уликовых доказательствах, обнаруженных при ликвидации “троцкистско-националистической боевой организации”	/srv/projects/showtrials-discovery/structural_samples_d2_1/reference_note/03_2023_-.txt	http://showtrials.ru/spravka-o-veshhestvennyh-i-ulikovyh-dokazatelstvah-obnaruzhennyh-pri-likvidaczii-troczkistsko-naczionalisticheskoj-boevoj-organizaczii/
reference_note	4	1735	8863	1140	КРЕМЛЕВСКОЕ ДЕЛО	Справка по делу контрреволюционной террористической организации Л.Б. Каменева, Н.А. Розенфельд, Е.К. Мухановой и других	/srv/projects/showtrials-discovery/structural_samples_d2_1/reference_note/04_1735_._._._._._..txt	http://showtrials.ru/spravka-po-organizaczii-konecz-marta-1935/
reference_note	5	7681	20632	2993	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Справка СПО ГУГБ НКВД СССР на В.Г. Яковенко	/srv/projects/showtrials-discovery/structural_samples_d2_1/reference_note/05_7681_._..txt	http://showtrials.ru/spravka-spo-gugb-nkvd-sssr-na-v-g-yakovenko/
reference_note	6	4849	49353	7010	КРЕМЛЕВСКОЕ ДЕЛО	Справка по “Кремлевскому делу” для подготовки доклада Н.И. Ежова на июньском пленуме ЦК 1935 г. с выдержками из показаний обвиняемых	/srv/projects/showtrials-discovery/structural_samples_d2_1/reference_note/06_4849_._._1935_..txt	http://showtrials.ru/spravka-po-kremlevskomu-delu-dlya-podgotovki-doklada-n-i-ezhova-na-iyunskom-plenume-czk-1935-g-s-vyderzhkami-iz-pokazanij-obvinyaemyh/
biographical_article	1	9470	188042	27232	СТАТЬИ	Георгий Борисович Синани-Скалов	/srv/projects/showtrials-discovery/structural_samples_d2_1/biographical_article/01_9470_-.txt	http://showtrials.ru/georgij-borisovich-sinani-skalov/
biographical_article	2	9366	250227	36433	СТАТЬИ	Валентин Ольберг	/srv/projects/showtrials-discovery/structural_samples_d2_1/biographical_article/02_9366_sample.txt	http://showtrials.ru/valentin-olberg/
