document_post_id	marker	attachment_type_guess	context_snippet
8709	приложение	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления Н.И. Бухарина о согласии давать показания ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Бухарин | Материалы следствия 19...
8709	направляю	package_marker	...-prilozheniem-zayavleniya-n-i-buharina-o-soglasii-davat-pokazaniya Совершенно секретно СЕКРЕТАРЮ ЦК ВКП(б) тов. СТАЛИНУ Направляю Вам заявление арестованного Бухарина Н.И. от 1-го июня 1937 года. Народный комиссар внутренних дел Союза ССР (Н. Ежов)...
8707	с приложением	package_marker	Спецсообщение Я.С. Агранова И.В. Сталину с приложением письма Н.И. Бухарина И.В. Сталину ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Бухарин Бухарин 1937-04-15T18:24:57 speczsoobshhen...
8707	приложение	package_marker	Спецсообщение Я.С. Агранова И.В. Сталину с приложением письма Н.И. Бухарина И.В. Сталину ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Бухарин Бухарин 1937-04-15T18:24:57 speczsoobshhen...
8707	направляю	package_marker	...провинциальное актерство и фарисейское жульничество. А. Микоян ] Совершенно секретно Секретарю ЦК ВКП(б) тов. СТАЛИНУ. Направляю адресованное на Ваше имя заявление Бухарина Н.И. от 15 апреля c<его> г<ода>. Зам. Народного Комиссара внутр. дел СССР Н...
8707	протокол допроса	interrogation_protocol	...передо мной. Я видел здесь на очных ставках Астрова , Марецкого , Айхенвальда , Слепкова , – ты, конечно, получил давно протоколы допросов и этих очных ставок. Люди все эти озлоблены на меня внутренне до чрезвычайности, но у некоторых были, на момент, возмож...
7517	с приложением	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Г.А. Молчанова ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Правые 1937-03...
7517	приложение	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Г.А. Молчанова ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Правые 1937-03...
7517	протокол допроса	interrogation_protocol	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Г.А. Молчанова ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Правые 1937-03-27T15:37:52 specz...
7517	направляю	package_marker	...v-stalinu-s-prilozheniem-protokola-doprosa-g-a-molchanova СОВЕРШЕННО СЕКРЕТНО. ЛИЧНО. СЕКРЕТАРЮ ЦК ВКП(б) тов. СТАЛИНУ. Направляю протокол допроса МОЛЧАНОВА от 27 марта 1937 года. МОЛЧАНОВ в течение долгого времени не давал никаких показаний о своей...
7517	протокол допроса	interrogation_protocol	...s-prilozheniem-protokola-doprosa-g-a-molchanova СОВЕРШЕННО СЕКРЕТНО. ЛИЧНО. СЕКРЕТАРЮ ЦК ВКП(б) тов. СТАЛИНУ. Направляю протокол допроса МОЛЧАНОВА от 27 марта 1937 года. МОЛЧАНОВ в течение долгого времени не давал никаких показаний о своей предательской и...
7517	протокол допроса	interrogation_protocol	...(ЕЖОВ) 11 апреля 1937 г. № 56705 [Резолюция И. Сталина: Мой арх<ив>. Ст. ] РГАСПИ Ф. 588, Оп. 11, Д. 174, Л. 116. Копия ПРОТОКОЛ ДОПРОСА ОБВИНЯЕМОГО МОЛЧАНОВА Г.А. От 27 марта 1937 года. МОЛЧАНОВ Георгий Андреевич , рождения 1897 года, русский, член ВКП(б)...
7517	записка	memo	...ужил на квартире, и не говорила ли мне что-либо жена ТОМСКОГО. Я ответил, что она отказалась со мной говорить по поводу записки, оставленной ТОМСКИМ. Тогда ЯГОДА мне сказал, чтобы я не стеснялся и, если жена ТОМСКОГО мне что-либо сказала о нем – Я...
7517	протокол допроса	interrogation_protocol	...ЯГОДА был связан с ТОМСКИМ и боялся разоблачения ТОМСКОГО перед самоубийством. 2. Осенью 1936 года в СПО ОГПУ поступил протокол допроса МАКАРЬЕВА, арестованного УНКВД по Сталинградскому краю. В этом протоколе было сказано о том, что Леопольд АВЕРБАХ являе...
7517	записка	memo	...бвиняемых по делу, допрошенных в СПО ОГПУ. Таким ведением следствия по делу “Школки” я дал возможность ЯГОДЕ в итоговой записке в ЦК ВКП(б) скрыть все основные моменты контрреволюционной деятельности правых, в том числе и террор, что ЯГОДЕ и надо...
7517	список	list	...ть агентурных материалов, которые давал ЗАФРАН. ВОПРОС: Почему Вы в 1936 году снова арестовали ЗАФРАНА и включили его в списки подлежащих передаче на Военную Коллегию? ОТВЕТ: В 1936 году ЗАФРАН был арестован Транспортным Отделом ГУГБ. Когда я узн...
7517	список	list	...ЯГОДЕ. ЯГОДА приказал дело ЗАФРАНА передать в СПО ПП Московской области с тем, чтобы ЗАФРАНА как двурушника включить в списки подлежащих преданию Военной Коллегии. Этим, как выразился ЯГОДА, будет поставлена точка на самом ЗАФРАНЕ и на всех его...
7517	список	list	...вести в Транспортном Отделе. Выполняя это задание, перед своим отъездом в отпуск я дал распоряжение включить ЗАФРАНА в списки предаваемых суду Военной Коллегии. ВОПРОС: Значит, включением ЗАФРАНА в списки передаваемых на рассмотрение Военной Кол...
7517	список	list	...ск я дал распоряжение включить ЗАФРАНА в списки предаваемых суду Военной Коллегии. ВОПРОС: Значит, включением ЗАФРАНА в списки передаваемых на рассмотрение Военной Коллегии Вы хотели убрать неудобного свидетеля? ОТВЕТ: Да, ЗАФРАН писал бесконечно...
7724	с приложением	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Г. Яковенко ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Партизаны 1937-...
7724	приложение	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Г. Яковенко ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Партизаны 1937-...
7724	протокол допроса	interrogation_protocol	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Г. Яковенко ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Партизаны 1937-03-22T22:09:50 spe...
7724	направляю	package_marker	...ova-i-v-stalinu-s-prilozheniem-protokola-doprosa-v-g-yakovenko СОВЕРШЕННО СЕКРЕТНО. СЕКРЕТАРЮ ЦК ВКП(б) – тов. СТАЛИНУ. Направляю Вам протокол допроса ЯКОВЕНКО В.Г. от 22-го марта с<его> г<ода>. ЯКОВЕНКО показал, что он с 1928 года был организационн...
7724	протокол допроса	interrogation_protocol	...u-s-prilozheniem-protokola-doprosa-v-g-yakovenko СОВЕРШЕННО СЕКРЕТНО. СЕКРЕТАРЮ ЦК ВКП(б) – тов. СТАЛИНУ. Направляю Вам протокол допроса ЯКОВЕНКО В.Г. от 22-го марта с<его> г<ода>. ЯКОВЕНКО показал, что он с 1928 года был организационно связан с БУХАРИНЫМ,...
7724	протокол допроса	interrogation_protocol	...НАРОДНЫЙ КОМИССАР ВНУТРЕННИХ ДЕЛ СОЮЗА ССР Ежов (Н. ЕЖОВ) 25 марта 1937 г. № 56396 РГАСПИ Ф. 17, Оп. 171, Д. 299, Л. 1. ПРОТОКОЛ ДОПРОСА ЯКОВЕНКО, Василия Григорьевича . – от 22 марта 1937 года. ЯКОВЕНКО, В.Г. , 1889 г<ода> р<ождения>, чл<ен> ВКП/б с 1917...
8045	с приложением	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления К.Н. Лукницкого Н.И. Ежову ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Правые 193...
8045	приложение	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления К.Н. Лукницкого Н.И. Ежову ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Правые 193...
8045	направляю	package_marker	...-stalinu-s-prilozheniem-zayavleniya-k-n-lukniczkogo-n-i-ezhovu СОВЕРШЕННО СЕКРЕТНО. СЕКРЕТАРЮ ЦК ВКП(б) – тов. СТАЛИНУ. Направляю Вам заявление ЛУКНИЦКОГО К.Н. от 22 марта с<его> г<ода>. ЛУКНИЦКОМУ было предложено самому изложить все об антисоветско...
8048	с приложением	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.Д. Гогоберидзе ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Троцкисты Аз...
8048	приложение	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.Д. Гогоберидзе ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Троцкисты Аз...
8048	протокол допроса	interrogation_protocol	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.Д. Гогоберидзе ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Троцкисты Азово-Черноморского...
8048	направляю	package_marker	...a-i-v-stalinu-s-prilozheniem-protokola-doprosa-l-d-gogoberidze-2 СОВЕРШЕННО СЕКРЕТНО. СЕКРЕТАРЮ ЦК ВКП(б) тов. СТАЛИНУ. Направляю Вам протокол допроса ГОГОБЕРИДЗЕ Л.Д. от 17-го марта с<его> г<ода>. Названные в показаниях ГОГОБЕРИДЗЕ – работники НКВД...
8048	протокол допроса	interrogation_protocol	...s-prilozheniem-protokola-doprosa-l-d-gogoberidze-2 СОВЕРШЕННО СЕКРЕТНО. СЕКРЕТАРЮ ЦК ВКП(б) тов. СТАЛИНУ. Направляю Вам протокол допроса ГОГОБЕРИДЗЕ Л.Д. от 17-го марта с<его> г<ода>. Названные в показаниях ГОГОБЕРИДЗЕ – работники НКВД МАСАЛЬСКИЙ и ТАРАС (...
8048	протокол допроса	interrogation_protocol	...РОДНЫЙ КОМИССАР ВНУТРЕННИХ ДЕЛ СОЮЗА ССР: Ежов (Н. ЕЖОВ) 25 марта 1937 г. № 56397 РГАСПИ Ф. 17, Оп. 171, Д. 299, Л. 32. ПРОТОКОЛ ДОПРОСА ГОГОБЕРИДЗЕ, Левона Давидовича , от 17 марта 1937 г. 1896 года рождения, уроженец Хонского района ССР Грузии, из дворян...
7705	с приложением	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса М.Л. Левина ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Правые 1937-03-14...
7705	приложение	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса М.Л. Левина ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Правые 1937-03-14...
7705	протокол допроса	interrogation_protocol	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса М.Л. Левина ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Правые 1937-03-14T19:03:58 speczsoo...
7705	направляю	package_marker	...ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-m-l-levina СОВЕРШЕННО СЕКРЕТНО. СЕКРЕТАРЮ ЦК ВКП(б) – тов. СТАЛИНУ. Направляю Вам протокол допроса от 14-го марта с<его> г<ода> арестованного Управлением НКВД Московской области ЛЕВИНА М.Л. – бывш<...
7705	протокол допроса	interrogation_protocol	...linu-s-prilozheniem-protokola-doprosa-m-l-levina СОВЕРШЕННО СЕКРЕТНО. СЕКРЕТАРЮ ЦК ВКП(б) – тов. СТАЛИНУ. Направляю Вам протокол допроса от 14-го марта с<его> г<ода> арестованного Управлением НКВД Московской области ЛЕВИНА М.Л. – бывш<его> зав<едующего> ка...
7705	протокол допроса	interrogation_protocol	...НЫЙ КОМИССАР ВНУТРЕННИХ ДЕЛ СОЮЗА ССР: Ежов (Н. ЕЖОВ) 23 марта 1937 года. № 56370 РГАСПИ Ф. 17, Оп. 171, Д. 298, Л. 94. ПРОТОКОЛ ДОПРОСА ЛЕВИНА, Макса Людвиговича . от 14 марта 1937 года. ЛЕВИН М.Л. ,1885 г<ода> р<ождения>, немец, гр<ажданин> СССР, работал...
8042	с приложением	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Б.Л. Колесникова ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Троцкисты Аз...
8042	приложение	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Б.Л. Колесникова ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Троцкисты Аз...
8042	протокол допроса	interrogation_protocol	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Б.Л. Колесникова ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Троцкисты Азово-Черноморского...
8042	направляю	package_marker	...е Народного комиссариата внутренних дел] 28 марта 193 7 г. № 56485 Совершенно секретно СЕКРЕТАРЮ ЦК ВКП(б) – т. СТАЛИНУ Направляю Вам протокол допроса бывшего директора Таганрогского металлургического завода им. Андреева – КОЛЕСНИКОВА Б.Л. , арестов...
8042	протокол допроса	interrogation_protocol	...миссариата внутренних дел] 28 марта 193 7 г. № 56485 Совершенно секретно СЕКРЕТАРЮ ЦК ВКП(б) – т. СТАЛИНУ Направляю Вам протокол допроса бывшего директора Таганрогского металлургического завода им. Андреева – КОЛЕСНИКОВА Б.Л. , арестованного как активного...
8042	протокол допроса	interrogation_protocol	...ССАР ВНУТРЕННИХ ДЕЛ СОЮЗА ССР ГЕНЕРАЛЬНЫЙ КОМИССАР ГОС. БЕЗОПАСНОСТИ Ежов (ЕЖОВ) РГАСПИ Ф. 17, Оп. 171, Д. 299, Л. 155. ПРОТОКОЛ ДОПРОСА обвиняемого КОЛЕСНИКОВА Бориса Леонидовича от 12 марта 1937 г. КОЛЕСНИКОВ Борис Леонидович , 1898 г<ода> р<ождения>, б<...
7988	с приложением	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления Д.П. Марецкого Н.И. Ежову ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Правые 1937...
7988	приложение	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления Д.П. Марецкого Н.И. Ежову ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Правые 1937...
7988	направляю	package_marker	...v-stalinu-s-prilozheniem-zayavleniya-d-p-mareczkogo-n-i-ezhovu СОВЕРШЕННО СЕКРЕТНО. СЕКРЕТАРЮ ЦК ВКП(б) – тов. СТАЛИНУ. Направляю Вам заявление МАРЕЦКОГО Д.П. от 10-го марта с<его> г<ода>. МАРЕЦКОМУ было предложено самому изложить все об антисоветск...
7988	меморандум	memo	.... Однако гораздо менее известно, что БУХАРИН пытался вести политику торможения борьбы с троцкизмом. Смысл бухаринского “меморандума”, написанного им в конце 1924 года, – меморандума, который должен был быть представлен в Политбюро ЦК, который был пред...
7988	меморандум	memo	...ся вести политику торможения борьбы с троцкизмом. Смысл бухаринского “меморандума”, написанного им в конце 1924 года, – меморандума, который должен был быть представлен в Политбюро ЦК, который был предварительно обсужден БУХАРИНЫМ совместно с его учен...
7988	меморандум	memo	...ской школы, – как раз в том и заключался, чтобы ослабить удар по троцкизму, придать ему “джентельменские” формы. Лозунг меморандума “борясь, уживаться” означал курс на то, чтобы “уживаться” с ТРОЦКИМ, как это и было прямо расшифровано в самом “меморан...
7988	меморандум	memo	...рандума “борясь, уживаться” означал курс на то, чтобы “уживаться” с ТРОЦКИМ, как это и было прямо расшифровано в самом “меморандуме”, в котором, кстати, БУХАРИН делает литературные комплименты “Урокам Октября” ТРОЦКОГО. По другой линии “меморандум” пр...
7988	меморандум	memo	...м “меморандуме”, в котором, кстати, БУХАРИН делает литературные комплименты “Урокам Октября” ТРОЦКОГО. По другой линии “меморандум” протягивает нить к лозунгу “свобода всех групп п течений”, впоследствии подхваченному ЗИНОВЬЕВЫМ. Положение в руководя...
7988	меморандум	memo	...ех групп п течений”, впоследствии подхваченному ЗИНОВЬЕВЫМ. Положение в руководящем ядре партии и Центрального комитета меморандум расценивает контрреволюционно, клеветнически, сравнивая его с положением “в штабах белых армий”. Борьбу партии с уклона...
7988	меморандум	memo	...сценивает контрреволюционно, клеветнически, сравнивая его с положением “в штабах белых армий”. Борьбу партии с уклонами меморандум обывательски штемпелюет как “борьбу клик” за власть. В этой связи отмечаю, что задолго до открытого выступления правых...
7988	меморандум	memo	...ной легальности особенно сильно говорит тот факт, что школа обсуждала вопросы, конспирируя это от ЦК. Так, бухаринский “меморандум”, адресованный в Политбюро, остался неизвестным для Политбюро, будучи известным и обсужденным в “школке”. Таким образом...
7988	меморандум	memo	...ном из таких совещаний БУХАРИН ознакомил (зачитал) УГЛАНОВА и его основных единомышленников КОТОВА и КУЛИКОВА со своим “меморандумом” от 1924 года, причем основные установки меморандума были приняты собравшимися. БУХАРИН и другие члены центра системати...
7988	меморандум	memo	...АНОВА и его основных единомышленников КОТОВА и КУЛИКОВА со своим “меморандумом” от 1924 года, причем основные установки меморандума были приняты собравшимися. БУХАРИН и другие члены центра систематически информировали нас о том, что происходит на Поли...
7988	меморандум	memo	...роисходит на Политбюро и в ЦК, давали читать свои антипартийные документы и декларации (заявление 3-х в ЦК, бухаринский меморандум, речи на ЦК, на Политбюро и др.), содержание которых мы, в свою очередь, распространяли среди других участников организ...
7988	тезисы	theses	...ИНА я еще в конце 1930 года выступил на собрании партийного коллектива Академии, отстаивая некоторые оппортунистические тезисы БУХАРИНА и защищая БУХАРИНА и СЛЕПКОВА как несправедливо “обижаемых”. На том же собрании я был исключен из партии, но п...
7988	записка	memo	...разговорах о ОГПУ, о “тайнах” Политбюро, я не брезгал материалами, заимствованными из белогвардейской книжки АГАБЕКОВА “Записки чекиста”. (Эту книжку я достал от мужа одной мне знакомой ленинградской студентки. Я был на квартире у этого человека –...
7988	меморандум	memo	...ервно пытается отстаивать свой “приоритет” по отношению к ТРОЦКОМУ; в борьбе против партийного “режима” он, БУХАРИН, в “меморандуме” ставил, де, вопросы острее, чем ТРОЦКИЙ; против политики сплошной коллективизации он опять-таки выступил “раньше и луч...
8001	с приложением	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Ю.И. Дуката ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Правые | Троцкист...
8001	приложение	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Ю.И. Дуката ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Правые | Троцкист...
8001	протокол допроса	interrogation_protocol	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Ю.И. Дуката ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Правые | Троцкисты Азово-Черноморск...
