attachment_type	documents	percentage_of_special_reports	strong_packages	possible_packages	none_packages
interrogation_protocol	447	84.98	444	3	0
memo	53	10.08	51	2	0
theses	42	7.98	41	1	0
list	39	7.41	39	0	0
reference_note	37	7.03	37	0	0
unknown_attachment	28	5.32	28	0	0
diary	8	1.52	7	1	0
draft_project	1	0.19	1	0	0
