document_post_id	document_title	primary_process	package_likelihood	attachment_type	dominant_attachment_type
5077	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса М.К. Чернявского	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5084	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Е.К. Мухановой	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5086	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса К.К. Муханова	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5102	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Д.С. Азбеля	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5108	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса М.М. Михайлова	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5113	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола очной ставки между Г.Е. Зиновьевым и В.Д. Вуйовичем	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5124	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Н.Б. Розенфельда	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5126	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Н.Б. Скаловой	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5137	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Г.Б. Синани-Скалова	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5137	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Г.Б. Синани-Скалова	КРЕМЛЕВСКОЕ ДЕЛО	strong	theses	interrogation_protocol
5149	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Г.Б. Либермана	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5149	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Г.Б. Либермана	КРЕМЛЕВСКОЕ ДЕЛО	strong	list	interrogation_protocol
5152	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса М.К. Чернявского	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5156	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Ф.Г. Иванова	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5159	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Л.Б. Каменева	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5161	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Г.Б. Синани-Скалова	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5172	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Н.И. Бураго	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5175	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Е.К. Мухановой	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5186	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса А.А. Гардина-Гейера	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5191	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Б.Н. Розенфельда	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5206	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Р.С. Беннет	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5206	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Р.С. Беннет	КРЕМЛЕВСКОЕ ДЕЛО	strong	theses	interrogation_protocol
5208	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Н.А. Розенфельд	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5216	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Л.А. Воронова	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5224	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса В.Г. Белова	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5232	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Ю.Д. Урусова	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5236	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Р.С. Беннет	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5237	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса В.М. Рохинсона	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5259	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением копии заявления ссыльного троцкиста К.И. Грюнштейна	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	unknown_attachment	unknown_attachment
5265	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления и тюремных записок Г.Е. Зиновьева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5265	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления и тюремных записок Г.Е. Зиновьева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	memo	interrogation_protocol
5265	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления и тюремных записок Г.Е. Зиновьева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	reference_note	interrogation_protocol
5360	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением описи изъятого архива Троцкого	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5360	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением описи изъятого архива Троцкого	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	reference_note	interrogation_protocol
5363	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса И.И. Горовича	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5366	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса И.К. Федотова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
