document_post_id	document_title	document_url	document_date	document_modified	primary_process	primary_collection	all_processes	all_collections	category_ids	category_names	category_slugs	tag_ids	tag_names	tag_slugs	content_chars	content_words	slug	wp_author	wp_status	wp_type	year
6545	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.Ю. Тивеля	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-a-yu-tivelya/	1936-11-29T08:23:19	2021-08-03T08:25:58	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	7635	1109	speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-a-yu-tivelya	1	publish	post	1936
5904	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления К.Б. Радека о своей невиновности	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-zayavleniya-k-b-radeka-o-svoej-nevinovnosti/	1936-11-16T00:29:00	2026-04-06T13:17:53	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	47264	7179	speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-zayavleniya-k-b-radeka-o-svoej-nevinovnosti	1	publish	post	1936
6265	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.С. Сосновского	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-l-s-sosnovskogo/	1936-11-14T20:00:39	2021-09-22T13:46:05	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	118 | 116	Правые | Группа Радека	rights | radek	47930	7049	speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-l-s-sosnovskogo	1	publish	post	1936
5866	Письмо Р.М. Радек И.В. Сталину	http://showtrials.ru/pismo-r-m-radek-i-v-stalinu-2/	1936-10-09T01:36:00	1936-10-09T01:36:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	2116	340	pismo-r-m-radek-i-v-stalinu-2	1	publish	post	1936
5963	Протокол допроса С.А. Раевского	http://showtrials.ru/protokol-doprosa-s-a-raevskogo/	1936-10-08T14:51:00	2021-06-29T17:56:08	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	6707	1018	protokol-doprosa-s-a-raevskogo	1	publish	post	1936
5839	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Д.А. Шмидта	http://showtrials.ru/speczsoobshhenie-ya-s-agranova-n-i-ezhovu-s-prilozheniem-protokola-doprosa-d-a-shmidta/	1936-09-21T01:36:00	2021-06-21T17:44:11	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	114 | 116	Военные-троцкисты | Группа Радека	military | radek	7793	1217	speczsoobshhenie-ya-s-agranova-n-i-ezhovu-s-prilozheniem-protokola-doprosa-d-a-shmidta	1	publish	post	1936
5835	Спецсообщение Г.Г. Ягоды Н.И. Ежову об аресте и обыске у К.Б. Радека с приложением частично зашифрованного письма	http://showtrials.ru/speczsoobshhenie-g-g-yagody-n-i-ezhovu-ob-areste-i-obyske-u-k-b-radeka-s-prilozheniem-chastichno-zashifrovannogo-pisma/	1936-09-17T00:36:00	2021-12-23T18:09:40	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	6946	1225	speczsoobshhenie-g-g-yagody-n-i-ezhovu-ob-areste-i-obyske-u-k-b-radeka-s-prilozheniem-chastichno-zashifrovannogo-pisma	1	publish	post	1936
5827	Письмо К.Б. Радека И.В. Сталину	http://showtrials.ru/pismo-k-b-radeka-i-v-stalinu-3/	1936-09-14T00:36:00	1936-09-14T00:36:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	9194	1487	pismo-k-b-radeka-i-v-stalinu-3	1	publish	post	1936
5805	Протокол допроса А.Ю. Тивеля	http://showtrials.ru/protokol-doprosa-a-yu-tivelya-2/	1936-09-01T01:36:00	1936-09-01T01:36:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	12713	1952	protokol-doprosa-a-yu-tivelya-2	1	publish	post	1936
5794	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса А.Ю. Тивеля	http://showtrials.ru/speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-protokola-doprosa-a-yu-tivelya-2/	1936-08-26T00:20:00	1936-08-26T00:20:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	19269	2688	speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-protokola-doprosa-a-yu-tivelya-2	1	publish	post	1936
5776	Письмо К.Б. Радека И.В. Сталину в связи с ожиданием ареста	http://showtrials.ru/pismo-k-b-radeka-i-v-stalinu-v-svyazi-s-ozhidaniem-aresta/	1936-08-22T01:10:00	2021-10-09T08:35:29	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	2762	409	pismo-k-b-radeka-i-v-stalinu-v-svyazi-s-ozhidaniem-aresta	1	publish	post	1936
5770	Письмо Р.М. Радек И.В. Сталину	http://showtrials.ru/pismo-r-m-radek-i-v-stalinu/	1936-08-19T01:10:00	1936-08-19T01:10:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80 | 67	Материалы следствия 1937 | Материалы следствия 1936	materialy-sledstviya-1937 | materialy-sledstviya-1936	116	Группа Радека	radek	1165	176	pismo-r-m-radek-i-v-stalinu	1	publish	post	1936
5769	Письмо К.Б. Радека И.В. Сталину	http://showtrials.ru/pismo-k-b-radeka-i-v-stalinu-2/	1936-08-19T00:20:00	2025-09-10T18:12:46	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	67 | 80	Материалы следствия 1936 | Материалы следствия 1937	materialy-sledstviya-1936 | materialy-sledstviya-1937	116	Группа Радека	radek	13718	2113	pismo-k-b-radeka-i-v-stalinu-2	1	publish	post	1936
5765	Протокол допроса М.Т. Антонова	http://showtrials.ru/protokol-doprosa-m-t-antonova/	1936-08-16T01:10:00	1936-08-16T01:10:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	67 | 80	Материалы следствия 1936 | Материалы следствия 1937	materialy-sledstviya-1936 | materialy-sledstviya-1937	116	Группа Радека	radek	24925	3556	protokol-doprosa-m-t-antonova	1	publish	post	1936
5762	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса И.И. Рейнгольда	http://showtrials.ru/speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-protokola-doprosa-i-i-rejngolda-3/	1936-08-15T00:10:00	2026-04-01T10:11:22	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	67	Материалы следствия 1936	materialy-sledstviya-1936	114 | 116 | 106	Военные-троцкисты | Группа Радека | Зиновьевский центр	military | radek | zinovevskij-czentr	13544	1933	speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-protokola-doprosa-i-i-rejngolda-3	1	publish	post	1936
