item_id	href	resolved_url	label	is_html	is_external	source_class	target_path
P2004-0018	documents/Bukharin/Plea_For_Pardon.doc	http://perpetrator2004.narod.ru/documents/Bukharin/Plea_For_Pardon.doc	Прошения Н.И. Бухарина о помиловании	no	no	internal	data/perpetrator2004/raw/mirror/documents/Bukharin/Plea_For_Pardon.doc
P2004-0019	documents/Khrushchev/Speech3WritCongr.doc	http://perpetrator2004.narod.ru/documents/Khrushchev/Speech3WritCongr.doc	Речь Н.С. Хрущева на III съезде писателей СССР, 22 мая 1959 г.	no	no	internal	data/perpetrator2004/raw/mirror/documents/Khrushchev/Speech3WritCongr.doc
P2004-0020	documents/DoctorsPlot/StalinDocsDP.doc	http://perpetrator2004.narod.ru/documents/DoctorsPlot/StalinDocsDP.doc	Документы о личном участии И.В. Сталина в создании и расследовании «дела врачей»	no	no	internal	data/perpetrator2004/raw/mirror/documents/DoctorsPlot/StalinDocsDP.doc
P2004-0021	documents/Yezhov/YezhovQuiz26Apr1939.doc	http://perpetrator2004.narod.ru/documents/Yezhov/YezhovQuiz26Apr1939.doc	Сообщение Л.П. Берии И.В. Сталину о Н.И. Ежове с приложением протокола допроса	no	no	internal	data/perpetrator2004/raw/mirror/documents/Yezhov/YezhovQuiz26Apr1939.doc
P2004-0022	documents/Khrushchev/Khrushchev19May1957.doc	http://perpetrator2004.narod.ru/documents/Khrushchev/Khrushchev19May1957.doc	Стенограмма встречи руководителей КПСС и советского правительства с писателями, художниками, скульпторами и композиторами 19 мая 1957 г.	no	no	internal	data/perpetrator2004/raw/mirror/documents/Khrushchev/Khrushchev19May1957.doc
P2004-0023	/documents/Khrushchev/Maniege1962.doc	http://perpetrator2004.narod.ru/documents/Khrushchev/Maniege1962.doc	Стенограмма присутствия Н.С. Хрущева на выставке художников-авангардистов 1 декабря 1962 г.	no	no	internal	data/perpetrator2004/raw/mirror/documents/Khrushchev/Maniege1962.doc
P2004-0024	/documents/Khrushchev/Khrushchev13May1957.doc	http://perpetrator2004.narod.ru/documents/Khrushchev/Khrushchev13May1957.doc	Выступление Н.С. Хрущева на совещании писателей в ЦК КПСС 13 мая 1957 г.	no	no	internal	data/perpetrator2004/raw/mirror/documents/Khrushchev/Khrushchev13May1957.doc
P2004-0025	/documents/Khrushchev/Speech16March1948.doc	http://perpetrator2004.narod.ru/documents/Khrushchev/Speech16March1948.doc	Из выступления Н.С. Хрущева на совещании писателей, композиторов и художников, созванном ЦК КП(б)У	no	no	internal	data/perpetrator2004/raw/mirror/documents/Khrushchev/Speech16March1948.doc
P2004-0026	documents/Bukharin/Bukharin_Letter_April15_1937.doc	http://perpetrator2004.narod.ru/documents/Bukharin/Bukharin_Letter_April15_1937.doc	Письмо Н.И. Бухарина И.В. Сталину от 15 апреля 1937 г. из внутренней тюрьмы НКВД	no	no	internal	data/perpetrator2004/raw/mirror/documents/Bukharin/Bukharin_Letter_April15_1937.doc
P2004-0027	/documents/Khrushchev/Meeting_with_Intelligentsia.doc	http://perpetrator2004.narod.ru/documents/Khrushchev/Meeting_with_Intelligentsia.doc	Стенограмма встречи руководителей КПСС и советского правительства с деятелями литературы и искусства.	no	no	internal	data/perpetrator2004/raw/mirror/documents/Khrushchev/Meeting_with_Intelligentsia.doc
